symbol,SL31503,SL32233,SL5883,SL6414,SL6648,SL7629,SL7696,SL7703,SL7799,SL7809,SL7853
AATBC,67,78,34,180,148,204,98,70,132,150,75
AATK,16840,13790,10833,4401,22239,52001,17119,6610,10691,25923,11967
ABAT,7978,8571,3488,1818,18499,17834,5833,8042,11286,10432,5454
ABCA1,191,192,106,420,1210,862,831,970,472,602,402
ABCA10,69,74,26,134,118,106,236,229,97,73,126
ABCA11P,39,21,11,56,95,63,110,110,48,37,38
ABCA12,14,8,3,49,41,25,36,33,30,28,37
ABCA13,0,1,0,68,16,1,13,5,11,6,22
ABCA17P,99,131,42,183,221,215,276,286,102,128,160
ABCA2,44352,34767,29070,13039,62666,171506,55570,20792,33581,74483,37652
ABCA3,9845,9559,4734,2765,15979,19418,5312,6747,10793,10091,5523
ABCA4,19,41,13,68,80,51,78,46,22,42,29
ABCA5,975,644,399,467,1853,1968,1063,1353,1518,861,689
ABCA6,118,82,58,183,94,213,343,291,163,106,110
ABCA7,1441,1566,993,818,2018,2662,1589,1287,1337,1186,909
ABCA8,560,249,503,338,1025,3005,1174,539,404,1002,1448
ABCA9,204,160,112,237,432,423,557,371,253,156,181
ABCA9-AS1,0,0,0,7,1,0,6,1,0,2,2
ABCB1,477,572,400,1103,1892,1360,1476,1172,590,850,492
ABCB10,292,213,143,176,689,583,318,375,331,284,283
ABCB10P3,0,3,0,0,0,0,0,0,0,0,0
ABCB10P4,1,1,0,3,1,2,1,1,2,0,0
ABCB11,2,0,3,29,16,10,5,5,6,11,11
ABCB4,22,18,4,59,49,45,36,44,39,24,28
ABCB5,2,1,1,30,10,4,8,4,7,7,17
ABCB6,89,108,35,89,173,164,151,186,100,80,68
ABCB7,158,131,102,136,455,480,272,283,265,256,260
ABCB8,1634,1551,945,609,3011,3458,1775,1780,1604,2038,1222
ABCB9,1455,1244,866,1174,3045,2634,2066,1831,1519,1738,1461
ABCC1,674,547,338,260,1135,1390,466,417,749,662,431
ABCC10,920,935,607,647,1972,1965,1268,1258,1002,1071,682
ABCC11,20,15,17,37,123,63,79,77,38,81,39
ABCC12,104,83,66,50,149,127,104,98,124,55,93
ABCC13,0,0,0,40,12,19,11,12,4,14,19
ABCC2,8,7,2,39,22,22,25,13,9,20,28
ABCC3,18,35,37,232,57,69,86,72,54,29,49
ABCC4,76,55,24,111,162,272,111,221,104,128,103
ABCC5,2433,1860,1525,1411,4511,4825,2265,2852,3134,2024,1758
ABCC5-AS1,0,0,1,12,7,6,14,12,6,3,3
ABCC6,74,60,25,249,134,74,235,119,46,99,92
ABCC6P1,11,7,1,20,21,9,10,11,9,9,17
ABCC6P2,2,0,2,3,2,3,1,8,2,1,4
ABCC8,1554,2054,1307,1211,3210,3308,2815,2787,2609,1654,1422
ABCC9,278,209,139,425,1501,1029,969,1565,588,737,470
ABCD1,320,312,165,424,612,673,509,235,294,409,172
ABCD1P2,0,0,0,7,0,0,0,1,0,1,3
ABCD2,197,197,132,36,773,677,272,311,589,413,328
ABCD3,690,468,354,390,1951,1990,992,1443,1038,1120,1059
ABCD4,543,524,350,755,1381,1365,1591,2061,616,827,871
ABCE1,652,436,250,332,1374,1514,549,783,837,628,730
ABCF1,1829,1391,946,1225,4142,4701,2518,2311,2412,2283,2446
ABCF2,1694,1317,875,934,3687,3434,1167,1839,1884,1624,1393
ABCF2P1,0,3,0,5,7,2,16,20,5,4,12
ABCF2P2,3,0,1,8,2,2,8,5,3,8,5
ABCF3,1798,1367,717,705,2551,2956,997,1203,1629,1478,1040
ABCG1,458,375,250,453,793,1419,702,627,535,707,511
ABCG2,981,849,712,720,3651,2681,1434,699,914,1484,888
ABCG4,1304,1177,869,503,2416,1925,494,1105,1357,1194,767
ABCG5,24,21,10,35,46,45,43,51,43,24,37
ABCG8,33,27,21,17,72,68,34,58,59,41,29
ABHD1,36,21,18,84,98,69,103,74,39,73,40
ABHD10,724,471,308,370,1772,1448,615,717,1009,733,884
ABHD11,204,284,128,231,446,559,458,391,231,227,251
ABHD12,4113,3011,1701,2316,7014,6886,3161,3736,4047,3816,3568
ABHD12B,162,117,77,409,423,298,204,212,252,137,138
ABHD13,339,220,147,288,871,683,332,469,570,371,436
ABHD14A,545,414,148,378,994,778,585,566,495,449,452
ABHD14A-ACY1,3,3,1,5,7,5,1,10,2,4,0
ABHD14B,273,205,167,184,773,625,694,577,268,464,367
ABHD15,61,69,37,55,231,239,169,91,113,132,96
ABHD16A,26,10,15,47,41,35,44,52,32,25,17
ABHD16B,146,126,52,266,395,394,264,255,207,328,128
ABHD17A,4344,5271,1576,3400,6013,8939,4678,3265,3380,4975,2494
ABHD17B,493,328,275,300,1360,1819,678,602,648,789,889
ABHD17C,508,423,189,309,1469,1111,612,743,776,698,491
ABHD18,313,195,113,174,690,578,644,584,349,369,421
ABHD2,3174,2612,1270,1728,7086,7855,2951,4037,5356,4206,2524
ABHD3,115,98,71,319,416,360,300,267,169,256,224
ABHD4,543,361,309,576,1938,1599,1351,1253,633,1326,694
ABHD5,146,121,76,258,495,502,278,334,287,301,240
ABHD6,1305,885,611,449,1956,3001,966,734,1060,1238,975
ABHD8,3252,3210,1005,1041,4497,4538,1640,2387,2147,2777,1709
ABI1,1478,1191,660,831,4255,3195,1448,2146,2654,2117,1535
ABI2,8647,6548,4013,3430,18133,19831,6334,8575,13824,8823,8610
ABI3,42,66,25,181,77,184,89,98,58,82,45
ABI3BP,98,117,23,88,201,197,195,185,105,162,146
ABITRAM,395,286,206,161,978,771,406,576,501,458,394
ABL1,2020,1645,1265,2146,5168,6546,4091,2876,1964,3812,2374
ABL2,1837,1383,1036,1263,3969,3937,2208,2405,2897,2179,2295
ABLIM1,4694,4019,2674,1862,15495,11924,7309,6827,7764,8004,4549
ABLIM2,3630,3543,2073,1473,5878,6927,1849,2312,3791,3589,1963
ABLIM3,2007,2049,971,861,3702,3381,1877,1814,2030,1913,1725
ABO,79,50,31,39,182,29,72,76,44,42,29
ABR,27456,27937,13099,11215,56858,53874,15956,21212,35320,31946,14934
ABRA,8,21,6,125,20,39,9,9,30,13,14
ABRACL,111,105,30,89,183,206,74,133,126,84,128
ABRAXAS1,66,35,23,92,128,98,107,102,54,86,88
ABRAXAS2,367,244,146,145,793,608,308,465,497,326,317
ABT1,233,161,110,205,405,411,202,257,223,202,186
ABTB1,3398,3137,2066,1120,4598,5405,3196,2641,2495,2766,2278
ABTB2,439,357,291,385,803,1397,904,503,373,675,448
ABTB3,467,684,414,176,896,1310,180,352,740,750,371
ACAA1,833,626,373,370,1405,1527,1016,1002,809,922,752
ACAA2,252,161,98,210,1056,810,727,638,351,583,625
ACAA2P1,2,2,4,5,16,17,23,22,4,7,16
ACACB,668,532,327,404,2524,2105,2016,1141,1257,1789,1253
ACAD10,437,345,184,301,974,816,1032,717,493,615,556
ACAD11,0,1,2,2,2,4,7,7,3,3,1
ACAD8,953,807,462,445,1931,1922,803,1068,1062,937,806
ACAD9,854,694,405,355,1658,1585,889,960,1045,931,622
ACADL,32,44,14,35,114,102,65,86,35,90,50
ACADM,582,503,262,306,1816,1401,1014,1024,791,767,911
ACADS,344,289,109,218,814,778,562,373,255,558,351
ACADSB,1032,695,389,172,2055,2060,699,878,1297,962,817
ACADVL,4017,4002,2102,3660,7985,9001,8804,7755,5132,4917,3481
ACAN,48,75,44,153,100,164,104,169,90,149,48
ACAP1,178,194,127,313,663,587,708,351,271,457,632
ACAP2,562,469,263,446,1717,1963,1398,1118,1188,856,1338
ACAP3,14338,17378,8316,7187,18575,31788,18935,11364,14872,16513,8365
ACAT1,661,458,294,380,1471,1307,850,1032,816,675,840
ACAT2,637,420,250,129,1165,775,269,656,795,580,441
ACBD3,677,535,349,479,1644,1859,766,894,1040,884,902
ACBD3-AS1,1,2,1,10,14,5,9,6,2,8,5
ACBD4,617,626,266,262,1005,1072,863,826,458,682,563
ACBD5,1346,1133,648,714,3877,3935,1888,1833,1611,1953,2213
ACBD6,78,74,55,94,154,139,185,122,72,68,79
ACBD7,314,262,108,113,1735,1008,707,571,673,995,651
ACCS,141,130,72,73,512,523,272,373,234,240,144
ACCSL,0,1,0,10,5,1,0,0,2,5,3
ACD,808,865,591,967,1603,1485,942,1031,1189,895,597
ACE,144,176,92,71,296,307,278,189,170,213,119
ACE2,1,1,1,13,15,8,7,8,8,10,8
ACE2-DT,0,0,0,2,0,0,0,0,0,0,1
ACE3P,0,0,0,0,0,0,0,0,0,0,0
ACER1,3,0,1,33,3,3,9,0,3,2,8
ACER2,75,73,68,100,141,178,156,266,82,108,50
ACER3,1437,882,726,864,3164,4196,2364,1745,1606,1672,3165
ACHE,2864,2375,1556,934,4072,3841,1035,1392,1797,2040,1262
ACIN1,2487,2248,1416,2255,5930,6027,4743,3798,2773,3310,2996
ACKR1,492,420,346,659,873,765,188,872,740,407,637
ACKR2,12,15,2,20,34,70,34,39,23,35,34
ACKR3,84,64,38,87,417,290,387,355,170,316,143
ACKR4,2,2,0,9,3,9,11,8,5,3,6
ACLY,4485,3186,2133,1171,7102,8178,1597,2487,4444,3876,2167
ACMSD,17,12,3,84,41,22,66,38,27,19,20
ACNATP,0,0,0,2,3,1,1,0,0,5,5
ACO1,695,609,316,681,1698,2339,1146,1250,817,1038,773
ACO2,7836,7865,3108,1982,17760,13122,4818,5816,7635,8792,4803
ACOD1,0,0,0,9,3,0,2,2,1,0,7
ACOT1,37,55,25,37,113,152,138,77,72,38,45
ACOT11,338,286,217,211,1258,920,1601,1058,638,890,680
ACOT12,6,5,4,20,10,12,5,13,8,12,13
ACOT13,283,206,106,137,641,642,342,352,367,370,323
ACOT2,192,180,77,139,478,362,364,217,221,181,187
ACOT4,152,106,51,148,251,204,270,187,121,133,100
ACOT6,14,14,4,53,54,28,101,52,20,24,23
ACOT7,6028,4144,2391,1770,8804,7861,1495,2632,5050,4162,3642
ACOT8,707,624,285,417,1336,1252,613,731,817,792,603
ACOT9,392,355,233,420,1177,899,555,633,497,607,487
ACOX1,1042,691,438,635,2939,2817,1495,1900,1713,1737,1288
ACOX2,55,39,28,65,270,169,198,184,86,177,109
ACOX3,328,302,167,195,675,812,411,367,529,519,285
ACOXL,4,2,5,24,34,19,14,12,19,7,18
ACOXL-AS1,8,9,8,16,32,9,13,21,12,10,9
ACP1,1514,1248,586,418,2792,2594,711,1249,1541,1325,1141
ACP2,1653,1157,735,428,2861,2930,1083,1193,1829,1553,1119
ACP3,2,3,1,24,12,45,7,6,3,8,9
ACP4,17,19,11,30,22,32,29,30,25,35,29
ACP5,16,11,12,36,45,53,106,42,29,54,62
ACP6,186,140,72,101,292,416,510,361,218,364,312
ACP7,56,31,57,70,99,138,117,67,28,77,123
ACR,12,13,8,16,46,28,27,22,15,18,14
ACRBP,7,14,5,44,32,34,33,13,13,25,43
ACRP1,0,0,0,3,0,0,0,1,0,1,1
ACRV1,22,14,14,23,73,43,38,60,39,17,30
ACSBG1,756,603,290,383,4275,2356,2345,1666,1447,2541,1371
ACSBG2,8,4,4,30,28,25,49,34,25,33,30
ACSF2,115,161,56,76,679,440,511,335,267,412,248
ACSF3,416,464,293,386,1127,1173,948,649,551,739,508
ACSL1,1036,578,542,443,1886,3040,1220,1095,1044,1240,1298
ACSL3,3320,2368,1620,1888,7650,8199,3017,3837,5353,3783,4594
ACSL4,2567,1945,1093,825,4444,5026,898,1772,3942,2011,1916
ACSL5,179,148,120,1485,644,393,599,1506,203,164,133
ACSL6,2971,2189,1215,984,7786,6485,3483,4024,5769,4118,3027
ACSL6-AS1,8,7,8,19,22,15,31,34,11,24,11
ACSM1,5,3,2,31,10,5,7,7,2,6,9
ACSM2A,0,0,0,28,7,0,4,3,3,6,10
ACSM2B,0,0,0,19,3,1,4,3,4,6,4
ACSM3,7,3,1,31,18,14,19,12,8,9,16
ACSM4,7,5,2,18,8,10,8,20,8,9,5
ACSM5,34,31,7,28,82,143,96,36,29,92,43
ACSM6,1,4,0,21,10,3,17,22,7,8,13
ACSS1,1233,907,722,410,7260,5144,5756,3201,2162,4183,2152
ACSS2,1103,614,697,675,2021,2347,1343,1168,1123,1377,1281
ACSS3,105,112,45,145,680,464,563,669,310,483,244
ACTA1,27,41,7,172,57,46,40,25,37,42,23
ACTA2,444,498,165,158,841,1130,1985,921,570,1351,309
ACTA2-AS1,27,35,24,23,55,69,43,42,98,27,24
ACTB,43937,29768,16432,28198,83358,94866,33266,39072,54258,47394,35637
ACTBL2,0,0,0,2,1,0,1,0,1,0,1
ACTBP1,1,0,1,12,5,0,3,3,0,1,2
ACTBP12,1,0,0,10,2,0,1,1,2,2,2
ACTBP14,2,0,1,20,6,2,7,9,3,5,4
ACTC1,73,70,31,52,162,124,107,122,76,102,36
ACTE1P,1,0,0,11,8,2,2,3,5,2,8
ACTG1,32465,26189,10733,17410,54662,52831,19634,26038,34691,32359,21849
ACTG1P12,15,9,5,68,27,17,24,28,44,17,17
ACTG1P14,6,8,0,18,7,4,8,11,11,15,5
ACTG1P15,1,0,0,5,13,6,23,7,1,6,7
ACTG1P16,0,1,0,6,6,0,1,2,4,2,6
ACTG1P17,12,7,9,29,42,34,78,49,28,28,52
ACTG1P19,0,0,0,5,0,0,1,0,0,0,1
ACTG1P21,0,0,0,8,2,0,0,0,0,4,2
ACTG1P23,0,0,0,11,1,3,1,1,2,3,1
ACTG1P24,0,0,0,3,4,3,1,0,0,3,4
ACTG1P25,5,5,2,24,22,12,10,16,6,6,11
ACTG2,38,32,18,37,57,131,337,226,43,166,27
ACTL11P,2,0,3,16,2,3,1,3,2,2,2
ACTL6A,90,58,47,156,272,318,214,167,105,207,193
ACTL6B,2585,2156,1114,792,3552,3527,1118,1552,2406,1965,1366
ACTL7A,0,0,1,0,0,0,1,2,2,0,1
ACTL7B,0,2,0,4,1,3,0,1,1,1,1
ACTL8,1,0,0,9,2,4,1,1,7,2,2
ACTL9,0,0,0,1,1,0,0,0,0,0,0
ACTN1,4537,4160,2412,6154,8396,9660,4135,6012,7049,4334,2867
ACTN1-DT,2,0,0,6,5,2,1,2,4,0,4
ACTN2,2138,1545,938,2035,3249,3675,1669,1906,2654,1604,1859
ACTN3,7,8,5,33,17,17,7,22,6,11,15
ACTN4,7275,6261,4163,9517,15280,18486,12104,7182,6739,9691,7117
ACTN4P1,1,3,0,8,1,0,3,2,3,2,2
ACTP1,0,0,0,1,0,1,0,1,3,3,6
ACTR10,1351,982,654,338,2908,2740,648,1356,1950,1341,1259
ACTR1A,5399,4028,2787,2785,10557,9350,3559,4547,5652,5236,4776
ACTR1AP1,0,0,1,30,4,5,1,4,5,1,1
ACTR1B,4351,3420,2392,1964,7074,6964,3431,3684,3956,3881,3239
ACTR2,6644,4461,2596,2156,13274,13092,2970,6005,9126,5906,5918
ACTR3,2433,1744,1139,1371,5276,4633,1543,2382,3523,2623,2115
ACTR3B,1576,1193,600,518,2603,2561,522,973,2044,1253,873
ACTR3C,52,33,18,42,91,90,32,46,68,44,44
ACTR3P2,0,0,0,1,0,0,0,0,0,0,0
ACTR5,158,141,72,108,323,361,204,235,180,210,169
ACTR6,445,318,191,177,903,995,429,553,527,432,593
ACTR6P1,0,0,0,4,1,0,0,0,3,1,6
ACTR8,567,351,179,154,964,963,392,502,683,701,460
ACTRT1,1,1,0,8,3,1,2,3,1,2,0
ACTRT2,0,1,0,0,0,1,0,0,0,0,2
ACTRT3,47,45,21,29,63,80,15,41,43,51,35
ACVR1,502,404,241,367,1241,983,575,555,588,643,405
ACVR1B,3392,2643,1718,1380,6226,6305,1962,3026,3918,2792,2068
ACVR1C,522,164,135,136,869,830,389,383,704,435,585
ACVR2A,464,321,218,219,882,1115,306,420,681,427,460
ACVR2B,482,523,267,276,1256,1386,675,961,752,673,523
ACVR2B-AS1,25,25,14,13,72,41,30,70,48,39,25
ACVRL1,380,519,360,1788,1578,1119,1180,1417,270,727,356
ACY1,19,14,15,28,34,61,81,52,15,29,26
ACY3,30,88,12,10,58,535,61,11,41,68,43
ACYP1,112,130,54,137,414,334,272,257,116,146,220
ACYP2,589,441,189,388,1260,1177,709,658,519,576,698
ADA,107,57,48,215,225,219,284,183,119,212,187
ADA2,319,257,144,146,1274,1104,864,617,399,652,567
ADAD1,0,0,0,22,1,0,1,0,0,6,6
ADAD1P2,0,0,0,0,0,0,0,0,0,0,0
ADAD2,96,47,25,158,117,107,19,54,81,64,29
ADAL,217,172,148,228,611,440,468,378,386,344,459
ADAM10,1236,870,704,750,2943,4102,1499,1595,1972,1636,1623
ADAM11,7395,7159,4520,3989,10877,12690,3779,4937,7810,6020,3903
ADAM12,62,51,29,135,174,126,169,165,107,109,70
ADAM15,2016,1504,1198,4708,3569,5483,3949,3062,1999,2530,1983
ADAM17,319,238,142,428,751,713,440,514,666,390,340
ADAM18,0,1,0,27,5,0,1,3,4,5,7
ADAM19,509,433,227,453,827,1064,397,431,958,438,394
ADAM1B,33,20,9,31,63,52,50,42,29,39,26
ADAM2,0,0,0,23,4,0,2,3,6,5,11
ADAM20,4,6,7,27,29,22,36,44,23,16,28
ADAM20P1,9,4,3,15,13,8,10,20,7,5,11
ADAM20P3,0,0,0,4,0,0,0,0,1,2,1
ADAM21,11,20,11,33,23,24,49,44,34,26,25
ADAM21P1,1,1,2,2,3,1,1,2,0,1,2
ADAM22,3055,2469,1500,798,5304,6736,1579,3104,5153,2598,2638
ADAM23,3455,2176,1714,826,5733,5737,1144,2611,4554,2100,2415
ADAM24P,0,0,0,8,2,0,0,0,0,0,5
ADAM28,55,101,23,55,95,497,112,61,103,117,79
ADAM29,18,13,3,31,21,18,16,16,13,18,24
ADAM30,0,0,0,3,2,0,0,1,1,0,3
ADAM32,41,23,23,216,69,78,75,89,49,54,67
ADAM33,444,495,197,317,602,881,1445,611,574,374,290
ADAM3A,0,0,0,31,0,0,2,2,3,9,10
ADAM3B,0,1,1,8,3,0,9,4,3,1,3
ADAM5,0,0,0,76,3,3,4,2,4,3,4
ADAM7,2,1,1,36,9,1,12,6,6,3,10
ADAM7-AS2,0,0,0,5,1,0,0,2,0,2,1
ADAM8,103,126,72,115,125,229,177,154,85,139,100
ADAM9,806,638,395,609,2173,2202,805,1223,1185,956,1079
ADAMDEC1,0,0,1,23,3,2,22,9,6,1,9
ADAMTS1,332,375,299,3720,786,2185,3600,3347,651,1085,949
ADAMTS10,1790,2495,1009,664,3230,3876,2865,1760,1827,2235,1163
ADAMTS12,12,9,4,25,18,21,23,17,12,17,26
ADAMTS13,849,876,590,409,1256,1620,1004,1098,662,1024,712
ADAMTS14,152,82,184,55,94,539,407,165,111,540,167
ADAMTS15,32,88,32,100,71,128,148,79,115,90,47
ADAMTS16,260,230,130,68,417,550,134,133,334,249,132
ADAMTS16-DT,41,40,22,19,95,59,31,49,33,32,31
ADAMTS17,41,72,45,87,279,206,200,186,150,172,91
ADAMTS18,5,35,28,59,24,16,160,17,30,15,402
ADAMTS19,94,85,43,349,196,196,134,153,153,91,94
ADAMTS19-AS1,8,10,9,11,16,30,2,4,24,11,6
ADAMTS2,473,423,152,154,617,684,254,260,361,388,173
ADAMTS20,6,6,0,69,12,5,10,16,9,8,20
ADAMTS3,205,186,81,49,376,476,89,191,382,198,134
ADAMTS4,978,444,851,1412,1782,5598,2650,1646,797,2409,3885
ADAMTS5,46,64,37,52,152,135,91,130,108,87,76
ADAMTS6,29,26,18,63,70,49,88,83,66,47,63
ADAMTS7,96,140,75,214,229,388,419,142,111,241,104
ADAMTS7P3,4,5,3,3,4,2,7,4,6,5,0
ADAMTS7P4,8,23,4,17,22,8,16,18,6,12,17
ADAMTS8,852,852,403,531,1380,1828,583,464,785,799,533
ADAMTS9,80,96,62,2926,252,255,447,5167,225,226,183
ADAMTS9-AS1,22,22,4,49,34,51,28,49,61,20,14
ADAMTS9-AS2,62,81,47,118,155,146,319,218,142,134,92
ADAMTSL1,81,50,62,38,127,222,36,76,135,86,82
ADAMTSL2,693,672,322,94,862,1278,215,231,518,589,211
ADAMTSL3,111,123,72,101,301,358,251,212,178,154,183
ADAMTSL4,69,69,36,355,205,210,214,310,186,157,109
ADAMTSL5,63,45,31,112,171,95,135,81,85,105,87
ADAP1,1927,1745,550,1711,3070,3095,2448,1846,1443,1737,1371
ADAP2,115,113,55,250,284,503,439,206,131,213,263
ADAR,8967,7640,4551,3273,17709,19324,6770,7466,12362,9640,6968
ADARB1,2486,2795,1489,1250,5115,5898,1422,2502,3780,2813,1759
ADARB2,520,704,346,161,938,2099,695,614,580,1403,1098
ADARB2-AS1,55,29,9,93,37,137,217,56,44,68,51
ADAT1,543,385,381,315,1063,907,595,806,624,614,592
ADAT2,108,61,60,68,175,199,136,175,149,102,112
ADAT3,63,62,23,100,64,154,140,71,54,112,82
ADCK1,432,323,224,153,792,850,539,376,477,536,382
ADCK2,848,706,217,201,980,1477,341,375,646,613,559
ADCK5,400,446,184,276,556,636,474,446,420,398,265
ADCY1,16875,17721,9860,5871,31131,36503,7189,16731,25735,16682,11116
ADCY10,10,11,2,175,43,30,61,63,27,29,28
ADCY10P1,162,107,135,259,457,478,474,298,161,204,355
ADCY2,5217,4506,2546,2150,13134,12366,5591,7452,9345,6766,4667
ADCY3,2036,2461,1128,779,3225,4840,943,1102,1843,2060,1001
ADCY4,292,239,166,367,649,485,1111,717,238,330,271
ADCY5,7410,9610,3534,2175,12415,17293,4148,4343,7128,9098,3648
ADCY6,1703,1992,1118,1223,3055,4123,2019,1707,2071,2012,1240
ADCY6-DT,2,5,1,10,7,8,7,12,0,2,8
ADCY7,313,451,145,69,397,883,87,110,293,266,136
ADCY8,459,422,211,507,1037,1068,485,594,636,648,281
ADCY9,1533,1422,913,966,3187,3238,1444,1291,1688,1707,970
ADCYAP1,505,352,193,1251,1341,936,131,502,1419,393,256
ADCYAP1R1,4701,4019,2221,1669,16767,13302,7546,8875,7566,11133,4748
ADD1,11953,9421,7036,5335,27050,26886,11604,13457,15270,15242,10789
ADD2,9528,7599,4400,3500,16838,18096,3467,8466,14970,7338,6764
ADD3,2418,1699,944,1477,10824,10005,8475,5500,4193,7346,7003
ADD3-AS1,34,16,15,24,106,85,99,52,50,53,46
ADGB,1,5,1,28,5,4,9,8,11,12,22
ADGB-DT,0,0,0,3,1,0,0,1,0,1,2
ADGRA1,4637,4431,2757,2425,9052,7086,2266,3555,4818,4327,2407
ADGRA2,1615,1924,980,1129,3536,3595,2608,1092,1081,2125,948
ADGRA3,444,357,153,262,2838,1745,1685,1249,915,1706,757
ADGRB1,12471,17463,6995,12644,23746,29445,12467,9028,14062,19086,5788
ADGRB2,29019,29597,17325,15271,52212,51557,12384,16229,33768,32906,14541
ADGRB3,2204,1877,1147,715,4995,5057,1811,2539,4089,2273,2086
ADGRD1,139,140,70,287,314,313,193,633,140,172,157
ADGRD2,0,0,0,16,5,1,3,3,1,3,1
ADGRE1,0,0,0,23,7,1,5,2,4,11,8
ADGRE2,38,20,23,149,74,81,115,153,43,101,105
ADGRE3,0,1,0,34,5,2,7,5,2,8,12
ADGRE4P,1,8,1,28,22,2,11,3,6,14,11
ADGRE5,172,127,116,299,366,654,515,278,154,436,268
ADGRF1,0,0,0,35,10,0,7,1,3,10,16
ADGRF2,1,2,1,10,6,1,1,3,4,1,5
ADGRF3,33,19,15,35,84,72,42,25,41,30,26
ADGRF4,0,1,0,6,9,2,2,2,3,2,5
ADGRF5,1002,956,779,1321,3039,2480,1575,1427,1235,1124,682
ADGRF5P1,32,48,2,8,77,34,7,17,45,60,18
ADGRG1,3234,2922,1440,7303,16408,10998,10130,9848,6351,11194,3543
ADGRG2,18,9,8,50,52,26,62,60,36,42,45
ADGRG3,1,3,1,36,15,16,15,18,8,11,12
ADGRG4,0,0,0,23,4,0,1,3,5,5,9
ADGRG5,6,20,3,24,26,65,7,11,13,13,5
ADGRG6,49,91,35,158,141,230,48,101,77,77,75
ADGRG7,0,0,0,17,3,0,0,2,3,4,3
ADGRL1,16483,16778,10130,7899,31319,33903,11448,11257,19726,18216,10702
ADGRL1-AS1,100,109,69,190,228,213,298,228,151,172,190
ADGRL2,1799,1206,940,970,3997,2823,968,2223,2915,1471,1182
ADGRL3,2982,2119,1282,953,6677,6671,2020,2824,5078,3701,2513
ADGRL4,111,111,85,682,470,320,396,527,105,207,134
ADGRV1,819,636,289,589,4271,3216,4180,2543,2479,2795,1450
ADH1A,0,1,0,3,2,0,3,0,1,0,2
ADH1B,27,23,7,58,55,16,11,71,12,18,18
ADH1C,0,0,0,5,1,2,1,0,2,2,2
ADH4,0,0,0,9,4,0,1,3,0,2,2
ADH5,1233,1032,545,476,3407,2568,1417,1630,1555,1751,1494
ADH5P2,0,0,0,1,0,0,2,2,1,0,2
ADH5P3,5,3,6,20,13,9,4,21,23,10,7
ADH5P5,0,0,0,0,0,0,0,0,1,1,0
ADH6,0,0,0,16,0,1,6,2,3,2,9
ADH7,0,0,0,19,1,0,3,1,1,6,4
ADHFE1,186,182,97,123,947,569,729,865,435,572,484
ADI1,557,403,214,262,1335,1162,891,749,608,722,627
ADI1P3,0,0,0,10,1,0,1,1,0,1,1
ADIG,0,1,1,6,2,1,0,1,2,3,0
ADIPOQ,0,0,0,7,6,3,0,2,1,4,7
ADIPOQ-AS1,0,0,0,1,0,0,0,2,0,0,1
ADIPOR1,1934,1361,862,843,3697,4025,1547,1702,2092,2048,1343
ADIPOR2,2360,1182,1361,2334,5161,6303,3203,4262,2132,3233,3252
ADIRF,0,0,0,0,0,0,0,0,0,0,0
ADK,386,294,130,181,1000,743,425,457,493,436,494
ADM,26,19,20,286,70,68,573,225,57,64,73
ADM2,4,8,6,21,22,25,9,9,3,9,6
