symbol,SL31503,SL32233,SL5883,SL6414,SL6648,SL7629,SL7696,SL7703,SL7799,SL7809,SL7853
A1BG,28,29,16,75,73,65,66,56,62,37,37
A1BG-AS1,146,102,58,42,175,234,59,112,153,127,75
A1CF,0,0,1,19,15,3,10,22,9,10,15
A2M,4483,4213,4335,5310,18442,13608,10401,5293,4065,8014,3877
A2M-AS1,23,32,35,9,111,86,64,51,37,71,50
A2ML1,84,59,38,167,466,272,434,247,175,285,138
A2MP1,14,7,10,30,40,55,57,40,17,31,40
A3GALT2,2,6,4,9,5,12,8,8,6,5,14
A4GALT,93,86,51,442,250,142,278,629,71,169,105
A4GNT,1,1,0,12,4,2,2,3,2,3,5
AA06,2,3,0,3,1,1,7,6,4,1,5
AAAS,485,407,292,329,1206,1305,1206,866,491,684,654
AACS,2933,2469,1431,3014,4656,4718,2255,2596,4109,2112,2066
AACSP1,6,6,6,21,17,11,12,14,8,13,14
AADAC,0,0,0,10,1,1,0,1,0,0,8
AADACL2,1,0,0,6,2,1,3,0,2,3,1
AADACL3,0,0,0,5,2,0,0,0,2,4,3
AADACL4,0,0,0,3,5,0,0,0,0,2,2
AADACP1,0,1,0,14,4,1,1,2,3,6,7
AADAT,277,221,99,88,571,518,348,374,283,311,283
AAGAB,958,629,464,288,1777,1600,515,872,1224,877,780
AAK1,8409,6051,3695,4798,14430,11278,4295,6716,12424,6645,5980
AAMDC,26,16,13,29,58,66,98,56,24,36,69
AAMP,2423,1935,1102,1004,4006,4324,1750,2189,2394,2423,1876
AANAT,18,18,7,33,29,64,20,21,22,19,12
AAR2,429,296,215,363,868,959,485,461,384,602,445
AARD,32,20,12,21,99,63,18,39,59,16,66
AARS1,8861,6167,4617,2953,15622,16159,4522,6638,9376,7830,5775
AARS1P1,0,0,0,0,0,0,0,0,0,0,0
AARS2,818,893,615,431,1778,1963,733,934,880,1130,781
AARSD1,40,41,17,149,94,58,177,136,76,47,61
AARSD1P1,18,21,17,53,63,44,184,97,31,38,57
AASDH,230,126,125,172,660,466,658,524,343,495,496
AASDHPPT,1811,1141,746,536,3897,3332,916,1861,2244,1534,1787
AASS,138,109,77,160,446,506,453,541,281,294,317
