symbol,SL6644,SL7382,SL7393,SL7395,SL7616,SL7617,SL7618,SL7625,SL7632,SL7701,SL8435
A1BG,49,42,78,69,58,58,50,55,52,161,23
A1BG-AS1,99,149,164,191,87,167,101,210,156,53,54
A1CF,15,3,14,11,9,15,17,8,6,25,7
A2M,7701,10952,14368,8222,6744,6753,14214,23674,15474,10339,6382
A2M-AS1,87,148,125,62,100,62,88,116,111,15,87
A2ML1,286,185,356,124,396,228,429,202,161,302,38
A2MP1,51,25,53,24,46,26,49,53,40,16,26
A3GALT2,3,10,4,5,5,13,3,30,15,28,5
A4GALT,629,150,251,171,145,122,253,201,172,528,37
A4GNT,11,2,1,4,5,0,7,1,2,1,2
AA06,7,1,4,1,6,3,9,2,7,4,1
AAAS,1119,1303,1720,1162,918,818,1140,1365,991,508,427
AACS,3129,5666,4378,4873,2537,6175,3082,5853,4755,5088,3003
AACSP1,32,21,9,18,9,14,12,25,16,13,16
AADAC,3,0,2,1,0,1,0,0,3,2,0
AADACL2,3,1,1,1,0,0,2,2,2,0,1
AADACL3,1,1,0,0,0,1,0,0,0,0,0
AADACL4,0,0,0,1,0,0,0,0,0,0,0
AADACP1,1,1,1,2,0,0,2,2,4,3,2
AADAT,497,577,567,352,499,438,456,480,430,204,345
AAGAB,1087,2506,1706,2192,911,1993,965,2346,2314,648,2263
AAK1,9273,24367,15705,15997,6120,18008,8119,19913,17480,12226,16926
AAMDC,53,54,59,25,67,39,65,37,34,29,32
AAMP,2716,4231,4155,3902,2005,3725,2732,4772,4005,1734,1788
AANAT,33,44,29,31,14,16,37,32,15,27,7
AAR2,684,812,834,580,459,693,565,885,678,770,430
AARD,63,104,51,53,22,119,32,958,78,16,36
AARS1,9374,24033,17644,18069,7790,17615,9822,23224,19881,7285,10912
AARS1P1,0,0,0,0,0,0,0,0,0,0,0
AARS2,1259,1873,1712,1325,864,1401,1023,2123,1668,630,625
AARSD1,172,63,162,103,118,78,153,126,83,226,30
AARSD1P1,103,30,77,38,112,49,134,64,65,88,28
AASDH,592,671,786,520,751,542,798,596,667,290,489
AASDHPPT,2500,5039,4088,3863,2113,4367,2696,3653,3989,891,5511
AASS,646,332,432,145,551,310,470,171,160,248,181
AATBC,90,171,120,62,95,127,156,167,112,365,40
AATK,12449,21550,24985,14188,11118,13175,11191,20481,15894,11680,4194
ABAT,10681,20314,14424,13121,8099,17353,10823,17456,16450,3214,9974
ABCA1,1278,698,848,306,971,644,867,532,426,866,404
ABCA10,271,98,229,125,247,160,319,206,188,346,118
ABCA11P,112,62,90,57,105,94,115,80,86,56,59
ABCA12,39,28,37,10,25,26,20,35,20,13,14
ABCA13,6,3,3,2,0,1,3,10,2,0,1
ABCA17P,291,143,260,175,194,135,271,201,183,305,108
ABCA2,33685,46941,61253,34083,39709,34029,33448,50064,37914,20793,12345
ABCA3,9595,20207,13981,13903,6625,15111,7783,18195,13924,6206,6228
ABCA4,70,63,80,52,48,37,77,60,100,84,26
ABCA5,1452,1443,1939,1768,1478,2233,1570,2237,1942,876,2705
ABCA6,336,112,253,142,312,178,211,194,205,328,132
ABCA7,1911,2522,3011,2454,1133,1616,1644,2964,2284,1615,601
ABCA8,751,511,1112,351,1336,322,668,467,551,400,775
ABCA9,527,326,591,395,547,409,706,473,459,520,337
ABCA9-AS1,1,1,0,3,3,2,6,3,1,4,1
ABCB1,1685,1210,1971,986,1022,1173,1719,1384,1722,1224,988
ABCB10,497,662,611,472,405,544,478,702,587,215,545
ABCB10P3,1,4,0,0,0,3,0,2,0,0,2
ABCB10P4,1,7,2,2,0,3,0,1,0,1,2
ABCB11,11,3,6,3,10,7,7,4,3,10,4
ABCB4,40,44,41,49,33,55,69,35,31,44,25
ABCB5,4,0,2,2,2,3,3,7,3,0,1
ABCB6,217,139,235,235,101,99,156,150,164,217,72
ABCB7,385,620,474,298,361,424,393,459,408,235,447
ABCB8,2183,2390,3438,2455,1767,2330,2070,3320,2532,996,923
ABCB9,2356,3320,3504,2526,1692,2399,2630,3635,2830,2645,895
ABCC1,689,1563,1108,983,617,1064,676,1529,1066,550,517
ABCC10,1483,1462,2227,1639,1182,1345,1563,1908,1641,1222,605
ABCC11,111,114,79,24,65,36,67,31,31,25,17
ABCC12,131,301,394,373,197,338,182,443,365,68,194
ABCC13,2,10,3,4,10,3,0,19,2,2,3
ABCC2,24,10,24,15,20,5,22,20,14,46,11
ABCC3,121,71,106,72,70,64,101,128,109,744,28
ABCC4,303,172,143,86,117,136,126,323,87,107,101
ABCC5,3696,6838,6095,5485,2992,4830,3431,6042,5732,3755,3982
ABCC5-AS1,15,4,14,7,8,4,12,8,11,20,4
ABCC6,187,120,175,111,126,82,127,119,86,609,40
ABCC6P1,17,17,17,11,23,14,30,21,16,24,8
ABCC6P2,3,6,4,2,1,1,3,4,3,0,0
ABCC8,3798,4200,4848,3815,2494,3503,3357,4186,4044,2358,1541
ABCC9,2696,1208,1142,473,1255,822,1177,646,508,1019,576
ABCD1,375,390,517,264,298,322,371,579,268,469,90
ABCD1P2,0,0,0,0,0,0,1,0,1,0,0
ABCD2,556,1522,973,566,651,1195,703,807,723,66,1401
ABCD3,2034,2239,1830,1186,1451,1631,1300,1478,1281,604,1583
ABCD4,2311,1038,1614,951,1210,763,1422,984,1189,1306,406
ABCE1,1030,1618,1206,1081,849,1363,914,1377,1149,664,1597
ABCF1,3069,4626,4330,3640,2439,4165,3069,5534,4257,2230,1837
ABCF2,2402,4671,3918,3765,1937,3776,2472,4640,3994,2039,2430
ABCF2P1,20,16,11,5,22,8,20,6,2,7,4
ABCF2P2,4,1,1,1,5,1,4,0,2,3,0
ABCF3,1603,3102,3018,2669,1261,2488,1639,3586,2848,1370,1389
ABCG1,766,718,823,680,670,683,606,797,687,515,528
ABCG2,1043,2308,2725,1631,917,1594,2807,2482,2797,1000,1832
ABCG4,1580,3717,2731,2547,1006,2227,1326,2804,2756,1212,877
ABCG5,52,52,51,33,41,56,46,56,40,16,31
ABCG8,101,94,73,57,58,96,73,73,76,6,44
ABHD1,84,59,85,45,89,43,81,72,51,176,19
ABHD10,927,2202,1537,1506,923,1631,998,1648,1430,613,2081
ABHD11,590,490,690,449,354,407,496,631,619,523,146
ABHD12,4786,9434,8320,7810,3857,7914,4825,9754,8217,4436,4140
ABHD12B,314,388,310,421,234,426,332,565,404,1055,331
ABHD13,622,1025,856,758,542,1033,607,830,883,551,1190
ABHD14A,600,960,1122,1046,688,920,916,1109,1100,534,535
ABHD14A-ACY1,3,5,8,4,6,2,4,4,6,0,0
ABHD14B,724,607,778,474,524,355,584,594,530,325,185
ABHD15,145,245,210,88,184,148,187,200,121,91,62
ABHD16A,51,28,62,44,40,45,34,33,28,94,17
ABHD16B,281,355,415,162,182,246,276,350,235,362,28
ABHD17A,5123,6143,6816,4869,3647,4724,5012,7719,5580,6410,1200
ABHD17B,784,1422,1134,899,772,980,793,1001,960,709,1673
ABHD17C,902,1396,1180,799,834,1161,962,1046,916,823,750
ABHD18,709,563,614,386,581,578,622,487,427,329,460
ABHD2,5120,8581,6115,5662,3952,6503,4020,6826,5578,2712,5751
ABHD3,361,449,410,178,420,324,404,369,264,511,220
ABHD4,1911,1367,1393,666,1171,749,1163,804,595,1519,239
ABHD5,472,382,403,265,331,353,358,322,270,388,315
ABHD6,1005,2256,1690,1867,1104,1759,1162,1943,1895,764,1448
ABHD8,3357,5487,5141,4674,2492,4111,3082,6483,5489,2035,1569
ABI1,2884,4118,3499,3113,2431,3981,2748,3592,3274,2097,3651
ABI2,10458,22221,16026,16471,9153,21830,10738,20989,18639,6855,21357
ABI3,192,209,165,99,95,102,97,198,136,209,43
ABI3BP,215,122,167,199,190,82,172,198,53,229,117
ABITRAM,804,1043,992,839,615,838,768,956,907,426,762
ABL1,4133,3577,3989,2275,3097,2421,3222,3368,2787,3346,1063
ABL2,2975,4853,3781,3151,2297,3769,2789,4875,4030,2499,3475
ABLIM1,9268,15145,13258,8150,8348,11780,10957,10705,10824,3707,7583
ABLIM2,3660,8748,7875,7666,3292,6495,3995,11332,10010,3859,3337
ABLIM3,2317,3749,2789,3075,1629,2741,2160,3319,2998,1585,1909
ABO,119,59,43,53,59,24,101,15,44,46,11
ABR,29412,51818,45024,43079,20253,51457,25109,56805,45058,25888,22871
ABRA,12,28,20,15,17,23,19,32,25,160,33
ABRACL,145,279,280,212,147,245,170,329,251,171,205
ABRAXAS1,132,126,156,106,126,91,107,108,117,172,125
ABRAXAS2,558,857,826,677,488,752,568,677,724,252,769
ABT1,364,468,513,426,239,446,336,511,448,376,241
ABTB1,3986,6592,7213,7516,3241,4559,4140,8207,6881,1853,2110
ABTB2,805,744,868,421,765,462,610,627,485,692,196
ABTB3,521,1903,1380,1069,255,1215,475,1364,1626,344,956
ACAA1,1117,1316,1703,1182,958,1272,1256,1390,1212,910,589
ACAA2,817,1150,853,294,727,647,851,570,409,310,255
ACAA2P1,19,18,17,4,19,7,14,8,8,4,7
ACACB,1311,1607,2438,780,1963,1597,2489,1090,986,606,309
ACAD10,780,886,980,629,845,661,819,768,689,359,378
ACAD11,8,4,3,4,7,2,4,2,5,4,2
ACAD8,1503,2312,2157,1963,1084,1900,1405,2083,1941,1200,1384
ACAD9,1168,1537,1659,1301,943,1515,1195,1793,1521,585,726
ACADL,72,73,106,46,67,65,67,55,49,34,42
ACADM,1316,1964,1868,1166,1396,1477,1684,1499,1398,455,1482
ACADS,441,444,757,366,478,370,708,442,353,301,75
ACADSB,1131,2354,1717,1517,1084,2006,1284,1841,1607,282,1882
ACADVL,8098,7112,12837,8034,6209,6459,8347,7780,7084,6643,2403
ACAN,313,395,275,145,104,151,150,301,238,279,65
ACAP1,403,388,467,236,417,233,463,261,223,294,57
ACAP2,1325,2362,1731,1161,1870,1851,1664,1567,1432,883,1628
ACAP3,14129,18679,30682,23359,12446,17735,16089,27994,20696,15039,5786
ACAT1,1050,1644,1647,1331,1101,1532,1541,1663,1444,726,1171
ACAT2,782,1176,1085,1301,470,1273,641,946,1013,498,1044
ACBD3,1154,2044,1564,1510,883,1604,998,1943,1643,978,1516
ACBD3-AS1,11,3,7,1,11,3,7,3,6,8,4
ACBD4,1013,1138,1187,807,714,685,873,1095,814,316,208
ACBD5,2585,4303,3255,2391,2573,2830,2648,3316,2739,1064,3406
ACBD6,106,88,154,112,124,102,154,139,122,196,45
ACBD7,1024,1787,1117,329,1093,872,1340,771,695,169,242
ACCS,376,278,440,273,246,248,425,368,199,86,87
ACCSL,2,0,3,2,1,0,3,1,0,2,0
ACD,1336,1507,1923,1539,816,1277,1170,1934,1479,2201,629
ACE,225,386,356,311,160,167,282,390,291,93,99
ACE2,8,6,6,3,3,5,14,10,5,3,3
ACE2-DT,0,0,0,0,0,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0,0,0,0,0,0
ACER1,4,0,2,5,2,1,2,5,2,5,1
ACER2,410,127,199,106,180,82,140,145,172,152,108
ACER3,2256,3564,2636,2221,2323,2775,1893,3182,2599,1573,2884
ACHE,2162,4986,3491,3615,1388,2787,1792,4426,3753,1300,989
ACIN1,4581,4905,6787,4389,4193,4049,5112,5552,4955,3899,2247
ACKR1,1335,2069,692,874,315,1001,522,1297,1232,1839,532
ACKR2,44,52,43,19,52,25,36,53,19,15,9
ACKR3,424,306,501,173,357,255,464,478,191,209,89
ACKR4,12,4,10,2,14,8,12,1,8,5,3
ACLY,3972,9875,5969,6640,2805,6993,3147,8245,7165,2840,4362
ACMSD,31,9,49,17,44,32,57,41,28,115,13
ACNATP,0,1,2,1,0,0,0,2,0,1,0
ACO1,1652,1718,1707,941,1315,1069,1551,1684,1131,895,655
ACO2,8187,15815,11106,9357,6445,11156,8655,13007,10031,3829,5692
ACOD1,2,0,1,0,1,0,0,0,2,3,0
ACOT1,91,132,47,41,142,114,86,157,80,72,46
ACOT11,1126,875,1394,495,1567,791,1608,638,654,204,180
ACOT12,6,2,4,2,3,3,5,2,5,8,3
ACOT13,433,776,685,523,452,672,440,633,594,276,580
ACOT2,268,389,317,215,360,299,376,369,294,255,143
