symbol,SL6644,SL7382,SL7393,SL7395,SL7616,SL7617,SL7618,SL7625,SL7632,SL7701,SL8435
ACOT4,220,229,272,250,242,182,297,264,262,210,158
ACOT6,59,23,40,21,63,26,83,36,43,75,16
ACOT7,3345,9439,7954,8291,3178,8427,3972,10304,8917,3249,4094
ACOT8,823,1392,1288,1092,817,1291,876,1590,1276,700,778
ACOT9,824,1415,1075,972,657,860,871,1030,1010,589,692
ACOX1,2217,3414,2707,1793,2186,2599,2066,2345,2094,1439,1848
ACOX2,204,175,265,74,199,146,277,120,103,119,27
ACOX3,466,682,646,502,434,634,506,708,540,329,300
ACOXL,9,16,25,11,11,13,5,11,20,8,8
ACOXL-AS1,28,32,18,17,11,12,17,16,20,10,12
ACP1,1626,2874,2103,2222,1196,2671,1479,2702,2440,732,2391
ACP2,1601,3359,2547,2549,1240,2807,1445,3403,2853,755,1193
ACP3,8,7,5,0,4,5,8,23,17,6,9
ACP4,44,33,39,18,19,17,28,28,36,25,15
ACP5,43,48,68,18,65,19,42,27,21,21,5
ACP6,454,703,686,312,595,231,343,302,246,227,169
ACP7,91,35,83,71,92,35,96,37,78,61,17
ACR,47,43,39,34,17,25,44,27,24,35,5
ACRBP,25,31,43,22,29,8,29,26,22,46,12
ACRP1,0,0,0,1,1,0,0,0,0,8,0
ACRV1,75,75,68,77,47,78,74,88,77,38,46
ACSBG1,3150,3663,3009,523,2978,2143,3106,1121,904,758,266
ACSBG2,40,20,32,14,31,18,42,27,16,11,6
ACSF2,435,547,630,222,523,407,671,551,221,131,93
ACSF3,846,1150,1391,749,815,930,957,1200,938,634,383
ACSL1,1490,1419,1507,1162,1289,1273,1211,1926,1260,955,1423
ACSL3,5872,10883,9585,8889,4971,11131,5900,11301,9673,3246,12518
ACSL4,2366,4965,3412,4339,1767,5842,1689,5080,4059,1531,8463
ACSL5,2177,310,311,339,391,310,547,385,405,1550,256
ACSL6,6083,13147,9169,6498,5243,9594,5602,7592,7001,1811,8808
ACSL6-AS1,29,16,33,20,32,13,27,17,19,15,8
ACSM1,12,9,12,5,3,2,9,7,7,68,3
ACSM2A,2,1,1,0,0,0,2,0,0,1,0
ACSM2B,4,2,5,2,2,0,1,0,0,6,0
ACSM3,13,6,16,8,14,6,7,11,8,4,5
ACSM4,21,18,21,16,14,13,16,12,21,8,14
ACSM5,45,71,101,39,73,45,60,64,33,6,25
ACSM6,14,6,4,7,11,7,16,8,11,7,9
ACSS1,4335,5009,6561,1209,5836,3139,6410,2791,1931,501,478
ACSS2,1618,2472,2318,1713,1269,1759,1366,2357,1830,1588,1011
ACSS3,798,559,702,153,841,524,761,370,307,206,210
ACTA1,36,57,49,47,22,64,36,77,51,305,26
ACTA2,1013,831,1048,1158,735,520,1449,2412,888,774,398
ACTA2-AS1,54,75,63,79,32,113,58,128,94,14,99
ACTB,45576,82485,78554,69968,44415,89365,51205,90588,75722,47924,39374
ACTBL2,0,0,0,1,0,0,0,0,0,0,0
ACTBP1,0,2,0,1,1,1,1,1,2,0,0
ACTBP12,2,1,1,1,3,1,4,0,4,12,1
ACTBP14,5,1,5,2,5,1,7,2,9,6,2
ACTC1,135,137,173,128,77,109,118,190,187,228,98
ACTE1P,3,3,1,1,0,2,4,1,0,2,3
ACTG1,29247,49695,41970,39693,24121,47546,27718,53564,41954,27871,21236
ACTG1P12,23,11,19,15,46,33,46,20,28,99,6
ACTG1P14,11,8,9,3,12,9,11,14,9,21,5
ACTG1P15,8,6,10,4,7,2,12,4,7,9,3
ACTG1P16,3,0,0,2,2,0,5,0,1,0,1
ACTG1P17,35,29,42,27,68,22,42,20,22,19,7
ACTG1P19,2,1,2,1,0,0,0,1,0,1,1
ACTG1P21,0,1,1,2,0,0,0,0,0,0,0
ACTG1P23,1,1,0,1,1,0,2,6,3,2,1
ACTG1P24,3,0,1,4,4,1,5,3,0,1,0
ACTG1P25,13,13,22,9,13,10,15,15,17,26,7
ACTG2,229,64,103,130,67,47,130,287,73,170,50
ACTL11P,2,7,4,1,0,2,2,2,2,7,0
ACTL6A,252,260,262,124,207,165,198,402,179,245,167
ACTL6B,2171,4293,3866,3904,1636,3413,2115,5175,4287,1348,1301
ACTL7A,2,1,0,0,0,2,1,0,0,2,1
ACTL7B,2,1,0,2,0,1,1,1,2,6,1
ACTL8,7,4,4,9,1,8,3,388,17,3,2
ACTL9,0,0,0,0,0,0,0,0,0,0,0
ACTN1,8693,9130,9565,9531,4672,9912,5758,11923,8735,11657,4669
ACTN1-DT,4,1,5,4,0,0,2,4,2,8,0
ACTN2,2165,3755,3363,3632,1830,4202,2041,3979,3228,4776,3221
ACTN3,16,16,29,18,11,5,13,11,13,34,4
ACTN4,13693,17497,18754,14471,10039,13242,13208,22979,17033,15417,6170
ACTN4P1,1,1,2,1,2,0,0,1,1,0,0
ACTP1,0,1,4,1,1,0,1,0,1,0,0
ACTR10,1467,3124,2450,2746,1294,3125,1611,2756,2629,576,3090
ACTR1A,5866,10606,9127,8486,4623,8734,5390,10412,8667,4694,5477
ACTR1AP1,8,2,0,3,9,1,5,1,1,26,3
ACTR1B,6299,10887,9145,9222,4449,8092,5031,9824,8849,3350,3850
ACTR2,7851,19529,14155,14023,6441,16884,8281,16266,15045,4728,15974
ACTR3,3107,6327,4695,4557,2625,5241,2705,5253,4770,2430,5651
ACTR3B,1184,2596,2197,2358,1124,3307,1302,3173,2590,1087,2140
ACTR3C,47,86,76,65,51,72,63,104,81,28,69
ACTR3P2,0,0,2,0,0,0,0,0,0,0,0
ACTR5,280,322,372,238,217,248,264,404,293,178,178
ACTR6,764,1333,1099,1021,681,998,756,1267,1074,286,1071
ACTR6P1,1,0,0,0,0,1,2,1,0,1,0
ACTR8,630,1411,1101,915,597,1066,691,1003,805,243,1106
ACTRT1,4,3,2,1,1,1,3,1,4,3,0
ACTRT2,0,0,0,0,0,0,0,0,0,1,0
ACTRT3,44,77,47,61,22,84,46,93,67,32,72
ACVR1,763,995,1049,842,518,1058,808,1022,931,503,876
ACVR1B,4382,8199,5422,6279,3069,6809,3472,6610,6347,3415,3202
ACVR1C,627,1499,927,1218,680,1191,597,1333,1379,214,1507
ACVR2A,386,992,700,745,405,884,462,919,749,502,1239
ACVR2B,918,1135,1105,900,872,948,925,1063,1041,451,1267
ACVR2B-AS1,80,51,58,48,43,63,50,51,57,27,60
ACVRL1,2098,647,1084,554,589,398,1206,921,900,1343,272
ACY1,58,26,78,41,41,23,59,44,43,53,4
ACY3,23,136,104,45,37,95,64,416,90,1,70
ACYP1,315,305,446,317,346,283,329,351,255,190,231
ACYP2,877,1163,1249,1014,954,1174,1132,1092,1125,606,1023
ADA,230,140,263,91,225,154,195,159,116,471,63
ADA2,732,1033,822,454,757,494,818,771,489,259,288
ADAD1,3,0,1,2,0,0,0,0,0,0,1
ADAD1P2,0,0,0,0,0,0,0,1,0,2,0
ADAD2,37,55,22,56,11,32,16,82,42,250,8
ADAL,439,776,703,558,501,603,594,569,613,375,408
ADAM10,2105,2960,2543,1834,2134,2412,1809,2735,2124,1241,2922
ADAM11,6872,13290,12560,12769,4407,11025,5916,14199,11855,7129,4256
ADAM12,203,79,133,73,127,82,144,145,90,377,67
ADAM15,4117,3063,3834,2881,2571,2182,2635,3777,2597,7410,665
ADAM17,663,676,681,585,598,804,637,860,543,663,600
ADAM18,4,0,1,2,0,0,1,0,0,1,1
ADAM19,491,1018,812,796,525,1348,584,1173,755,934,595
ADAM1B,61,74,56,50,55,71,58,63,54,59,61
ADAM2,2,1,3,2,1,0,0,0,0,1,0
ADAM20,42,28,21,11,52,23,68,35,42,69,18
ADAM20P1,18,9,18,10,26,16,25,15,18,19,7
ADAM20P3,0,0,0,0,0,0,0,0,0,0,0
ADAM21,40,63,44,40,48,53,35,56,32,35,78
ADAM21P1,0,3,1,3,3,2,1,7,9,0,1
ADAM22,4460,12191,6769,8485,3505,9752,3833,9406,8704,2206,12880
ADAM23,4454,14477,7911,9985,3671,9870,4208,10110,10161,2368,10315
ADAM24P,0,0,0,0,0,0,0,0,0,0,0
ADAM28,92,141,141,72,137,135,149,254,103,52,159
ADAM29,19,32,28,31,13,20,15,30,25,24,29
ADAM30,1,0,1,0,0,1,0,0,0,0,0
ADAM32,109,82,123,94,89,65,102,102,120,472,80
ADAM33,668,595,965,1050,681,571,870,826,699,626,201
ADAM3A,1,0,1,2,0,0,0,0,0,7,0
ADAM3B,3,1,1,1,8,3,4,0,2,1,0
ADAM5,4,3,2,4,3,0,3,5,4,236,2
ADAM7,8,3,6,4,22,1,11,4,5,10,1
ADAM7-AS2,2,2,0,0,2,0,4,0,4,0,1
ADAM8,199,140,365,241,127,103,141,210,252,195,56
ADAM9,1771,2836,2042,1784,1293,1986,1452,3287,2138,1093,2648
ADAMDEC1,12,1,4,4,12,2,10,4,2,8,0
ADAMTS1,4206,1158,1667,673,2809,750,729,3834,852,6337,693
ADAMTS10,2305,3002,3842,2624,1838,1911,3041,3319,2617,1399,585
ADAMTS12,26,14,12,17,12,14,8,18,9,10,12
ADAMTS13,1631,1700,2459,1439,929,1188,1272,2017,1681,724,329
ADAMTS14,267,106,623,78,391,106,89,91,103,184,44
ADAMTS15,124,104,142,83,97,102,57,168,82,250,44
ADAMTS16,122,233,114,187,140,199,161,174,149,60,116
ADAMTS16-DT,50,41,28,27,29,22,48,24,37,19,22
ADAMTS17,254,268,317,92,223,233,274,200,201,117,51
ADAMTS18,7,84,8,4,118,20,26,9,14,21,39
ADAMTS19,116,96,124,87,121,122,156,116,122,734,145
ADAMTS19-AS1,9,13,13,14,4,21,5,15,15,5,13
ADAMTS2,497,634,456,528,332,309,428,374,398,223,124
ADAMTS20,11,9,3,4,9,1,1,4,8,2,7
ADAMTS3,221,320,327,315,221,561,242,436,316,41,470
ADAMTS4,2278,1383,1323,369,2052,791,1108,877,706,3653,620
ADAMTS5,130,202,120,124,74,125,83,175,151,43,198
ADAMTS6,91,56,63,57,57,59,75,60,48,46,52
ADAMTS7,234,187,274,82,267,142,172,169,95,258,34
ADAMTS7P3,8,4,5,0,3,2,0,4,3,2,0
ADAMTS7P4,20,27,23,26,5,10,24,9,14,7,1
ADAMTS8,733,1211,1399,1407,727,1370,844,1978,1446,850,849
ADAMTS9,6767,202,299,122,401,281,212,197,183,6174,151
ADAMTS9-AS1,76,14,16,26,31,67,13,21,11,75,36
ADAMTS9-AS2,195,139,127,123,178,130,161,155,174,78,83
ADAMTSL1,99,202,171,121,39,222,59,282,184,48,110
ADAMTSL2,385,814,570,685,242,508,328,801,597,168,233
ADAMTSL3,251,195,192,149,249,178,235,173,144,167,141
ADAMTSL4,455,142,175,96,152,154,192,139,119,1224,27
ADAMTSL5,122,128,165,53,122,104,143,84,65,179,15
ADAP1,1988,2446,3065,2321,1834,2164,2068,3213,2491,2900,637
ADAP2,228,296,324,214,286,196,310,542,256,392,125
ADAR,9848,23499,15210,16540,9226,18267,9630,20057,18581,6647,14461
ADARB1,2928,7050,5815,5380,2255,5842,3275,7981,6288,3204,4027
ADARB2,748,743,871,426,581,521,509,741,703,139,250
ADARB2-AS1,40,32,106,48,57,39,80,99,70,128,25
ADAT1,1119,1516,1119,1089,675,1127,823,1421,1547,523,801
ADAT2,153,233,254,153,135,173,186,246,177,100,187
ADAT3,72,60,111,70,83,52,76,104,73,277,10
ADCK1,469,827,814,555,475,690,588,931,812,161,249
ADCK2,459,1264,854,916,515,1103,541,1540,944,250,540
ADCK5,468,553,811,557,394,534,515,835,611,473,172
ADCY1,23317,57401,36146,39088,15304,41772,21039,55758,42268,11252,28179
ADCY10,66,23,46,22,38,30,44,24,28,411,18
ADCY10P1,325,357,430,182,409,212,388,304,313,464,163
ADCY2,8518,14864,9850,9533,7405,13157,7809,11851,9852,3810,8332
ADCY3,2146,4191,2325,2663,1139,2375,1396,3953,2456,1661,1309
ADCY4,1154,483,690,608,607,306,616,437,538,773,138
ADCY5,5593,11995,9535,9500,4458,8499,5612,11972,9538,3471,3887
ADCY6,2194,3709,3782,3156,1967,2613,2119,3826,2947,2255,1318
ADCY6-DT,5,6,13,7,7,1,8,12,9,4,6
ADCY7,199,544,311,402,174,524,177,788,314,109,210
ADCY8,733,1064,871,575,519,813,498,814,757,1168,467
ADCY9,2273,4415,3237,2815,1708,2725,2326,4062,3510,2607,1568
ADCYAP1,408,752,880,1134,247,2765,330,1539,1338,2990,915
ADCYAP1R1,8344,12524,9391,5551,7307,6671,8149,7377,6745,2504,3774
ADD1,18856,32464,25056,21365,14102,23701,15883,28622,24101,8882,12953
ADD2,9261,24999,15994,19713,7832,23168,9958,22630,19363,5766,15819
ADD3,7156,9166,9941,4039,9625,7018,9761,6255,5009,1811,4675
ADD3-AS1,68,72,61,33,116,68,96,37,47,9,30
ADGB,10,0,6,5,2,7,4,7,3,10,6
ADGB-DT,0,0,0,0,0,0,0,0,0,0,0
ADGRA1,4452,9923,8853,8355,3159,6738,4470,8508,7228,7020,3249
ADGRA2,2046,2484,2811,1980,1406,1235,2625,3002,2156,1960,421
ADGRA3,1649,1792,1906,435,1985,1125,1938,983,645,382,294
ADGRB1,14709,24130,22737,14867,10458,17146,13878,24283,16608,23250,3688
ADGRB2,24502,51415,41509,36640,16550,43284,19434,54214,37663,36806,14991
ADGRB3,2900,5703,4315,4646,3029,6043,3635,4994,4526,1056,5412
ADGRD1,1171,310,251,238,187,215,240,309,258,661,144
ADGRD2,3,0,7,0,0,0,0,1,0,15,0
ADGRE1,6,0,4,0,1,1,0,1,0,8,0
ADGRE2,249,45,100,33,102,54,58,32,40,192,22
ADGRE3,12,0,6,5,3,0,0,2,2,7,1
ADGRE4P,3,9,9,0,11,6,9,2,2,2,13
ADGRE5,354,262,401,213,322,186,325,417,245,272,93
ADGRF1,1,2,3,3,1,1,0,20,0,0,1
ADGRF2,4,28,7,4,1,3,6,5,6,3,0
ADGRF3,34,80,47,42,55,60,66,57,43,37,14
ADGRF4,2,13,7,2,8,3,9,2,4,1,5
ADGRF5,2252,1945,2442,1924,1241,2061,2259,2410,2768,1993,1973
ADGRF5P1,21,72,110,41,9,77,36,36,17,2,90
ADGRG1,13784,10210,10536,3518,9137,8208,11087,5984,3950,17459,1076
ADGRG2,44,29,36,25,50,45,49,345,42,29,28
ADGRG3,38,4,16,27,10,2,4,16,4,65,4
ADGRG4,2,2,2,9,1,2,0,1,0,0,1
ADGRG5,23,5,17,12,9,9,8,23,11,16,11
ADGRG6,144,148,111,155,37,104,154,512,133,184,183
ADGRG7,2,0,1,0,0,0,0,1,0,0,0
ADGRL1,18576,33964,25124,24053,11639,27246,15475,38088,25900,16717,7512
ADGRL1-AS1,233,143,257,136,242,166,244,170,182,340,64
ADGRL2,2812,4785,3336,3268,1754,4300,2466,3454,3573,2056,3509
ADGRL3,3321,7422,5446,5044,3674,6970,3745,5624,5230,1956,7378
ADGRL4,829,311,511,215,279,163,377,335,403,660,251
ADGRV1,2237,2673,4223,858,5167,2967,4177,1554,1379,1129,470
ADH1A,1,1,1,1,2,0,0,0,0,3,0
ADH1B,86,15,24,53,11,25,51,11,29,62,25
ADH1C,0,0,3,1,1,3,1,4,0,1,1
ADH4,4,4,2,2,3,0,2,0,0,4,0
ADH5,1959,3406,2614,2123,1886,2519,2310,2633,2406,682,2450
ADH5P2,1,0,0,0,0,1,0,0,2,0,0
ADH5P3,18,9,10,6,24,20,37,10,13,32,11
ADH5P5,0,0,0,0,0,0,0,2,0,0,1
ADH6,6,1,4,4,0,2,0,0,1,2,0
ADH7,1,0,0,1,0,0,0,0,0,0,0
ADHFE1,802,884,859,264,689,589,812,315,368,189,180
ADI1,827,1043,1127,728,760,887,1070,1013,868,449,631
ADI1P3,0,0,0,0,0,0,0,0,0,0,0
