symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
ABCC4,106,38,216,127,205,68,93,284,165,214
ABCC5,2853,1775,4684,1462,5862,3713,5393,6076,4728,1574
ABCC5-AS1,4,4,9,23,9,9,14,12,8,8
ABCC6,147,60,219,213,109,88,137,109,113,123
ABCC6P1,5,3,13,12,14,12,10,9,8,5
ABCC6P2,0,0,7,4,3,0,2,4,2,0
ABCC8,1984,1112,1409,681,1882,1997,2811,1744,1950,693
ABCC9,523,180,655,520,1025,215,563,1010,743,900
ABCD1,676,266,593,535,631,515,881,522,616,345
ABCD1P2,0,0,7,7,3,0,0,0,0,0
ABCD2,117,108,392,113,782,214,513,859,278,332
ABCD3,715,408,1331,883,2359,941,1484,2803,1455,1247
ABCD4,1443,645,1134,1744,1305,1379,2023,1699,1608,1295
ABCE1,393,219,813,461,1531,704,1009,1946,966,536
ABCF1,1416,990,3201,1656,4757,4467,5609,5236,3135,1928
ABCF2,1074,758,2286,1283,3458,2035,2742,3903,2228,944
ABCF2P1,5,1,7,1,6,0,3,2,2,5
ABCF2P2,2,1,3,9,5,1,6,1,2,6
ABCF3,1378,659,1672,855,2587,2012,2529,3070,2004,715
ABCG1,791,368,1166,884,2230,965,1533,2557,1707,1119
ABCG2,201,640,1208,816,1857,852,2135,2832,1537,1093
ABCG4,554,407,919,178,1242,822,825,1353,1176,190
ABCG5,7,6,14,16,34,26,17,27,23,21
ABCG8,19,15,29,13,56,29,30,49,50,12
ABHD1,65,51,63,79,117,83,132,146,122,97
ABHD10,545,321,1044,475,2036,1284,1625,2818,1110,599
ABHD11,319,137,299,230,395,323,520,405,357,136
ABHD12,3139,1868,6167,2369,7945,6935,8840,9571,4853,1985
ABHD12B,160,154,378,176,575,299,1159,449,300,133
ABHD13,256,132,406,276,787,420,561,1018,467,309
ABHD14A,285,194,664,316,965,708,949,999,569,309
ABHD14A-ACY1,4,2,5,2,8,8,15,3,4,5
ABHD14B,345,299,650,306,521,566,936,785,509,482
ABHD15,92,63,295,162,218,133,219,285,169,161
ABHD16A,35,23,34,57,74,38,69,46,69,46
