symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
BTK,10,12,37,54,52,42,65,106,63,81
BTLA,0,0,5,10,11,1,2,6,4,3
BTN1A1,5,2,9,2,9,4,7,10,11,9
BTN2A1,524,373,1135,475,1538,1077,1235,1839,1189,645
BTN2A2,155,74,426,137,354,216,360,486,302,155
BTN2A3P,20,3,24,33,25,27,30,20,21,35
BTN3A1,128,122,412,146,502,311,487,638,493,460
BTN3A2,169,150,501,261,510,541,613,751,672,395
BTN3A3,91,80,307,149,341,244,301,551,404,312
BTNL2,12,3,30,8,36,13,40,25,25,23
BTNL3,2,1,6,14,8,2,2,1,3,1
BTNL8,3,0,7,10,6,1,2,2,1,2
BTNL9,279,141,214,295,623,443,639,337,464,263
BTRC,1247,1123,3538,845,6650,3377,3797,8593,4439,1414
BUB1,6,12,70,32,93,32,36,57,49,16
BUB1B,17,7,23,30,49,11,31,26,56,20
BUB3,393,239,921,463,1514,812,1279,1812,1056,646
BUD13,201,73,235,129,344,245,352,426,354,188
BUD23,723,318,1043,892,1508,1233,1567,1601,1176,654
BUD31,182,68,246,119,333,343,361,492,230,103
BUD31P1,0,0,0,2,1,0,0,0,1,1
BVES,152,97,513,380,964,281,425,1062,435,557
BVES-AS1,5,5,21,11,24,15,24,29,14,38
BYSL,194,125,368,302,621,434,568,688,325,89
BZW1,293,171,649,472,1214,581,820,1348,630,491
BZW1-AS1,0,0,2,2,1,0,0,0,0,0
BZW2,179,165,445,257,1605,539,758,826,429,133
C10orf105,178,38,352,136,296,51,63,208,121,156
C10orf120,0,0,0,2,0,0,0,0,0,1
C10orf126,0,0,1,4,2,0,0,0,0,0
C10orf143,58,40,68,42,90,125,120,96,76,73
C10orf53,3,1,18,2,18,2,1,6,0,0
C10orf55,2,0,1,1,2,0,1,1,0,0
C10orf62,5,4,12,13,7,6,6,7,8,13
C10orf67,20,15,44,39,66,28,32,50,21,33
C10orf67-AS1,4,1,1,15,2,0,5,4,7,7
C10orf71,0,0,3,1,2,0,0,0,0,1
C10orf82,9,3,35,2,29,13,14,73,46,27
C10orf88,134,101,311,94,488,310,476,640,264,159
C10orf88B,48,30,69,23,82,71,133,121,95,42
C10orf90,191,86,422,223,536,298,558,712,412,701
C10orf95,19,5,11,3,6,8,7,4,14,5
C10orf95-AS1,305,171,413,161,400,352,462,691,560,296
C11orf1,194,111,366,166,615,407,556,632,312,242
C11orf16,68,6,103,45,74,5,19,38,2,12
C11orf21,10,11,8,2,17,8,6,10,11,14
C11orf24,428,184,754,531,1001,523,824,812,511,360
C11orf40,0,0,2,3,3,0,0,0,1,1
C11orf42,21,14,42,19,67,38,59,89,70,26
C11orf52,1,0,1,5,4,2,1,0,3,1
C11orf54,206,124,377,270,540,428,711,922,651,517
C11orf58,1218,662,2253,1266,3768,2416,3291,4347,2447,1858
C11orf65,30,17,62,23,59,38,40,33,38,78
C11orf68,1855,1037,2758,1425,3301,3283,3859,3815,2528,920
C11orf71,16,13,18,8,61,19,19,54,28,9
C11orf80,295,165,454,179,524,412,599,819,456,309
C11orf86,0,0,4,4,2,1,1,1,0,0
C11orf87,721,490,1705,155,4148,2096,2467,5437,2578,326
C11orf91,23,0,2,18,6,1,2,4,2,4
C11orf94,9,0,10,16,9,10,9,6,5,5
C11orf96,1918,27,240,2706,728,250,275,788,341,486
C11orf97,31,15,61,13,89,49,84,122,48,22
C11orf98P1,16,12,17,248,25,23,60,15,16,46
C12orf29,385,199,752,288,1292,585,1038,1542,739,460
C12orf4,180,106,310,189,713,361,482,722,416,249
C12orf40,1,4,8,20,14,4,10,7,4,14
C12orf42,1,1,12,31,12,2,6,1,4,1
C12orf42-AS1,1,0,9,9,7,0,0,0,0,0
C12orf43,390,238,752,332,1171,1165,1194,1477,877,475
C12orf50,2,0,13,17,9,3,2,5,8,5
C12orf54,9,12,22,19,25,20,24,23,12,15
C12orf56,21,7,18,38,32,25,39,21,44,93
C12orf57,105,30,113,79,128,144,165,226,138,82
C12orf60,22,7,40,46,89,48,80,88,62,29
C12orf71,4,5,7,6,8,4,2,5,6,1
C12orf73,123,66,233,80,318,254,316,501,292,149
C12orf75,87,21,245,75,333,214,171,439,262,154
C12orf75-AS1,0,0,0,1,0,0,0,0,0,0
C12orf76,443,291,1007,741,2017,1174,1556,2062,1184,1297
C13orf42,1,0,7,1,8,4,8,4,5,3
C14orf119,164,135,409,367,712,509,715,877,373,236
C14orf132,5505,3086,12083,4319,11715,11554,9531,16950,8666,6356
C14orf178,1,2,1,9,1,0,5,1,5,3
C14orf180,112,25,67,22,99,61,98,87,54,22
C14orf28,69,28,106,50,232,103,152,204,133,126
C14orf39,0,2,4,6,7,0,2,0,0,6
C14orf93,80,57,155,75,154,128,152,168,108,155
C15orf32,0,0,1,0,0,0,0,1,1,0
C15orf39,605,244,797,874,865,531,583,1250,916,702
C15orf40,172,55,218,111,334,256,316,472,239,248
C15orf48,0,0,1,5,5,1,2,2,2,0
C15orf61,199,114,312,92,511,383,495,588,428,112
C15orf62,122,104,103,137,162,133,258,221,188,170
C16orf46,94,59,155,83,178,116,139,226,146,150
C16orf54,6,0,13,21,9,6,3,9,6,16
C16orf74,66,31,102,58,129,93,151,140,104,69
C16orf78,0,0,2,3,5,0,0,0,0,1
C16orf82,0,1,11,5,8,1,3,4,0,3
C16orf86,296,110,229,117,277,277,331,349,284,118
C16orf87,279,122,434,345,1300,559,606,1087,541,262
C16orf89,387,285,801,545,750,467,999,976,537,520
C16orf90,17,9,30,17,20,24,11,31,16,17
C16orf91,147,65,147,132,182,245,310,258,178,63
C16orf92,22,5,11,7,16,14,9,24,21,7
C16orf95,35,14,30,16,25,36,35,39,43,21
C16orf95-DT,5,0,9,25,8,8,3,8,1,8
C16orf96,80,41,114,75,121,84,118,146,92,92
C17orf100,0,0,0,0,0,0,0,0,0,0
C17orf107,166,41,137,57,308,142,115,245,204,28
C17orf113,38,31,81,37,88,83,141,102,78,76
C17orf114,21,10,28,8,15,16,18,23,12,23
C17orf49,15,6,9,28,15,18,26,21,21,14
C17orf58,192,94,260,97,284,202,289,431,226,135
C17orf67,67,26,103,85,80,100,128,153,94,76
C17orf75,178,94,270,75,578,296,414,691,415,164
C17orf80,197,171,445,304,636,403,603,960,630,348
C17orf97,108,53,210,85,288,162,253,247,145,88
C17orf99,2,1,9,15,10,1,3,1,0,5
C18orf21,54,46,100,76,168,142,150,207,111,72
C18orf25,517,256,954,727,1644,738,1107,1779,1102,509
C18orf32,4,4,21,12,8,12,12,13,13,7
C18orf54,38,31,135,116,133,96,131,158,117,139
C18orf63,0,0,2,9,8,0,0,0,0,0
C19orf12,1499,828,2006,896,2886,2206,2734,3540,2766,763
C19orf18,25,16,43,59,42,22,35,35,53,65
C19orf25,1391,432,1151,1051,1022,1564,1793,1628,1181,839
C19orf33,3,1,1,9,3,4,4,2,3,1
C19orf38,13,3,32,33,31,26,24,25,21,31
C19orf44,189,77,261,168,251,192,276,329,231,178
C19orf47,662,316,815,569,885,929,1003,1089,792,880
C19orf48,311,109,354,188,532,316,400,396,298,213
C19orf53,491,161,576,464,804,751,852,989,553,283
C19orf54,216,127,414,291,460,252,433,484,287,301
C19orf67,5,3,11,17,10,4,11,6,7,21
C19orf73,31,11,23,21,32,30,47,42,21,11
C19orf81,21,2,39,43,52,59,31,51,55,45
C19orf84,5,1,10,8,10,1,0,4,2,5
C1D,136,56,319,125,548,324,546,567,292,165
C1DP5,0,0,1,2,3,0,0,2,1,2
C1GALT1,374,212,980,412,1634,525,1157,1482,779,802
C1GALT1C1,90,55,172,117,331,174,276,375,186,166
C1GALT1C1L,10,3,16,7,40,9,33,20,22,21
C1GALT1P3,0,0,1,2,0,0,0,0,0,0
C1orf100,6,2,8,12,6,5,10,5,4,8
C1orf105,2,1,5,4,6,3,5,3,5,11
C1orf109,227,112,373,197,506,407,505,740,459,211
C1orf112,37,22,72,62,92,36,68,84,103,99
C1orf115,2349,1753,4154,806,5854,6102,5791,7480,4911,684
C1orf116,4,3,9,3,16,5,16,17,15,5
C1orf122,749,191,1114,694,1159,1361,1529,1584,995,717
C1orf127,15,13,36,26,54,33,42,40,49,15
C1orf131,121,55,131,129,173,224,286,315,223,200
C1orf141,29,5,24,26,29,5,14,21,12,10
C1orf146,4,5,15,17,27,8,17,24,11,20
C1orf147,24,19,21,3,23,9,26,24,24,16
C1orf159,1662,474,852,727,1120,1145,1883,1060,1201,579
C1orf162,58,32,51,172,76,72,95,94,77,92
C1orf167,0,0,16,25,8,2,5,4,0,4
C1orf167-AS1,0,0,1,6,1,0,0,0,0,0
C1orf174,171,74,254,134,358,202,346,450,333,138
C1orf185,0,0,2,5,2,1,0,0,0,1
C1orf198,2617,1086,4167,4665,5217,2280,4054,5816,4324,4106
C1orf21,920,821,2732,1009,3759,2349,2491,4857,2762,1869
C1orf21-DT,12,6,13,7,25,9,20,22,17,7
C1orf210,1,0,5,7,3,1,3,2,0,1
C1orf216,1688,1851,4878,932,8745,7038,6438,9459,5131,1043
C1orf220,4,3,7,2,12,5,12,11,17,8
C1orf226,55,31,163,119,172,96,121,279,148,174
C1orf35,595,251,476,820,660,851,1082,714,623,429
C1orf43,2064,1484,5000,2408,8567,5265,6861,10104,4418,2238
C1orf50,100,63,249,129,350,278,292,478,236,138
C1orf52,397,234,730,456,1702,975,1172,1785,892,449
C1orf53,6,2,14,16,11,12,13,29,13,8
C1orf54,61,31,82,624,436,109,186,168,80,70
C1orf56,136,77,279,126,295,185,278,355,229,171
C1orf68,0,0,0,0,0,0,0,0,0,0
C1orf74,39,14,49,8,98,49,83,127,61,20
C1orf87,217,55,396,224,289,23,103,254,79,82
C1orf94,22,8,24,10,46,27,29,62,68,21
C1QA,246,77,142,263,213,250,273,420,228,229
C1QB,247,55,190,417,374,324,277,462,281,335
C1QBP,511,179,675,437,1274,835,978,1293,699,426
C1QC,461,69,231,535,371,375,378,539,341,385
C1QL1,1589,180,1046,963,800,915,712,1365,1095,622
C1QL1P1,0,0,1,3,0,0,0,0,0,0
C1QL2,404,123,860,514,474,515,619,846,433,234
C1QL3,46,9,137,14,71,169,10,311,219,20
C1QL4,45,3,47,17,12,6,5,42,111,19
C1QTNF1,795,171,397,1303,476,230,724,387,356,788
C1QTNF12,70,11,39,55,26,30,37,28,54,23
C1QTNF2,37,22,87,41,138,67,71,231,126,74
C1QTNF3,82,39,181,105,213,135,208,267,138,203
C1QTNF3-AMACR,1,1,3,1,3,0,3,7,6,6
C1QTNF4,4158,776,3199,691,3864,4897,4098,6093,3736,592
C1QTNF5,0,0,0,0,0,0,0,0,0,0
C1QTNF6,121,98,216,119,192,130,265,250,213,204
C1QTNF7,22,11,34,32,41,27,53,69,44,72
C1QTNF7-AS1,18,1,9,23,17,1,15,15,10,27
C1QTNF8,245,24,95,46,81,10,49,22,21,7
C1QTNF9,9,1,11,5,8,17,24,14,5,2
C1QTNF9B,6,1,3,1,7,1,1,6,3,5
C1R,1043,101,427,863,283,220,424,374,555,249
C1RL,718,175,434,342,332,313,476,398,387,245
C1RL-AS1,99,31,48,107,76,60,74,56,90,75
C1S,786,262,554,913,658,363,820,810,884,519
C2,34,12,35,65,43,35,49,49,48,16
C2-AS1,0,0,0,0,0,0,0,0,0,0
C20orf141,0,0,0,1,0,0,0,0,1,0
C20orf144,29,7,17,19,25,18,24,22,23,20
C20orf173,2,0,0,2,0,0,0,1,0,1
C20orf202,6,6,18,10,32,23,23,35,14,15
C20orf203,299,103,135,120,174,166,310,199,271,171
C20orf204,280,165,193,240,180,270,358,180,282,142
C20orf27,11907,4401,15709,5263,17636,20086,23216,15964,8911,1816
C20orf85,5,3,20,3,23,0,1,11,4,0
C20orf96,331,209,651,388,723,382,678,796,424,294
C21orf140,40,25,58,26,129,78,67,160,103,49
C21orf58,445,138,433,187,387,258,440,356,241,211
C21orf62,69,23,218,126,124,30,50,118,65,107
C21orf91,186,88,635,315,1077,441,672,1201,703,1022
C21orf91-OT1,2,0,4,16,5,3,5,5,1,6
C22orf15,107,57,165,141,144,72,105,104,29,55
C22orf23,268,149,453,443,641,487,504,600,380,476
C22orf31,12,14,21,28,31,17,44,23,13,24
C22orf39,716,602,1536,932,2216,1849,2171,2966,1996,1113
C22orf42,0,1,3,5,0,2,1,10,4,5
C22orf46,469,285,1066,489,1191,992,987,1294,875,1096
C2CD2,1343,692,1572,1270,2300,1427,1744,3098,2550,1216
C2CD2L,7070,3396,8771,2323,10210,8794,11233,10543,6899,1132
C2CD3,868,538,1666,1232,2127,1073,1517,2586,1546,1107
C2CD4A,6,2,7,107,9,9,8,22,6,3
C2CD4B,77,4,43,47,21,29,21,38,32,57
C2CD4C,1063,197,409,320,466,857,436,900,1097,344
C2CD4D,23,7,33,15,13,20,33,41,37,24
C2CD5,693,374,1166,319,1946,1095,1379,2507,1701,875
C2CD6,31,7,57,40,46,36,45,51,59,92
C2orf15,44,20,70,43,134,81,73,120,47,62
C2orf16,35,7,26,12,59,16,34,71,44,18
C2orf42,250,170,529,288,716,484,671,1127,613,336
C2orf49,296,209,669,399,1072,613,929,1507,893,728
C2orf50,82,45,204,70,187,82,102,259,163,59
C2orf66,7,1,10,24,17,8,7,14,13,6
C2orf68,219,104,458,333,628,387,495,663,377,536
C2orf69,416,214,784,456,1468,930,1115,2064,988,585
C2orf69P1,0,0,1,4,1,1,1,1,0,0
C2orf69P4,0,0,0,4,0,0,0,0,0,0
C2orf72,2191,1382,4506,3267,5361,2531,4627,7049,3651,3932
C2orf73,54,25,132,47,106,32,48,146,62,58
C2orf74,0,0,0,0,0,0,0,1,0,0
C2orf74-DT,91,69,192,89,273,197,170,356,265,184
C2orf76,49,18,70,46,93,71,112,144,61,53
C2orf78,0,0,2,16,6,1,0,0,0,1
C2orf80,257,137,498,59,896,654,829,1193,596,139
C2orf83,1,1,7,10,6,2,2,4,1,3
C2orf88,146,87,411,199,415,222,305,652,495,483
C2orf92,117,76,139,135,179,118,176,146,182,193
C3,1924,741,2903,1354,2052,2805,2586,6052,3892,3214
C3AR1,11,16,49,70,123,41,73,121,53,70
C3orf14,379,268,868,370,1518,1426,1462,2352,1055,595
C3orf18,1017,715,1676,521,1823,1737,2034,2317,1612,701
C3orf20,28,18,72,27,79,23,71,55,84,83
C3orf22,3,0,5,3,2,2,2,1,3,6
C3orf33,53,28,93,55,187,105,145,249,148,88
C3orf38,187,108,366,257,682,333,524,906,431,350
C3orf49,39,26,65,21,123,93,80,141,98,34
C3orf52,12,6,25,46,54,38,45,36,25,15
C3orf56,0,0,2,3,1,0,0,0,0,0
C3orf62,185,115,296,390,344,328,457,439,346,293
C3orf70,1151,616,2624,1255,5452,1666,2006,4682,2353,1455
C3orf80,21,1,33,4,47,111,41,86,53,9
C3orf84,1,0,1,9,2,0,1,0,1,4
C3orf85,1,0,1,6,2,0,0,0,0,1
C3orf86P,1,1,3,12,4,3,4,2,3,2
C3P1,16,4,15,41,22,11,11,3,8,5
C4A,1065,167,230,268,342,145,391,411,909,386
C4B,810,145,164,336,220,58,255,420,1260,550
C4BPA,10,2,22,18,19,21,21,7,22,42
C4BPAP1,1,4,5,9,7,3,3,6,4,25
C4BPAP2,2,2,5,10,5,7,6,3,4,15
C4BPB,2,0,9,8,8,6,6,5,5,9
C4orf17,0,0,11,17,8,1,0,0,0,2
C4orf19,99,12,40,136,48,26,35,73,37,62
C4orf3,1421,880,2939,1470,4779,3978,4274,6398,3738,2976
C4orf33,107,88,287,142,561,255,363,593,302,217
C4orf36,101,79,283,190,333,342,358,521,323,398
C4orf45,2,0,4,5,8,3,4,2,4,7
C4orf46,29,20,61,73,163,84,111,185,131,98
C4orf47,126,53,183,138,215,113,245,145,117,84
C4orf48,154,15,175,95,131,233,221,236,169,123
C4orf50,548,305,779,368,1288,917,902,2012,1341,379
C4orf51,0,0,1,8,3,0,1,1,1,1
C4orf54,68,43,70,428,5174,91,192,183,59,6
C5,162,126,335,164,453,202,287,535,335,321
C5AR1,101,22,143,249,142,31,60,87,52,75
C5AR2,6,0,20,21,20,20,14,15,13,14
C5orf15,274,113,578,292,1098,403,649,1143,598,352
C5orf22,376,284,830,215,1597,639,924,1628,944,321
C5orf24,932,680,2202,1458,4353,2269,3297,5602,2820,1676
C5orf34,42,30,82,32,180,58,80,84,76,89
C5orf46,0,0,2,7,1,0,0,0,0,1
C5orf47,5,0,12,10,26,23,17,24,12,5
C5orf49,352,89,583,232,534,246,207,600,303,124
C5orf52,1,0,4,6,1,0,0,0,1,2
C5orf58,5,0,1,2,3,3,4,5,7,5
C5orf60,4,2,7,24,8,3,3,5,8,3
C5orf63,61,32,118,75,179,99,139,141,93,102
C5orf64,39,19,64,42,96,72,64,249,155,191
C5orf64-AS1,7,4,10,14,16,29,6,16,42,42
C6,28,6,67,25,46,2,0,48,8,5
C6orf118,168,37,256,181,328,43,67,132,74,41
C6orf120,392,239,624,226,1081,505,889,1505,874,403
C6orf132,46,21,62,56,129,103,83,96,64,34
C6orf136,627,355,930,505,1187,999,1308,1376,859,439
C6orf141,619,408,833,1884,2611,1563,1534,2081,1167,194
C6orf15,0,0,0,2,2,0,0,0,0,0
C6orf163,54,42,73,43,129,61,116,100,96,171
C6orf226,42,9,36,24,70,46,53,72,47,28
C6orf47,320,145,472,357,540,429,477,642,398,245
C6orf52,21,1,18,12,25,10,13,28,15,9
C6orf58,2,1,11,11,10,1,5,7,0,8
C6orf62,1401,766,2690,2156,5625,2855,3773,6624,3393,2349
C6orf89,2582,1910,5942,2128,9866,5560,6562,12972,6593,3753
C7,80,29,69,119,113,71,146,106,233,95
C7orf25,7,9,12,13,29,18,36,37,34,23
C7orf31,104,33,179,74,346,115,219,222,127,71
C7orf33,0,0,4,4,1,0,0,0,0,0
C7orf50,2935,937,2525,1507,2589,1896,3162,3613,2288,1032
C7orf57,85,31,198,67,133,46,77,96,61,31
C8A,0,0,4,9,5,0,0,0,0,0
C8B,0,0,7,3,4,0,0,0,0,1
C8G,41,17,31,35,34,44,74,47,37,29
C8orf17,4,1,4,9,8,4,6,4,5,13
C8orf33,888,598,1929,1077,2864,1802,2375,3294,1984,1229
C8orf34,175,97,591,172,658,293,363,635,280,82
C8orf34-AS1,49,30,147,69,162,54,90,185,70,21
C8orf48,19,15,45,14,117,46,85,104,45,18
C8orf58,74,30,103,82,122,93,134,147,84,87
C8orf74,2,0,7,7,6,0,0,0,1,4
C8orf76,29,7,29,58,51,23,42,44,38,31
C8orf82,1047,153,467,301,473,678,695,838,775,308
C8orf88,11,5,12,10,24,10,12,30,23,14
C8orf90,1,0,4,0,1,2,2,3,3,1
C9,0,1,8,16,8,4,1,1,1,3
C9orf131,118,79,115,182,126,98,156,125,120,183
C9orf152,4,2,14,15,3,0,3,5,2,6
C9orf153,9,6,12,58,20,13,39,11,6,29
C9orf163,44,17,70,32,31,31,66,62,46,25
C9orf24,410,121,677,384,705,490,517,617,325,164
C9orf40,117,45,164,79,222,214,298,341,214,106
C9orf43,14,9,37,35,33,10,11,26,19,19
C9orf50,29,17,39,36,36,37,43,29,30,45
C9orf57,7,4,7,4,5,6,8,1,10,12
C9orf64,121,58,234,126,342,153,292,421,276,120
C9orf72,317,259,675,358,890,630,630,1529,828,385
C9orf78,1027,617,1877,1147,2918,2647,2765,3742,2229,1377
C9orf85,87,87,262,140,346,288,371,524,302,321
CA1,5,1,8,20,13,2,0,5,7,35
CA10,195,68,486,183,738,503,277,744,388,393
CA11,9636,5582,14855,6830,18269,23011,24225,19989,9967,3514
CA12,5057,3669,7699,3685,10050,9060,14941,8393,4186,1653
CA13,72,17,43,125,64,17,65,84,67,47
CA14,107,100,406,218,543,262,505,496,294,361
CA15P1,35,20,35,19,33,36,44,21,35,26
CA2,504,449,1156,2557,2539,1337,3590,3269,1922,1241
CA3,14,4,70,59,31,26,44,35,27,28
CA4,78,75,225,100,240,210,478,235,114,112
CA5A,2,0,5,18,11,0,1,4,0,1
CA5AP1,1,0,5,2,2,2,0,2,0,0
CA5B,353,197,763,440,904,467,579,1121,782,965
CA5BP1,325,165,443,646,755,613,753,808,435,390
CA6,0,1,10,16,6,1,0,0,0,3
CA7,338,169,387,145,440,394,661,340,327,99
CA8,532,235,683,484,1049,345,805,1130,544,444
CA9,4,1,5,7,14,5,6,7,4,4
CAAP1,167,89,319,185,420,339,443,658,383,229
CAB39,1281,1011,3211,1333,5709,3214,4321,7248,3776,1775
CAB39L,752,472,1710,730,2265,1098,1452,2533,1470,1175
CAB39P1,1,0,0,1,0,0,0,0,1,3
CABCOCO1,70,33,226,54,149,63,67,179,58,37
CABIN1,6569,3083,7527,3070,6329,6084,8176,7514,7359,2725
CABLES1,2937,2478,5022,3780,7936,3903,5642,8652,5269,2742
CABLES2,336,161,368,221,501,370,472,630,495,262
CABP1,1043,417,943,2742,1102,1823,1329,1376,1270,510
CABP2,1,0,2,7,0,0,0,0,0,0
CABP4,19,9,25,31,23,30,14,19,26,25
CABP5,1,0,10,8,8,0,3,0,1,2
CABP7,373,116,273,174,409,247,389,430,326,127
CABS1,0,0,2,5,3,0,0,0,0,0
CABYR,60,20,103,85,182,91,117,163,130,86
CABYRP1,1,0,0,2,1,0,2,1,3,0
CACFD1,1204,563,1317,1313,1291,1608,2014,1600,1207,811
CACHD1,1590,1165,2866,1857,6298,2327,3141,6115,3537,1716
CACNA1A,7229,2688,5774,8484,8415,7720,10095,8065,7997,3338
CACNA1B,4661,2477,4740,2100,7666,5478,7315,7533,7565,1578
CACNA1C,1132,456,1202,812,1803,969,1483,2308,2297,1074
CACNA1C-AS1,12,11,20,34,29,18,48,28,35,34
CACNA1C-AS2,16,9,8,33,18,23,38,22,29,35
CACNA1C-AS4,14,3,6,32,14,12,14,16,3,28
CACNA1D,647,354,625,321,1244,630,789,1517,1261,613
CACNA1E,6460,4229,11103,2727,24962,12566,13854,28909,16925,2722
CACNA1F,53,29,92,70,81,81,100,79,59,33
CACNA1G,466,149,422,372,530,684,460,569,751,294
CACNA1G-AS1,4,11,16,11,13,11,17,13,12,3
CACNA1H,13651,5492,10349,3347,8774,13511,16492,11696,11899,1669
CACNA1I,3648,1993,5060,1116,4003,4354,5861,4710,4017,922
CACNA1S,104,87,156,55,378,197,215,340,229,52
CACNA2D1,1381,877,2689,532,6156,2937,3374,7700,3458,965
CACNA2D1-AS1,19,6,17,39,28,17,31,20,30,56
CACNA2D2,1632,899,1213,403,3544,1893,2472,4672,2896,1043
CACNA2D3,960,739,1997,382,4424,2360,2932,4604,2076,448
CACNA2D3-AS1,9,1,13,21,10,8,18,6,9,25
CACNA2D4,47,31,48,26,57,35,77,54,58,30
CACNB1,4754,2880,4724,2023,7281,6546,8235,7652,5686,1239
CACNB2,692,703,1625,1004,3047,2118,2519,3136,1862,772
CACNB3,3179,1888,4813,872,3421,4050,5951,4930,3959,951
CACNB4,2448,1696,5825,2979,11096,7282,9016,13021,5805,2109
CACNG1,65,28,96,42,111,115,64,82,58,32
CACNG2,236,143,559,118,635,831,801,889,587,293
CACNG3,1682,1179,3792,1271,6885,3566,5110,6761,2704,556
CACNG4,2851,1363,4019,1976,6120,4361,5006,7597,4564,1134
CACNG5,51,24,90,20,147,44,45,220,113,53
CACNG6,57,6,61,26,35,9,8,38,3,11
CACNG7,3288,1310,3516,1746,3364,3670,4172,4944,3932,1677
CACNG8,3889,3099,7669,2810,12094,12150,10694,15538,11457,3717
CACTIN,1088,352,739,472,789,793,1050,988,930,391
CACTIN-AS1,67,15,12,17,20,8,20,10,40,13
CACUL1,994,678,2358,883,4052,2407,2719,5508,2969,1275
CACYBP,1092,627,2061,1221,3344,2502,3249,5015,2192,1022
CACYBPP3,7,3,4,6,9,5,6,8,9,12
CAD,1386,991,2061,957,2187,1995,2973,2440,2326,1194
CADM1,1899,1582,6193,4282,14044,5510,6134,16235,6428,4145
CADM1-AS1,8,0,20,17,18,13,14,17,9,39
CADM2,2717,2038,7305,3092,13152,6414,10255,18782,8432,5994
CADM2-AS2,2,1,10,7,6,3,2,3,2,10
CADM3,5395,2465,7518,1380,11149,8787,8104,13661,8024,1434
CADM4,5824,2262,7690,5277,8244,7086,8620,10135,7182,4964
CADPS,1340,1015,2657,2579,5384,2732,3540,6922,4238,1503
CADPS2,113,79,268,331,460,323,330,710,340,331
CAGE1,0,0,5,11,8,1,1,1,1,3
CAHM,51,15,51,65,70,76,123,102,60,59
CALB1,3467,3179,9101,1287,22890,10249,17420,20981,6980,793
CALB2,390,197,477,123,929,561,690,1398,698,391
CALCA,1,0,1,4,2,1,0,1,0,2
CALCB,1,4,18,47,137,20,5,23,13,2
CALCOCO1,4143,3546,6572,2903,10887,7943,10822,11518,7183,2931
CALCOCO2,913,493,1666,2164,2369,1373,1976,2792,1768,2091
CALCP,0,0,1,0,0,0,0,0,0,0
CALCR,2,0,17,14,37,12,4,630,175,60
CALCRL,131,53,303,174,411,134,296,451,252,244
CALD1,2004,1111,2687,4915,3994,3245,4541,4911,3486,4572
CALHM1,18,5,16,9,24,42,15,24,24,9
CALHM2,190,103,271,204,223,289,393,432,290,123
CALHM3,7,3,6,5,14,8,11,14,18,4
CALHM4,0,0,2,2,1,0,1,0,1,2
CALHM5,24,24,44,86,76,54,112,101,59,52
CALHM6,13,3,29,6,34,32,25,57,39,8
CALM1,36697,29883,108062,23806,176734,136209,129287,202656,115568,32134
CALM1P1,0,0,0,4,2,0,1,1,1,2
CALM2,7664,5006,15624,7641,29612,20479,31428,32044,15433,8225
CALM2P4,1,0,0,3,2,0,5,0,1,0
CALM3,39622,19860,68390,9067,88510,74243,79056,103723,59021,9580
CALML3,0,0,5,1,3,1,6,3,2,1
CALML4,164,82,202,149,360,219,370,360,269,191
CALML5,0,0,1,1,0,1,0,0,0,0
CALML6,59,35,36,96,40,55,108,34,47,22
CALN1,4109,2946,10456,2019,16107,10499,12819,19959,10078,1786
CALR,2648,1564,6101,4923,8235,5106,6698,11156,5224,2801
CALR3,1,0,3,6,8,0,0,1,0,0
CALU,672,546,1758,1751,4151,1855,2240,4209,2181,1258
CALY,6076,1575,4707,1635,5964,6015,6547,9700,7016,1910
CAMK1,276,96,333,236,448,381,421,505,280,121
CAMK1D,8503,5675,17424,5366,22018,18540,24123,21360,9765,3276
CAMK1G,2627,1305,3521,747,5730,4662,5448,6833,4799,608
CAMK2A,13741,8596,26756,5208,34645,31768,27615,46713,37157,7728
CAMK2B,23157,15179,32731,14785,54872,49600,56202,49384,31138,9415
CAMK2D,492,316,1000,733,2063,1026,988,3966,3071,899
CAMK2G,2327,1751,4798,1730,5334,5450,5610,7609,6325,5809
CAMK2N1,4961,1882,8576,4028,14291,15719,18046,17195,10967,6516
CAMK2N2,439,27,176,44,128,185,155,345,469,99
CAMK4,3708,3208,9936,1183,21417,10721,12530,23605,10974,2048
CAMKK1,6955,3473,7073,959,7218,7271,11287,7395,7309,1019
CAMKK2,4415,2959,9634,1693,13210,10195,12855,9256,6791,1288
CAMKMT,182,127,291,286,495,322,383,645,337,245
CAMKV,17869,12810,33950,3124,48519,39400,39234,59496,34347,4502
CAMLG,499,300,1075,604,2046,1238,1585,1868,919,728
CAMP,0,0,5,0,4,0,0,0,0,1
CAMSAP1,1909,1351,4099,1395,6382,3355,4518,7204,4485,1523
CAMSAP2,1909,1418,5618,2341,9029,4507,6016,11067,6007,3974
CAMSAP3,2207,785,2367,523,2045,2111,2255,2126,2631,431
CAMTA1,2871,2455,6602,2874,10832,8134,12756,12866,8749,3269
CAMTA1-AS2,9,0,3,5,1,0,3,3,3,2
CAMTA2,6971,3082,7729,2652,8503,7569,9060,8506,6958,1770
CAND1,1516,1526,4306,1730,8512,4188,4947,11499,5277,2257
CAND2,1307,567,1536,310,1780,1263,1811,2023,1768,636
