symbol,SL32230,SL32246,SL6130,SL6669,SL7393,SL7403,SL7404,SL7625,SL7632
A1BG,76,31,46,51,78,37,44,55,52
A1BG-AS1,151,166,208,148,164,124,141,210,156
A1CF,3,1,14,4,14,7,12,8,6
A2M,1900,8551,14295,5859,14368,3049,4074,23674,15474
A2M-AS1,55,71,173,71,125,72,39,116,111
A2ML1,90,70,141,128,356,114,117,202,161
A2MP1,13,8,43,39,53,12,38,53,40
A3GALT2,4,6,4,4,4,2,6,30,15
A4GALT,394,168,275,84,251,375,216,201,172
A4GNT,0,5,4,6,1,3,5,1,2
AA06,3,5,2,5,4,0,1,2,7
AAAS,799,670,1104,911,1720,740,1436,1365,991
AACS,3638,3433,4857,3704,4378,3591,4265,5853,4755
AACSP1,13,14,28,16,9,8,26,25,16
AADAC,0,2,1,0,2,1,6,0,3
AADACL2,0,1,3,1,1,0,2,2,2
AADACL3,0,0,3,0,0,0,1,0,0
AADACL4,0,0,3,0,0,0,4,0,0
AADACP1,0,1,10,2,1,1,4,2,4
AADAT,321,245,503,336,567,296,369,480,430
AAGAB,1031,1033,2692,2028,1706,1895,1849,2346,2314
AAK1,13222,10443,23774,14441,15705,12857,9220,19913,17480
AAMDC,31,27,49,26,59,22,48,37,34
AAMP,2869,3222,4121,2699,4155,3525,5646,4772,4005
AANAT,18,29,41,17,29,11,33,32,15
AAR2,545,463,846,453,834,685,563,885,678
AARD,48,82,98,59,51,46,104,958,78
AARS1,11891,14432,24662,12941,17644,15854,16606,23224,19881
AARS1P1,0,0,1,0,0,0,0,0,0
AARS2,1058,1115,1867,1206,1712,1095,1276,2123,1668
AARSD1,54,48,58,101,162,45,82,126,83
AASDH,305,301,621,534,786,529,564,596,667
AASDHPPT,2546,2284,4686,3586,4088,3237,3063,3653,3989
AASS,126,148,359,176,432,294,172,171,160
AATBC,118,206,153,82,120,80,58,167,112
AATK,13573,21195,21857,7872,24985,12931,23822,20481,15894
ABAT,9308,10022,18333,10614,14424,10982,6328,17456,16450
ABCA1,319,194,835,257,848,309,229,532,426
ABCA10,127,113,119,273,229,77,91,206,188
ABCA11P,53,34,84,83,90,52,36,80,86
ABCA12,7,9,43,8,37,14,26,35,20
ABCA13,0,0,28,1,3,4,18,10,2
ABCA17P,309,158,155,172,260,87,166,201,183
ABCA2,29192,55952,69766,17397,61253,31459,56855,50064,37914
ABCA3,11475,14343,19517,8375,13981,12859,7965,18195,13924
ABCA4,28,24,75,24,80,37,31,60,100
ABCA5,1177,1077,2440,1794,1939,1058,1029,2237,1942
ABCA6,129,82,138,235,253,68,167,194,205
ABCA7,1911,2191,1977,1866,3011,1434,2212,2964,2284
ABCA8,194,437,1595,321,1112,318,1245,467,551
ABCA9,265,241,290,391,591,148,228,473,459
ABCA9-AS1,2,0,2,3,0,0,0,3,1
ABCB1,518,1049,2028,660,1971,448,628,1384,1722
ABCB10,319,377,651,394,611,406,344,702,587
ABCB10P3,0,0,4,0,0,2,0,2,0
ABCB10P4,0,1,11,2,2,0,2,1,0
ABCB11,1,4,12,3,6,2,10,4,3
ABCB4,13,12,59,29,41,19,32,35,31
ABCB5,2,2,23,3,2,5,11,7,3
ABCB6,275,172,193,177,235,84,110,150,164
ABCB7,231,169,630,391,474,385,238,459,408
ABCB8,1880,2003,2589,2188,3438,1744,2297,3320,2532
ABCB9,1954,2248,2463,2372,3504,1777,2621,3635,2830
ABCC1,669,871,1562,668,1108,813,457,1529,1066
ABCC10,1285,1347,1474,1378,2227,1046,1134,1908,1641
ABCC11,18,18,69,40,79,46,31,31,31
ABCC12,151,196,263,234,394,154,311,443,365
ABCC13,4,0,15,1,3,3,18,19,2
ABCC2,27,14,15,19,24,12,11,20,14
ABCC3,77,57,78,134,106,32,90,128,109
ABCC4,57,90,411,83,143,139,90,323,87
ABCC5,4080,3258,6763,4819,6095,4078,2828,6042,5732
ABCC5-AS1,5,3,5,10,14,0,8,8,11
ABCC6,131,77,103,67,175,49,103,119,86
ABCC6P1,11,14,14,13,17,5,11,21,16
ABCC6P2,0,5,0,1,4,2,1,4,3
ABCC8,2850,2447,4205,3146,4848,2615,2203,4186,4044
ABCC9,706,292,1450,309,1142,835,270,646,508
ABCD1,367,378,453,119,517,296,304,579,268
ABCD1P2,0,0,3,0,0,0,0,0,1
ABCD2,304,340,1197,692,973,662,302,807,723
ABCD3,555,713,2080,1042,1830,1180,1155,1478,1281
ABCD4,1199,771,1115,1026,1614,756,1043,984,1189
ABCE1,638,721,1748,1038,1206,1055,954,1377,1149
ABCF1,2165,2531,4788,2889,4330,3276,4650,5534,4257
ABCF2,2126,2266,4612,2844,3918,3384,2757,4640,3994
ABCF2P1,3,3,11,9,11,8,3,6,2
ABCF2P2,2,0,5,3,1,0,4,0,2
ABCF3,1870,2300,2963,1850,3018,2035,2770,3586,2848
ABCG1,469,519,1245,357,823,564,449,797,687
ABCG2,290,1170,1119,1158,2725,278,909,2482,2797
ABCG4,1645,1700,2699,2379,2731,2077,1668,2804,2756
ABCG5,39,13,49,40,51,36,54,56,40
ABCG8,72,55,131,91,73,67,20,73,76
ABHD1,24,35,33,44,85,36,43,72,51
ABHD10,984,960,1768,1706,1537,1331,1591,1648,1430
ABHD11,335,452,345,350,690,308,494,631,619
ABHD12,5160,5457,8172,6340,8320,5939,8536,9754,8217
ABHD12B,273,207,385,341,310,259,407,565,404
ABHD13,560,455,1009,641,856,689,623,830,883
ABHD14A,830,803,915,753,1122,650,1422,1109,1100
ABHD14A-ACY1,6,1,7,7,8,2,6,4,6
ABHD14B,310,302,500,432,778,341,572,594,530
ABHD15,76,104,194,83,210,133,144,200,121
ABHD16A,22,24,33,40,62,25,23,33,28
ABHD16B,312,192,205,102,415,199,328,350,235
ABHD17A,6081,6991,3900,2457,6816,3762,8236,7719,5580
ABHD17B,646,705,1745,880,1134,980,1346,1001,960
ABHD17C,747,637,1060,730,1180,902,713,1046,916
ABHD18,372,375,606,512,614,328,378,487,427
ABHD2,3609,3522,9279,3699,6115,6233,2241,6826,5578
ABHD3,368,135,322,228,410,172,274,369,264
ABHD4,635,562,1101,623,1393,1040,727,804,595
ABHD5,183,168,545,206,403,318,175,322,270
ABHD6,1399,1629,2780,1315,1690,1436,1619,1943,1895
ABHD8,6323,4617,4206,2919,5141,3640,5871,6483,5489
ABI1,2331,1790,4947,2328,3499,3249,2036,3592,3274
ABI2,10756,9117,25494,14633,16026,13572,11825,20989,18639
ABI3,96,114,416,129,165,138,139,198,136
ABI3BP,88,88,171,73,167,118,80,198,53
ABITRAM,601,591,1091,975,992,761,684,956,907
ABL1,2260,2361,4615,1353,3989,2762,2020,3368,2787
ABL2,2252,2276,4597,3049,3781,3224,2205,4875,4030
ABLIM1,5141,5561,11860,6796,13258,6678,4873,10705,10824
ABLIM2,5593,6111,7664,4949,7875,5635,5486,11332,10010
ABLIM3,1963,2054,3494,2013,2789,1919,1919,3319,2998
ABO,96,88,30,15,43,13,11,15,44
ABR,33232,34930,54781,25443,45024,36480,28136,56805,45058
ABRA,11,10,18,19,20,8,12,32,25
ABRACL,162,248,184,173,280,143,343,329,251
ABRAXAS1,80,77,94,77,156,76,97,108,117
ABRAXAS2,558,427,920,601,826,648,506,677,724
