symbol,SL5883,SL5891,SL6658,SL7158,SL7386,SL7409,SL7629,SL7798,SL7809
A1BG,16,35,54,33,51,22,65,62,37
A1BG-AS1,58,84,149,157,243,139,234,153,127
A1CF,1,2,6,2,7,6,3,5,10
A2M,4335,5020,2581,5287,9058,5295,13608,2103,8014
A2M-AS1,35,35,59,76,58,56,86,40,71
A2ML1,38,77,220,98,268,162,272,145,285
A2MP1,10,8,34,29,39,22,55,23,31
A3GALT2,4,3,7,2,7,4,12,3,5
A4GALT,51,66,485,259,216,113,142,395,169
A4GNT,0,1,1,0,3,4,2,1,3
AA06,0,0,0,0,4,2,1,5,1
AAAS,292,473,864,997,1043,735,1305,739,684
AACS,1431,1927,4026,3473,4999,3176,4718,2386,2112
AACSP1,6,1,7,16,17,16,11,11,13
AADAC,0,0,1,0,0,1,1,0,0
AADACL2,0,0,0,0,0,1,1,0,3
AADACL3,0,0,0,0,0,3,0,1,4
AADACL4,0,0,0,0,1,0,0,0,2
AADACP1,0,0,2,1,1,6,1,2,6
AADAT,99,115,328,288,451,223,518,252,311
AAGAB,464,468,1271,1323,1789,1364,1600,731,877
AAK1,3695,4261,11404,8787,13671,9429,11278,7583,6645
AAMDC,13,9,41,39,34,37,66,31,36
AAMP,1102,1544,3379,3441,4013,2871,4324,2164,2423
AANAT,7,30,26,47,26,15,64,35,19
AAR2,215,303,670,604,767,453,959,520,602
AARD,12,22,39,52,74,50,63,46,16
AARS1,4617,6013,11950,13049,15434,10983,16159,7290,7830
AARS1P1,0,0,0,0,0,0,0,0,0
AARS2,615,767,1512,1217,1736,1237,1963,862,1130
AARSD1,17,43,96,44,75,48,58,77,47
AASDH,125,141,486,341,619,350,466,348,495
AASDHPPT,746,813,2558,1899,3000,2380,3332,1478,1534
AASS,77,97,423,276,217,138,506,292,294
AATBC,34,100,137,90,185,64,204,192,150
AATK,10833,11168,17790,32574,23906,12765,52001,16488,25923
ABAT,3488,3990,11938,7526,14940,11231,17834,5621,10432
ABCA1,106,186,503,410,493,240,862,550,602
ABCA10,26,42,124,54,114,81,106,103,73
ABCA11P,11,13,64,33,63,31,63,22,37
ABCA12,3,6,22,15,27,19,25,8,28
ABCA13,0,0,3,2,6,11,1,3,6
ABCA17P,42,106,194,136,179,137,215,356,128
ABCA2,29070,32318,42694,109528,65845,29585,171506,51445,74483
ABCA3,4734,6697,15159,12636,17243,9529,19418,7038,10091
ABCA4,13,12,38,21,58,19,51,25,42
ABCA5,399,453,1122,924,1603,1028,1968,855,861
ABCA6,58,55,119,61,134,94,213,104,106
ABCA7,993,1308,2531,2008,2221,1678,2662,1578,1186
ABCA8,503,218,262,1533,765,264,3005,752,1002
ABCA9,112,125,228,129,250,207,423,160,156
ABCA9-AS1,0,0,1,1,0,2,0,1,2
ABCB1,400,377,538,569,933,599,1360,406,850
ABCB10,143,150,390,289,466,320,583,241,284
ABCB10P3,0,0,0,1,1,1,0,0,0
ABCB10P4,0,0,2,1,0,1,2,0,0
ABCB11,3,1,9,4,3,9,10,2,11
ABCB4,4,11,12,14,26,29,45,14,24
ABCB5,1,1,1,0,2,9,4,7,7
ABCB6,35,119,142,142,134,126,164,199,80
ABCB7,102,117,365,323,341,254,480,235,256
ABCB8,945,1330,2398,2399,2800,1888,3458,1625,2038
ABCB9,866,1110,2054,1643,2794,1704,2634,1695,1738
ABCC1,338,405,955,750,997,720,1390,558,662
ABCC10,607,962,1665,1313,1658,1149,1965,1174,1071
ABCC11,17,10,71,46,65,46,63,35,81
ABCC12,66,92,91,108,164,142,127,54,55
ABCC13,0,0,8,0,1,9,19,2,14
ABCC2,2,7,20,9,8,5,22,25,20
ABCC3,37,25,56,31,65,40,69,39,29
ABCC4,24,54,177,159,162,89,272,103,128
ABCC5,1525,1650,4082,3400,4374,2944,4825,2893,2024
ABCC5-AS1,1,3,8,4,9,4,6,10,3
ABCC6,25,65,98,50,126,77,74,155,99
ABCC6P1,1,4,9,1,15,15,9,7,9
ABCC6P2,2,4,1,0,5,1,3,0,1
ABCC8,1307,1709,3521,2858,3771,2148,3308,2139,1654
ABCC9,139,198,1377,817,599,360,1029,654,737
ABCD1,165,237,467,409,494,265,673,356,409
ABCD1P2,0,0,0,0,0,0,0,0,1
ABCD2,132,111,426,268,527,374,677,191,413
ABCD3,354,416,1120,1120,1186,911,1990,627,1120
ABCD4,350,574,1255,1061,1056,706,1365,1726,827
ABCE1,250,308,945,872,1009,766,1514,629,628
ABCF1,946,1211,3186,3165,4004,2505,4701,2058,2283
ABCF2,875,1075,2754,2291,3332,2164,3434,1383,1624
ABCF2P1,0,0,10,3,6,3,2,4,4
ABCF2P2,1,1,0,1,1,1,2,2,8
ABCF3,717,873,1997,1850,2764,1690,2956,1223,1478
ABCG1,250,249,562,733,717,346,1419,592,707
ABCG2,712,532,351,424,1585,1108,2681,331,1484
ABCG4,869,983,2064,1464,2169,1591,1925,906,1194
ABCG5,10,21,35,21,49,37,45,36,24
ABCG8,21,27,64,49,82,53,68,43,41
ABHD1,18,26,56,45,97,45,69,57,73
ABHD10,308,379,1008,953,1289,1101,1448,729,733
ABHD11,128,180,395,296,428,329,559,276,227
ABHD12,1701,2017,4598,4902,7128,5017,6886,3219,3816
ABHD12B,77,83,263,199,336,220,298,217,137
ABHD13,147,160,643,330,584,427,683,342,371
ABHD14A,148,290,514,763,882,732,778,466,449
ABHD14A-ACY1,1,4,8,3,5,5,5,3,4
ABHD14B,167,301,521,491,571,365,625,346,464
ABHD15,37,54,91,148,135,98,239,59,132
ABHD16A,15,21,35,43,41,17,35,32,25
ABHD16B,52,71,239,192,342,240,394,201,328
ABHD17A,1576,2056,4692,3990,6336,4583,8939,3706,4975
ABHD17B,275,274,791,1085,944,648,1819,632,789
ABHD17C,189,329,1016,592,1114,678,1111,490,698
ABHD18,113,150,518,389,481,323,578,406,369
ABHD2,1270,1412,5820,3764,5721,3198,7855,2324,4206
ABHD3,71,92,298,197,264,211,360,1076,256
ABHD4,309,591,1705,1154,1231,825,1599,988,1326
ABHD5,76,94,375,302,301,164,502,295,301
ABHD6,611,695,1091,1804,1828,1070,3001,929,1238
ABHD8,1005,1246,3642,2421,4848,3422,4538,2529,2777
ABI1,660,970,2828,2287,3087,1996,3195,2032,2117
ABI2,4013,4904,12672,11009,16976,10467,19831,7976,8823
ABI3,25,24,133,336,97,67,184,77,82
ABI3BP,23,74,108,96,138,96,197,83,162
ABITRAM,206,294,702,543,729,528,771,472,458
ABL1,1265,1784,4105,4382,3656,1830,6546,2708,3812
ABL2,1036,1384,3553,2293,3324,2117,3937,1912,2179
ABLIM1,2674,3531,7869,5378,11586,6694,11924,4444,8004
ABLIM2,2073,2223,4456,3429,6630,4138,6927,2652,3589
ABLIM3,971,1233,2263,2110,3827,2063,3381,1638,1913
ABO,31,78,65,51,127,24,29,108,42
ABR,13099,20839,44153,31138,52271,34067,53874,20472,31946
ABRA,6,3,22,7,26,18,39,7,13
ABRACL,30,33,107,98,147,161,206,94,84
ABRAXAS1,23,33,100,38,126,52,98,85,86
ABRAXAS2,146,186,546,390,609,466,608,359,326
ABT1,110,142,308,243,378,283,411,157,202
ABTB1,2066,2474,3790,3715,5716,4221,5405,2621,2766
ABTB2,291,272,760,969,743,349,1397,599,675
ACAA1,373,521,1104,1124,1368,914,1527,745,922
ACAA2,98,196,525,378,666,421,810,423,583
ACACB,327,633,1102,757,1431,978,2105,523,1789
ACAD10,184,299,659,554,848,527,816,584,615
ACAD11,2,1,3,1,1,2,4,4,3
ACAD8,462,760,1385,1194,1843,1082,1922,917,937
ACAD9,405,543,1212,1139,1556,1077,1585,711,931
ACADL,14,40,74,32,85,58,102,54,90
ACADM,262,321,1024,656,1050,860,1401,585,767
ACADS,109,251,344,401,442,370,778,382,558
ACADSB,389,488,1277,988,1677,1038,2060,584,962
ACADVL,2102,3625,7738,7084,6657,5949,9001,4705,4917
ACAN,44,44,176,126,108,71,164,39,149
ACAP1,127,227,337,406,385,367,587,395,457
ACAP2,263,278,953,917,1168,715,1963,825,856
ACAP3,8316,13155,20934,19670,25066,15050,31788,14840,16513
ACAT1,294,425,867,779,1150,957,1307,588,675
ACAT2,250,415,975,918,1058,862,775,658,580
ACBD3,349,378,1029,947,1425,1018,1859,1079,884
ACBD3-AS1,1,0,3,4,6,2,5,3,8
ACBD4,266,408,837,639,1034,739,1072,488,682
ACBD5,648,779,2176,2179,2726,1710,3935,1414,1953
ACBD6,55,81,91,74,108,69,139,126,68
ACBD7,108,232,888,315,884,492,1008,471,995
ACCS,72,142,228,247,397,207,523,110,240
ACCSL,0,1,5,2,1,2,1,1,5
ACD,591,938,1652,1384,1608,1151,1485,999,895
ACE,92,122,193,192,331,245,307,117,213
ACE2,1,0,10,7,11,7,8,1,10
ACE3P,0,0,0,0,0,0,0,0,0
ACER1,1,2,5,5,7,9,3,2,2
ACER2,68,47,119,84,113,74,178,276,108
ACER3,726,758,1933,3396,2277,1649,4196,1710,1672
ACHE,1556,2103,2996,2724,3991,3081,3841,2104,2040
ACIN1,1416,1902,4439,3210,5040,3070,6027,3716,3310
ACKR1,346,549,1006,1217,889,545,765,696,407
ACKR2,2,12,13,35,41,14,70,19,35
ACKR3,38,118,300,170,199,152,290,125,316
ACKR4,0,1,2,2,2,1,9,5,3
ACLY,2133,2602,5524,5537,6654,4224,8178,2902,3876
ACMSD,3,6,18,16,30,11,22,14,19
ACNATP,0,2,2,0,1,1,1,3,5
ACO1,316,437,1315,800,1458,823,2339,861,1038
