symbol,SL6124,SL6125,SL6126,SL6641,SL6662,SL6670,SL7380,SL7401
ACTR3C,61,48,115,146,86,138,223,65
ACTR3P2,0,0,4,2,0,0,0,0
ACTR5,152,175,248,335,342,375,522,218
ACTR6,289,359,460,669,558,887,1281,454
ACTR6P1,0,1,6,3,0,0,0,1
ACTR8,453,489,575,944,972,653,1542,659
ACTRT1,0,1,4,1,0,1,2,0
ACTRT2,0,0,1,0,0,0,0,0
ACTRT3,24,32,247,60,71,56,64,30
ACVR1,469,487,780,1319,1120,1059,1660,665
ACVR1B,1358,2006,2484,4242,3578,3558,4738,2218
ACVR1C,1188,1842,687,3232,3707,2920,5129,1613
ACVR2A,336,248,279,399,403,375,1100,320
ACVR2B,500,434,451,829,791,738,1593,536
ACVR2B-AS1,37,42,38,77,57,49,105,43
ACVRL1,218,534,1125,1408,745,1158,805,655
ACY1,21,19,73,54,43,66,52,31
ACY3,34,48,4,288,117,135,336,14
ACYP1,114,110,230,210,157,235,346,132
ACYP2,383,495,992,1286,942,1603,1459,866
ADA,154,118,398,114,226,278,283,131
ADA2,497,835,581,990,997,711,1452,469
ADAD1,5,3,13,5,1,0,0,2
ADAD1P2,0,0,0,0,0,0,0,0
ADAD2,14,18,100,24,17,155,214,120
ADAL,224,243,532,586,435,675,733,346
ADAM10,1141,1536,1351,2708,3069,2545,4745,1612
ADAM11,618,1336,1524,1725,1748,2772,1709,1092
ADAM12,267,195,601,667,623,835,888,150
ADAM15,1451,1979,2745,4527,3862,5345,4603,2539
ADAM17,310,333,578,544,522,561,932,342
ADAM18,4,4,22,6,2,0,0,0
ADAM19,81,105,172,199,154,198,271,63
ADAM1B,19,23,45,54,52,43,57,20
ADAM2,6,6,22,5,4,0,0,1
ADAM20,14,5,37,21,20,32,38,12
ADAM20P1,10,6,20,7,7,5,10,6
ADAM20P3,2,1,3,2,0,0,0,0
ADAM21,15,7,41,30,13,17,29,15
ADAM21P1,1,0,5,1,1,2,3,0
ADAM22,1959,2158,1289,3884,4374,3360,8052,2148
ADAM23,3031,3992,2897,7113,7108,6725,10866,4233
ADAM24P,0,1,3,1,1,0,0,0
ADAM28,84,280,64,311,114,177,294,79
ADAM29,6,26,32,15,20,14,36,9
ADAM30,0,1,5,1,1,0,0,0
ADAM32,30,21,93,66,21,37,46,35
ADAM33,408,274,696,932,677,1186,653,416
ADAM3A,3,3,17,5,0,0,0,0
ADAM3B,4,1,0,2,1,3,3,3
ADAM5,2,1,11,3,0,1,2,1
ADAM7,3,1,18,14,4,1,3,1
ADAM8,105,122,663,281,210,543,224,229
ADAM9,681,1045,957,1326,1086,1179,2340,745
ADAMDEC1,0,2,18,5,2,4,0,1
ADAMTS1,340,1908,3054,1140,515,851,878,1648
ADAMTS10,621,613,1074,1993,1010,1719,1792,690
ADAMTS12,32,25,95,74,75,50,74,69
ADAMTS13,532,491,1625,1260,957,2014,986,696
ADAMTS14,142,142,843,402,511,1026,421,123
ADAMTS15,24,40,126,79,41,45,67,17
ADAMTS16,41,51,46,68,39,35,106,58
ADAMTS17,84,61,227,164,185,265,317,70
ADAMTS18,10,8,62,89,142,55,51,42
ADAMTS19,108,130,361,521,343,576,289,155
ADAMTS19-AS1,5,17,17,33,28,31,25,7
ADAMTS2,73,154,84,122,93,230,160,86
ADAMTS20,15,8,50,22,11,6,5,3
ADAMTS3,140,245,187,809,728,788,659,291
ADAMTS4,768,2310,1900,1461,1372,1682,1930,1634
ADAMTS5,18,22,44,90,79,92,130,24
ADAMTS6,20,18,63,76,37,38,35,19
ADAMTS7,66,101,289,231,303,356,264,137
ADAMTS7P3,2,2,3,5,3,5,1,6
ADAMTS7P4,9,10,27,37,28,55,12,16
ADAMTS8,430,767,718,1965,2351,2430,2443,626
ADAMTS9,71,914,4004,299,125,143,230,1934
ADAMTS9-AS1,3,8,38,5,4,3,6,27
ADAMTS9-AS2,55,65,247,131,54,90,178,78
ADAMTSL1,57,80,61,174,239,186,92,52
ADAMTSL2,155,272,373,569,400,562,425,158
ADAMTSL3,115,132,124,463,110,133,187,77
ADAMTSL4,219,274,584,471,213,238,257,232
ADAMTSL4-AS1,3,4,11,3,7,9,13,5
ADAMTSL5,43,53,162,151,144,278,88,73
ADAP1,399,567,1688,2199,1402,2555,1747,1012
ADAP2,163,196,307,534,308,457,517,128
ADAR,8385,10851,9414,16599,18342,15684,28277,11139
ADARB1,1514,1977,2392,5653,4126,4166,5598,2394
ADARB2,334,309,136,1047,693,697,1075,187
ADARB2-AS1,32,15,36,18,24,37,102,3
ADAT1,412,511,662,1068,919,1291,1267,433
ADAT2,91,93,94,160,154,183,256,192
ADAT3,34,22,137,59,71,99,78,30
ADCK1,227,280,292,507,478,644,831,334
ADCK2,317,437,518,902,685,809,1281,520
ADCK5,173,182,443,452,397,629,498,263
ADCY1,2789,5953,5971,12298,7579,12054,10536,3003
ADCY10,7,7,143,35,29,34,24,16
ADCY10P1,192,109,393,328,255,524,437,177
ADCY2,3148,2428,4206,5599,3741,3882,7461,2080
ADCY3,2387,4303,2795,7326,7836,5820,8533,2749
ADCY4,163,202,402,707,420,705,395,330
ADCY5,14124,18624,15951,52217,42576,39436,44945,19890
ADCY6,673,681,1284,1513,1069,1578,1836,541
ADCY6-DT,2,0,9,7,1,3,6,4
ADCY7,106,235,151,455,213,130,304,50
ADCY8,332,358,564,969,434,420,797,210
ADCY9,1245,1731,2452,4771,4273,3764,4477,1721
ADCYAP1,6,84,38,191,156,117,53,9
ADCYAP1R1,7491,7678,12418,13422,13005,12003,24991,6626
ADD1,9347,11815,16640,22855,22618,23299,31920,13246
ADD2,5076,6772,4883,13831,14144,12148,20227,8189
ADD3,4046,4115,6564,8445,8434,8149,16444,5029
ADD3-AS1,29,17,44,40,27,32,60,19
ADGB,56,94,24,243,44,17,47,3
ADGRA1,594,770,715,1002,798,784,1763,573
ADGRA2,518,390,846,3419,1710,1978,1548,161
ADGRA3,1219,979,1411,2426,1762,1809,3909,987
ADGRB1,5579,6863,12079,19627,14333,19517,19431,8083
ADGRB2,15807,19265,18464,56501,42685,46362,44735,23696
ADGRB3,2077,2429,2064,3181,4352,3747,7592,2517
ADGRD1,177,243,1012,683,319,396,353,449
ADGRD2,9,85,24,87,53,22,52,1
ADGRE1,6,32,20,10,1,1,2,6
ADGRE2,22,227,126,103,55,63,60,143
ADGRE3,1,1,26,15,2,0,1,2
ADGRE4P,23,4,15,16,13,4,2,2
ADGRE5,146,178,239,391,192,461,385,164
ADGRF1,5,2,30,15,0,1,0,2
ADGRF2,4,1,8,5,0,0,0,0
ADGRF3,19,26,37,95,45,43,69,34
ADGRF4,0,1,3,0,0,1,0,0
ADGRF5,538,517,1720,2440,1477,1697,1799,322
ADGRF5P1,3,8,9,76,16,14,30,9
ADGRG1,5505,10398,16374,7099,8921,9831,16140,9802
ADGRG2,23,15,54,52,40,47,42,22
ADGRG3,7,28,20,17,4,7,7,8
ADGRG4,3,9,23,7,1,1,1,0
ADGRG5,19,9,24,28,4,14,35,19
ADGRG6,43,53,109,182,101,112,135,19
ADGRG7,1,3,11,6,0,1,0,0
ADGRL1,8462,9093,13840,27397,20281,22889,23859,9641
ADGRL2,1163,991,1306,2052,1864,1637,3436,1428
ADGRL3,2627,2924,2267,3936,5624,4217,9215,2198
ADGRL4,83,149,629,339,267,379,330,124
ADGRV1,2965,1963,5029,4696,5555,5778,7716,2939
ADH1A,1,0,3,2,1,0,2,0
ADH1B,20,21,145,63,28,23,15,49
ADH1C,0,3,8,3,2,1,0,1
ADH4,0,6,10,3,0,2,0,0
ADH5,1128,1365,1798,2724,2117,2611,4309,1534
ADH5P2,0,0,6,2,0,0,0,0
ADH5P3,3,4,16,12,5,13,8,2
ADH5P5,1,0,0,0,0,0,0,0
ADH6,4,3,8,9,1,0,3,0
ADH7,1,3,7,3,0,0,0,0
ADHFE1,302,363,641,559,758,756,981,518
ADI1,590,502,1254,1169,1054,1840,2231,839
ADI1P3,1,0,5,0,1,0,0,0
ADIG,2,0,7,7,2,8,10,3
ADIPOQ,1,1,5,5,1,1,0,0
ADIPOQ-AS1,0,0,1,0,0,0,0,0
ADIPOR1,1511,1931,2444,3919,3234,3561,5639,2262
ADIPOR2,1883,2119,3923,3722,3253,3942,4728,1717
ADIRF,0,0,0,0,0,0,0,0
ADIRF-AS1,71,62,69,110,51,99,87,37
ADK,431,517,822,1146,931,1278,1745,743
ADM,31,835,858,507,73,214,89,326
ADM2,3,4,22,9,7,4,6,3
ADM5,21,23,74,52,30,50,53,23
ADNP,1697,1957,2664,3187,3176,2804,5806,2096
ADNP-AS1,17,17,56,48,35,56,79,42
ADNP2,439,520,697,791,1022,887,1407,471
ADO,519,454,622,1074,1173,1422,2075,683
ADORA1,1614,2091,4398,4525,4205,6314,5842,2180
ADORA2A,15,13,120,49,38,73,38,20
ADORA2A-AS1,31,18,95,86,65,82,51,28
ADORA2B,118,204,450,134,181,334,571,217
ADPGK,337,426,734,803,639,784,1164,565
ADPGK-AS1,11,9,18,15,20,23,36,24
ADPRH,46,86,126,145,79,88,166,49
ADPRHL1,75,52,263,161,135,194,145,75
ADPRM,85,81,186,171,147,190,242,120
ADPRS,498,619,1196,1242,1108,1565,1505,812
ADRA1A,59,117,179,263,148,148,177,41
ADRA1B,52,181,644,116,166,240,221,166
ADRA1D,58,74,167,296,232,293,182,54
ADRA2A,46,81,138,87,85,88,159,25
ADRA2C,444,584,1341,2947,1740,3958,1702,783
ADRB1,470,373,851,767,1213,1389,1841,1006
ADRB2,42,50,116,107,63,68,140,72
ADRB3,6,8,9,6,3,11,3,2
ADRM1,235,283,745,789,538,876,837,410
ADSL,407,406,759,836,710,974,1214,529
ADSS1,131,231,324,428,284,367,430,167
ADSS2,420,521,501,969,934,937,1598,663
ADTRP,5,10,19,9,1,3,1,2
AEBP1,3866,5101,8699,16059,2445,4158,6530,2269
AEBP2,579,617,1124,1516,1432,1337,2412,896
AEN,101,181,700,358,249,311,322,242
AFAP1,1083,1374,1031,2075,2084,1390,3998,1859
AFAP1-AS1,24,21,36,109,91,62,65,35
AFAP1L1,38,77,251,208,196,283,189,65
AFAP1L2,397,373,753,1379,838,1280,1494,396
AFDN,1849,2144,3578,3757,4325,4628,6762,2532
AFF1,471,662,1558,1189,1224,1080,1503,568
AFF2,123,199,132,254,189,175,348,63
AFF3,983,1354,1195,2902,2932,2035,2979,1624
AFF4,3215,4006,4504,6101,7251,5464,11763,4054
AFG1L,133,158,173,226,255,234,543,134
AFG3L1P,401,248,1041,976,539,1041,716,567
AFG3L2,597,819,885,1418,1361,1423,2337,1020
AFG3L2P1,1,1,0,1,0,0,0,1
AFM,2,2,14,2,2,0,0,2
AFMID,220,220,715,470,371,807,493,172
AFP,0,2,3,1,2,0,1,0
AFTPH,1291,1516,2155,2983,2916,3268,4832,1736
AGA,113,175,116,262,355,386,531,130
AGAP1,5792,5619,5974,12204,11112,11205,17809,6204
AGAP1-IT1,9,1,19,21,8,12,11,2
AGAP11,0,0,1,3,2,1,1,0
AGAP2,11313,13562,10609,44139,31759,30350,33811,18887
AGAP2-AS1,7,3,11,7,9,19,14,10
AGAP3,5220,6119,11240,19469,12469,17280,17135,9202
AGAP4,19,2,193,2,21,124,1,89
AGAP5,6,3,35,23,6,12,8,4
AGAP6,206,143,614,403,262,535,422,310
AGAP9,1,2,4,6,1,8,6,3
AGBL1-AS1,0,4,8,16,4,2,2,0
AGBL2,65,94,90,203,74,39,79,19
AGBL3,61,70,104,164,118,156,233,90
AGBL4,173,228,223,388,322,350,644,243
AGBL4-AS1,0,3,3,2,0,3,0,1
AGBL4-IT1,0,2,8,3,1,4,1,1
AGBL5,562,565,1038,1522,1128,1299,1738,750
AGBL5-AS1,2,3,12,10,6,4,6,6
AGER,89,53,244,124,92,184,175,120
AGFG1,1273,1718,1301,2858,3136,2595,4871,1763
AGFG2,1502,2121,3285,5125,3783,4288,4996,2969
AGGF1,897,1138,1536,2131,2024,2596,3627,1430
AGGF1P4,0,0,1,0,0,0,0,0
AGGF1P6,1,0,0,1,1,0,0,0
AGGF1P7,0,0,3,0,1,0,0,0
AGGF1P8,2,1,0,2,0,0,0,0
AGGF1P9,1,2,5,2,1,0,0,1
AGK,627,695,837,1440,1281,1407,2214,971
AGKP1,0,0,0,0,0,0,0,0
AGKP2,0,0,2,0,1,1,0,1
AGL,655,728,643,1255,2186,1601,2836,1024
AGMAT,30,32,67,72,29,26,54,29
AGMO,3,6,27,21,38,29,30,16
AGO1,2028,1767,2230,3579,3898,3570,6304,2024
AGO2,379,366,855,807,873,761,1041,383
AGO3,1024,812,2157,2241,1815,2484,2938,1243
AGO4,712,624,879,1440,1211,1251,2021,930
AGPAT1,1191,1433,2169,3375,2822,3078,4289,1608
AGPAT2,156,205,398,473,257,374,370,251
AGPAT3,2866,3284,5942,7512,6536,6501,10178,3787
AGPAT4,1491,1315,1469,2132,2359,2274,4678,1410
AGPAT5,977,1344,1163,2289,2318,2258,4256,1442
AGPAT5P1,0,0,0,0,0,0,0,0
AGPS,564,615,631,1186,1171,1142,2132,565
AGR2,1,2,12,3,2,0,0,1
AGR3,1,1,13,5,3,0,0,0
AGRN,3662,4238,7477,16544,10753,18406,8995,2366
AGRP,22,17,92,47,64,75,45,32
AGT,4443,4371,13976,12347,7556,10427,10321,5318
AGTPBP1,752,892,723,1305,1422,1278,2620,756
AGTR1,6,8,12,21,22,23,4,6
AGTR2,0,0,3,1,2,0,0,0
AGTRAP,158,196,528,529,255,501,447,200
AGXT,1,1,11,9,3,4,1,1
AGXT2,3,0,11,4,1,0,1,1
AHCTF1,711,871,1734,1528,1639,1710,2376,1212
AHCY,1234,1589,1699,2777,2446,2579,3742,1764
AHCYL1,10604,16773,26046,26248,21851,23175,41736,17612
AHCYL2,1907,2674,2782,3731,4489,3905,6966,2650
AHCYP2,4,6,14,8,3,3,7,1
AHCYP3,4,0,5,6,4,9,9,0
AHCYP4,2,1,10,2,0,1,1,1
AHCYP5,9,3,3,26,7,9,13,0
AHCYP7,0,2,4,8,1,3,1,0
AHDC1,2748,3496,5318,9775,6974,6624,7422,4306
AHI1,1375,992,3167,3316,2462,4010,4350,2203
AHNAK,6084,8022,10513,23682,10646,9236,15912,3887
AHNAK2,507,727,285,1174,548,353,932,391
AHR,222,223,190,535,540,338,685,266
AHSA1,932,1259,5038,2623,2218,2711,3697,1574
AHSA2P,452,203,2404,867,558,1102,688,787
AHSG,3,9,20,13,8,5,7,5
