symbol,SL6124,SL6125,SL6126,SL6641,SL6662,SL6670,SL7380,SL7401
A1BG,23,12,61,48,44,56,66,32
A1BG-AS1,55,78,84,177,180,175,192,83
A1CF,3,4,21,9,7,8,8,9
A2M,4872,5966,4190,14812,9962,12910,13610,1196
A2M-AS1,49,58,67,69,92,73,126,43
A2ML1,166,164,389,507,331,355,415,121
A2MP1,17,22,36,45,32,57,54,29
A3GALT2,6,3,10,5,1,32,6,7
A4GALT,83,172,632,309,149,212,118,228
A4GNT,6,4,7,9,5,5,2,1
AA06,2,1,3,4,2,2,1,2
AAAS,472,475,1151,1193,881,1333,1260,516
AACS,649,757,1233,1331,1355,1709,1870,1031
AACSP1,1,6,20,10,3,4,4,4
AADAC,2,1,7,0,1,1,0,0
AADACL2,3,0,9,10,4,2,0,1
AADACL3,0,1,8,5,0,0,0,0
AADACL4,0,1,5,1,1,0,0,0
AADACP1,4,2,12,5,0,3,3,1
AADAT,147,147,347,266,303,386,552,167
AAGAB,447,697,747,1122,1136,1287,2009,823
AAK1,2739,3712,6660,7735,7619,7201,10324,3563
AAMDC,29,28,74,74,39,55,59,19
AAMP,1362,1900,3189,3986,3815,5257,5233,2714
AANAT,15,18,42,23,18,20,36,18
AAR2,338,371,1013,823,718,832,1106,532
AARD,79,34,54,72,88,98,225,58
AARS1,5545,7764,10941,14764,12846,13961,18541,7439
AARS1P1,0,0,0,0,0,0,0,0
AARS2,452,532,1038,1337,988,1242,1199,571
AARSD1,39,27,196,102,56,112,87,86
AASDH,281,235,494,614,530,660,805,358
AASDHPPT,984,1289,1167,2694,2713,3341,4283,1759
AASS,234,203,478,458,362,496,548,306
AATBC,229,94,242,360,439,307,353,175
AATK,5215,5692,7944,18181,16461,26515,16472,4902
ABAT,8742,10191,8945,23526,19204,14113,30818,11623
ABCA1,1049,2020,3152,1853,2885,2569,4109,1259
ABCA10,31,21,125,76,45,88,79,50
ABCA11P,29,26,44,72,43,66,75,35
ABCA12,13,16,45,35,9,10,16,11
ABCA13,24,17,53,40,27,13,44,21
ABCA17P,146,96,577,241,143,308,282,217
ABCA2,23834,26002,28093,69693,67925,90341,69583,19678
ABCA3,4724,5728,6404,10686,9411,8976,13141,6306
ABCA4,15,21,65,92,33,55,52,6
ABCA5,658,691,765,1121,1163,1100,2143,689
ABCA6,49,45,130,248,133,207,146,55
ABCA7,521,731,1827,1643,1466,2921,1485,1090
ABCA8,427,425,623,992,1046,1766,1837,147
ABCA9,86,97,192,503,226,327,270,69
ABCA9-AS1,0,0,1,0,0,0,0,2
ABCB1,492,609,719,1695,1117,1511,1409,198
ABCB10,209,166,304,383,362,461,591,240
ABCB10P3,0,1,0,0,0,0,1,0
ABCB10P4,0,0,0,0,0,1,2,0
ABCB11,13,7,14,24,4,6,12,3
ABCB4,11,12,33,54,14,19,30,8
ABCB5,6,5,28,17,3,0,0,0
ABCB6,137,110,383,161,147,295,248,183
ABCB7,210,301,512,473,525,511,813,365
ABCB8,1336,1212,2493,2732,2571,3593,3348,1789
ABCB9,801,934,2467,3224,2332,3427,2176,1270
ABCC1,386,623,958,1136,832,768,1071,466
ABCC10,626,555,1398,1531,1158,1743,1457,824
ABCC11,30,51,110,99,97,81,133,58
ABCC12,3,7,16,19,5,16,5,2
ABCC13,5,10,33,13,4,1,24,4
ABCC2,15,10,66,26,11,29,24,15
ABCC3,17,17,60,95,21,22,18,3
ABCC4,113,196,128,279,116,93,284,111
ABCC5,1801,2376,4172,5542,5053,5393,6076,3120
ABCC5-AS1,3,3,22,11,4,14,12,3
ABCC6,69,73,249,233,136,137,109,53
ABCC6P1,5,4,15,22,6,10,9,4
ABCC6P2,4,2,5,5,2,2,4,1
ABCC8,953,1051,2859,1985,1866,2811,1744,1532
ABCC9,414,892,1266,1000,568,563,1010,654
ABCD1,220,281,621,1099,597,881,522,218
ABCD1P2,0,1,6,1,1,0,0,0
ABCD2,183,210,196,313,457,513,859,164
ABCD3,688,866,903,1443,1412,1484,2803,981
ABCD4,803,792,3597,1636,1256,2023,1699,1328
ABCE1,447,590,747,904,873,1009,1946,785
ABCF1,1555,2038,3266,4714,4419,5609,5236,2210
ABCF2,1136,1667,2344,2587,2822,2742,3903,1854
ABCF2P1,1,0,1,4,3,3,2,5
ABCF2P2,2,0,9,6,3,6,1,4
ABCF3,873,1032,1754,2382,1965,2529,3070,1285
ABCG1,610,795,1506,1180,1538,1533,2557,792
ABCG2,549,386,494,2528,1517,2135,2832,125
ABCG4,495,645,682,1203,949,825,1353,832
ABCG5,13,8,39,29,12,17,27,11
ABCG8,23,23,25,54,32,30,49,23
ABHD1,56,36,115,115,73,132,146,56
ABHD10,635,689,648,1391,1426,1625,2818,1276
ABHD11,126,150,413,416,293,520,405,249
ABHD12,2306,3145,4230,8068,6930,8840,9571,4683
ABHD12B,97,105,472,422,510,1159,449,164
ABHD13,233,227,264,549,540,561,1018,433
ABHD14A,271,328,480,792,598,949,999,416
ABHD14A-ACY1,4,1,4,8,4,15,3,1
ABHD14B,292,291,652,948,664,936,785,365
ABHD15,116,101,134,253,164,219,285,83
ABHD16A,15,21,59,38,30,69,46,26
ABHD16B,107,176,414,630,381,500,494,349
ABHD17A,1256,1708,4053,6349,4157,7208,5387,2896
ABHD17B,461,475,450,865,774,989,1465,400
ABHD17C,700,671,727,1552,1424,1547,2672,1253
ABHD18,245,215,506,666,385,596,753,331
ABHD2,1899,3253,3018,3764,4939,4130,8619,3059
ABHD3,223,187,1189,334,305,541,580,249
ABHD4,727,895,2582,2248,1207,1373,2109,1169
ABHD5,192,217,478,356,360,325,648,272
ABHD6,462,576,789,949,1056,1356,1681,472
ABHD8,1029,1231,2613,4035,3229,4795,4298,2016
ABI1,1483,1992,2560,2820,3092,3343,5301,2024
ABI2,8686,9916,7434,20498,21756,21120,34867,11398
ABI3,47,204,102,160,70,88,123,99
ABI3BP,720,853,593,850,1023,413,1786,545
ABITRAM,427,462,778,1049,908,1143,1425,613
ABL1,1907,2379,5345,4807,3838,4251,5647,2285
ABL2,2431,2087,2779,5020,4633,4450,8157,3078
ABLIM1,5939,6377,9501,13252,11163,9059,18281,5851
ABLIM2,3963,4476,5179,12429,10844,13074,14078,5968
ABLIM3,1253,1430,1786,3042,2721,2585,4069,1718
ABO,12,19,77,36,31,29,9,9
ABR,16338,19183,19823,42629,35894,33829,50273,20849
ABRA,0,3,7,2,2,3,3,1
ABRACL,40,46,63,131,92,205,227,107
ABRAXAS1,47,42,70,98,97,101,143,58
ABRAXAS2,249,252,455,490,443,481,842,368
ABT1,141,127,281,467,390,575,569,281
ABTB1,2143,2210,4652,6776,5712,9836,6110,3632
ABTB2,386,698,2545,971,1011,1333,1458,599
ACAA1,557,706,1662,1395,1157,1710,1805,840
ACAA2,467,515,1152,830,890,1150,1904,653
ACACB,1016,686,1117,2322,1493,2146,2284,618
ACAD10,460,423,1028,999,855,1099,1189,608
ACAD11,1,1,8,9,1,1,10,0
ACAD8,809,932,1380,1961,1801,1728,2573,1097
ACAD9,623,619,1297,1287,1204,1499,1882,891
ACADL,54,44,91,148,74,73,170,62
ACADM,568,604,1049,1338,1250,1772,2245,962
ACADS,270,220,1008,616,422,843,707,288
ACADSB,838,1014,699,1724,1820,1479,3394,1038
ACADVL,3573,3754,9597,7335,5902,10315,9436,5751
ACAN,23,78,70,77,48,47,54,78
ACAP1,479,347,920,898,745,862,846,570
ACAP2,655,904,1189,1519,1523,1922,2982,931
ACAP3,10582,10543,27296,29271,27077,55656,27061,17399
ACAT1,648,643,1099,1299,1084,1482,2228,837
ACAT2,177,263,309,379,380,524,641,348
ACBD3,486,660,1736,1277,1112,1202,2059,787
ACBD3-AS1,4,3,7,6,8,7,5,2
ACBD4,430,469,1060,1146,791,1408,1293,708
ACBD5,1140,1445,1742,2477,2345,2492,4390,1264
ACBD6,88,46,230,129,127,205,160,58
ACBD7,552,441,1356,1208,1106,1265,2713,816
ACCS,200,183,163,358,370,374,616,232
ACCSL,2,3,18,3,2,1,2,0
ACD,477,629,1419,1407,1226,1892,1590,933
ACE,232,305,958,1091,999,1407,706,452
ACE2,4,10,17,9,13,15,18,11
ACE3P,0,0,1,0,0,0,0,0
ACER1,1,2,13,13,4,2,3,0
ACER2,32,107,371,136,83,101,112,54
ACER3,913,1128,1153,2245,1917,2185,3252,1033
ACHE,2645,3733,5670,11372,8123,9924,9199,3132
ACIN1,2145,2041,6116,4784,4133,5130,6095,3240
ACKR1,466,768,1373,1249,956,1178,1354,748
ACKR2,28,44,38,49,40,34,87,29
ACKR3,240,321,216,644,314,400,490,167
ACKR4,3,1,13,7,4,7,7,6
ACLY,2452,4174,2930,7581,6686,4676,7363,2489
ACMSD,9,5,22,16,12,24,15,8
ACNATP,3,1,5,2,0,2,4,0
ACO1,832,879,2369,1537,1513,2150,3897,1403
ACO2,4811,5919,6975,11566,10429,9798,14726,6749
ACOD1,2,1,2,5,0,0,1,0
ACOT1,40,18,88,102,80,90,206,54
ACOT11,492,323,861,988,707,1096,871,301
ACOT12,2,1,8,6,3,4,9,1
ACOT13,223,231,354,475,506,512,912,330
ACOT2,110,130,261,346,264,337,581,235
ACOT4,79,97,402,231,171,262,266,160
ACOT6,26,9,119,50,39,60,53,24
ACOT7,1881,2639,2637,5822,4693,5860,6913,3336
ACOT8,439,477,789,1320,990,1487,1617,775
ACOT9,296,362,571,703,538,596,968,369
ACOX1,1231,1549,2225,2469,2770,2504,4373,2028
ACOX2,152,100,356,274,258,327,377,128
ACOX3,196,247,504,449,451,448,679,302
ACOXL,5,4,21,20,4,7,8,7
ACOXL-AS1,5,8,19,24,8,6,7,7
ACP1,781,969,1444,2115,1926,2500,3152,1248
ACP2,799,1135,991,2331,1833,1963,3185,1226
ACP3,10,19,21,29,12,124,156,3
ACP4,16,10,48,27,20,33,20,21
ACP5,22,27,44,127,52,77,57,28
ACP6,240,202,498,506,293,375,616,238
ACP7,55,78,175,69,100,218,144,69
ACR,28,29,54,90,68,83,41,53
ACRBP,15,19,112,35,25,54,38,18
ACRP1,2,0,3,0,2,1,0,0
ACRV1,43,44,69,91,100,142,113,91
ACSBG1,1627,1427,4894,2154,3663,4892,4417,1630
ACSBG2,14,11,38,44,7,36,25,16
ACSF2,332,319,687,1262,678,860,965,604
ACSF3,460,466,859,1225,736,1150,1434,662
ACSL1,1098,1335,1000,2008,1963,1703,3385,1225
ACSL3,2503,3332,4975,5254,5821,6218,10313,3857
ACSL4,1266,1703,1060,2330,2544,2135,5017,1429
ACSL5,203,404,1527,589,261,324,380,279
ACSL6,1948,2067,2925,3547,4007,4795,6888,2284
ACSM1,4,2,31,17,1,10,4,1
ACSM2A,1,3,20,6,2,0,1,3
ACSM2B,0,2,17,13,2,2,1,1
ACSM3,7,15,23,20,10,13,9,7
ACSM4,5,3,21,12,4,5,3,5
ACSM5,58,41,219,182,152,114,215,86
ACSM6,3,6,37,22,7,9,8,5
ACSS1,2330,2083,6642,4733,4586,6822,6344,1909
ACSS2,712,832,1470,1907,1532,2265,2058,827
ACSS3,190,307,632,659,388,454,606,404
ACTA1,32,13,40,32,24,42,70,42
ACTA2,319,141,411,698,552,896,1000,134
ACTA2-AS1,34,16,23,52,54,35,103,22
ACTB,27767,45129,39272,79795,72740,81500,89837,54050
ACTBL2,0,0,1,0,0,0,0,0
ACTBP1,0,2,7,2,3,3,3,9
ACTBP12,0,1,78,5,2,2,3,5
ACTBP14,2,1,8,3,1,4,2,2
ACTC1,33,51,180,97,104,75,114,49
ACTE1P,3,0,16,5,2,1,2,5
ACTG1,20140,31146,25411,53842,51910,56967,72394,38685
ACTG1P10,20,22,107,76,62,59,77,38
ACTG1P12,7,0,22,9,13,10,8,4
ACTG1P14,4,3,32,9,4,6,9,10
ACTG1P15,6,8,18,17,9,11,4,2
ACTG1P16,2,2,8,4,3,2,2,1
ACTG1P17,21,15,50,29,23,42,31,14
ACTG1P19,1,0,3,2,0,0,0,0
ACTG1P21,0,0,6,7,0,0,0,0
ACTG1P23,2,1,5,5,1,2,0,1
ACTG1P24,0,1,6,5,0,3,4,0
ACTG1P25,1,1,8,8,3,6,8,2
ACTG2,20,35,97,39,34,61,72,16
ACTL10,8,5,13,24,24,27,16,9
ACTL11P,4,1,34,14,9,20,7,2
ACTL6A,117,141,379,289,212,236,455,125
ACTL6B,1210,1584,2722,3918,3139,4270,4480,2282
ACTL7A,2,0,1,1,0,1,1,0
ACTL7B,1,0,1,3,0,0,0,1
ACTL8,0,0,10,0,1,0,0,1
ACTL9,1,0,4,0,0,0,0,0
ACTN1,5347,7606,14070,16945,16480,16608,16935,10400
ACTN1-AS1,0,4,6,5,2,4,2,2
ACTN2,3440,3994,3769,10054,9196,8856,11841,5963
ACTN3,9,4,36,14,14,19,15,7
ACTN4,4831,6318,9273,15922,13489,16190,14386,5351
ACTN4P1,0,0,5,2,1,5,1,0
ACTP1,0,1,7,3,1,1,0,1
ACTR10,784,1123,1234,1892,2028,2484,3613,1432
ACTR1A,2311,3081,4053,6729,5169,6378,8777,4061
ACTR1AP1,1,2,6,5,2,3,5,1
ACTR1B,2039,2876,3405,6516,6115,7994,6915,3783
ACTR2,3978,6174,4615,9329,10303,10133,16820,7166
ACTR3,1613,2416,2245,4267,4049,4185,6393,2742
ACTR3B,1496,2094,1654,4090,3855,4410,6515,2623
