symbol,SL5883,SL6415,SL7399,SL7629,SL7809,SL7846
A1BG,16,47,69,65,37,51
A1BG-AS1,58,73,206,234,127,145
A1CF,1,8,9,3,10,14
A2M,4335,3317,6290,13608,8014,6434
A2M-AS1,35,62,63,86,71,71
A2ML1,38,320,173,272,285,191
A2MP1,10,23,39,55,31,31
A3GALT2,4,0,3,12,5,6
A4GALT,51,137,133,142,169,113
A4GNT,0,6,2,2,3,2
AA06,0,1,5,1,1,7
AAAS,292,844,1132,1305,684,626
AACS,1431,3036,5264,4718,2112,3496
AACSP1,6,13,13,11,13,11
AADAC,0,4,0,1,0,0
AADACL2,0,2,2,1,3,1
AADACL3,0,5,1,0,4,0
AADACL4,0,3,0,0,2,0
AADACP1,0,4,1,1,6,3
AADAT,99,356,349,518,311,343
AAGAB,464,951,1620,1600,877,1463
AAK1,3695,7591,12612,11278,6645,12224
AAMDC,13,37,29,66,36,36
AAMP,1102,2837,4108,4324,2423,2507
AANAT,7,22,21,64,19,20
AAR2,215,470,694,959,602,460
AARD,12,38,52,63,16,35
AARS1,4617,9811,14642,16159,7830,10171
AARS1P1,0,0,0,0,0,0
AARS2,615,1210,1473,1963,1130,1044
AARSD1,17,80,141,58,47,74
AASDH,125,410,502,466,495,565
AASDHPPT,746,2080,3045,3332,1534,2605
AASS,77,217,154,506,294,242
AATBC,34,42,105,204,150,84
AATK,10833,9418,20169,52001,25923,8123
ABAT,3488,10309,11323,17834,10432,11397
ABCA1,106,455,349,862,602,435
ABCA10,26,103,156,106,73,151
ABCA11P,11,46,66,63,37,64
ABCA12,3,28,24,25,28,29
ABCA13,0,27,5,1,6,8
ABCA17P,42,182,266,215,128,163
ABCA2,29070,23757,48336,171506,74483,24388
ABCA3,4734,8609,14305,19418,10091,9670
ABCA4,13,56,28,51,42,28
ABCA5,399,986,1332,1968,861,1535
ABCA6,58,102,146,213,106,165
ABCA7,993,1295,2622,2662,1186,1450
ABCA8,503,167,389,3005,1002,388
ABCA9,112,282,370,423,156,342
ABCA9-AS1,0,2,0,0,2,1
ABCB1,400,377,814,1360,850,782
ABCB10,143,283,423,583,284,432
ABCB10P3,0,1,2,0,0,0
ABCB10P4,0,1,2,2,0,4
ABCB11,3,10,3,10,11,2
ABCB4,4,46,19,45,24,51
ABCB5,1,18,1,4,7,3
ABCB6,35,119,273,164,80,108
ABCB7,102,272,226,480,256,353
ABCB8,945,1887,2970,3458,2038,1977
ABCB9,866,2091,2993,2634,1738,1782
ABCC1,338,560,1076,1390,662,651
ABCC10,607,1148,1984,1965,1071,1153
ABCC11,17,78,36,63,81,40
ABCC12,66,123,182,127,55,133
ABCC13,0,20,1,19,14,5
ABCC2,2,12,16,22,20,10
ABCC3,37,48,135,69,29,43
ABCC4,24,109,83,272,128,134
ABCC5,1525,2471,4678,4825,2024,3114
ABCC5-AS1,1,9,9,6,3,9
ABCC6,25,89,92,74,99,68
ABCC6P1,1,15,14,9,9,8
ABCC6P2,2,4,1,3,1,1
ABCC8,1307,2680,4396,3308,1654,2919
ABCC9,139,514,393,1029,737,481
ABCD1,165,294,408,673,409,180
ABCD1P2,0,4,1,0,1,0
ABCD2,132,397,418,677,413,655
ABCD3,354,1029,959,1990,1120,1141
ABCD4,350,775,1044,1365,827,777
ABCE1,250,683,903,1514,628,930
ABCF1,946,2312,3502,4701,2283,2514
ABCF2,875,2097,3212,3434,1624,2329
ABCF2P1,0,3,7,2,4,5
ABCF2P2,1,4,1,2,8,3
ABCF3,717,1634,2559,2956,1478,1505
ABCG1,250,337,511,1419,707,571
ABCG2,712,548,1136,2681,1484,1195
ABCG4,869,1325,2371,1925,1194,1501
ABCG5,10,38,46,45,24,27
ABCG8,21,49,56,68,41,54
ABHD1,18,73,37,69,73,38
ABHD10,308,964,1265,1448,733,1229
ABHD11,128,337,466,559,227,275
ABHD12,1701,4548,6783,6886,3816,4088
ABHD12B,77,236,372,298,137,259
ABHD13,147,418,625,683,371,652
ABHD14A,148,906,1145,778,449,602
ABHD14A-ACY1,1,5,4,5,4,6
ABHD14B,167,446,582,625,464,338
ABHD15,37,132,79,239,132,76
ABHD16A,15,25,45,35,25,34
ABHD16B,52,167,269,394,328,173
ABHD17A,1576,3809,5927,8939,4975,2643
ABHD17B,275,544,766,1819,789,801
ABHD17C,189,805,892,1111,698,723
ABHD18,113,324,448,578,369,397
ABHD2,1270,3049,3779,7855,4206,5463
ABHD3,71,264,226,360,256,192
ABHD4,309,1026,840,1599,1326,694
ABHD5,76,216,204,502,301,243
ABHD6,611,942,1429,3001,1238,1035
ABHD8,1005,2705,4447,4538,2777,2917
ABI1,660,2433,2644,3195,2117,2696
ABI2,4013,9243,13894,19831,8823,13168
ABI3,25,43,84,184,82,49
ABI3BP,23,155,105,197,162,154
ABITRAM,206,548,687,771,458,642
ABL1,1265,2378,2884,6546,3812,2051
ABL2,1036,2443,3173,3937,2179,3088
ABLIM1,2674,7782,8198,11924,8004,7278
ABLIM2,2073,3809,6538,6927,3589,4702
ABLIM3,971,1771,2538,3381,1913,2040
ABO,31,27,68,29,42,68
ABR,13099,30688,45095,53874,31946,31620
ABRA,6,10,9,39,13,31
ABRACL,30,147,211,206,84,146
ABRAXAS1,23,56,106,98,86,115
ABRAXAS2,146,429,650,608,326,555
ABT1,110,314,428,411,202,259
ABTB1,2066,3451,6700,5405,2766,3069
ABTB2,291,355,451,1397,675,408
ACAA1,373,1107,1291,1527,922,836
ACAA2,98,771,335,810,583,423
ACACB,327,1686,1179,2105,1789,1055
ACAD10,184,575,747,816,615,633
ACAD11,2,5,5,4,3,3
ACAD8,462,1115,1589,1922,937,1271
ACAD9,405,1022,1510,1585,931,999
ACADL,14,68,39,102,90,68
ACADM,262,1004,1046,1401,767,1051
ACADS,109,586,382,778,558,412
ACADSB,389,911,1098,2060,962,1565
ACADVL,2102,6687,9078,9001,4917,4658
ACAN,44,69,71,164,149,133
ACAP1,127,357,393,587,457,320
ACAP2,263,608,929,1963,856,1241
ACAP3,8316,14358,29601,31788,16513,12705
ACAT1,294,945,1181,1307,675,1014
ACAT2,250,652,1029,775,580,817
ACBD3,349,694,1215,1859,884,1111
ACBD3-AS1,1,2,5,5,8,7
ACBD4,266,852,1046,1072,682,721
