symbol,SL5883,SL6415,SL7399,SL7629,SL7809,SL7846
ACBD5,648,1851,1945,3935,1953,2143
ACBD6,55,71,158,139,68,82
ACBD7,108,925,338,1008,995,669
ACCS,72,264,207,523,240,239
ACCSL,0,2,0,1,5,3
ACD,591,1056,1978,1485,895,1026
ACE,92,152,342,307,213,222
ACE2,1,10,4,8,10,1
ACE3P,0,0,0,0,0,0
ACER1,1,6,5,3,2,4
ACER2,68,55,83,178,108,75
ACER3,726,1179,1921,4196,1672,1773
ACHE,1556,2262,4340,3841,2040,1752
ACIN1,1416,2940,4664,6027,3310,3299
ACKR1,346,576,540,765,407,500
ACKR2,2,34,30,70,35,26
ACKR3,38,346,211,290,316,237
ACKR4,0,3,10,9,3,7
ACLY,2133,3203,5014,8178,3876,4194
ACMSD,3,18,23,22,19,21
ACNATP,0,3,0,1,5,1
ACO1,316,1115,977,2339,1038,825
ACO2,3108,9161,11290,13122,8792,8239
ACOD1,0,1,2,0,0,3
ACOT1,25,85,33,152,38,70
ACOT11,217,779,865,920,890,863
ACOT12,4,6,7,12,12,3
ACOT13,106,385,433,642,370,451
ACOT2,77,294,247,362,181,184
ACOT4,51,159,237,204,133,177
ACOT6,4,32,29,28,24,24
ACOT7,2391,5542,9560,7861,4162,5152
ACOT8,285,1059,1232,1252,792,901
ACOT9,233,613,719,899,607,664
ACOX1,438,1502,1430,2817,1737,1753
ACOX2,28,181,106,169,177,123
ACOX3,167,387,517,812,519,494
ACOXL,5,10,8,19,7,11
ACOXL-AS1,8,9,12,9,10,25
ACP1,586,1504,2186,2594,1325,1787
ACP2,735,1767,2541,2930,1553,1463
ACP3,1,14,2,45,8,6
ACP4,11,16,29,32,35,20
ACP5,12,36,27,53,54,30
ACP6,72,295,235,416,364,289
ACP7,57,32,47,138,77,22
ACR,8,31,17,28,18,19
ACRBP,5,18,11,34,25,12
ACRP1,0,1,0,0,1,0
ACRV1,14,48,65,43,17,42
ACSBG1,290,2815,1033,2356,2541,1273
ACSBG2,4,31,18,25,33,21
ACSF2,56,489,241,440,412,268
ACSF3,293,679,908,1173,739,597
ACSL1,542,711,1156,3040,1240,1060
ACSL3,1620,4301,6187,8199,3783,6382
ACSL4,1093,1817,3545,5026,2011,3648
ACSL5,120,231,379,393,164,181
ACSL6,1215,3736,4481,6485,4118,5578
ACSM1,2,11,10,5,6,2
ACSM2A,0,10,5,0,6,3
ACSM2B,0,9,1,1,6,2
ACSM3,1,19,10,14,9,10
ACSM4,2,10,11,10,9,9
ACSM5,7,79,19,143,92,42
ACSM6,0,11,7,3,8,9
ACSS1,722,4067,2594,5144,4183,2208
ACSS2,697,1067,1941,2347,1377,1108
ACSS3,45,669,228,464,483,330
ACTA1,7,42,77,46,42,24
ACTA2,165,592,636,1130,1351,1092
ACTA2-AS1,24,31,56,69,27,84
ACTB,16432,57881,67205,94866,47394,46958
ACTBL2,0,1,0,0,0,1
ACTBP1,1,3,3,0,1,1
ACTBP12,0,2,1,0,2,2
ACTBP14,1,6,10,2,5,2
ACTC1,31,74,90,124,102,99
ACTE1P,0,5,2,2,2,3
ACTG1,10733,38778,41878,52831,32359,30125
ACTG1P10,7,47,61,67,37,58
ACTG1P12,5,19,25,17,17,42
ACTG1P14,0,6,5,4,15,5
ACTG1P15,0,3,2,6,6,4
ACTG1P16,0,4,1,0,2,0
ACTG1P17,9,36,36,34,28,17
ACTG1P19,0,2,2,0,0,2
ACTG1P21,0,1,2,0,4,2
ACTG1P23,0,5,0,3,3,0
ACTG1P24,0,4,1,3,3,2
ACTG1P25,2,8,13,12,6,7
ACTG2,18,48,50,131,166,114
ACTL10,11,12,18,26,34,21
ACTL11P,3,5,3,3,2,1
ACTL6A,47,119,128,318,207,141
ACTL6B,1114,2515,4474,3527,1965,2091
ACTL7A,1,2,1,0,0,0
ACTL7B,0,5,2,3,1,0
ACTL8,0,6,2,4,2,4
ACTL9,0,3,0,0,0,0
ACTN1,2412,4835,9600,9660,4334,5975
ACTN1-AS1,0,2,0,2,0,4
ACTN2,938,2151,3557,3675,1604,2373
ACTN3,5,14,11,17,11,14
ACTN4,4163,7251,12511,18486,9691,7408
ACTN4P1,0,5,0,0,2,2
ACTP1,0,1,0,1,3,0
ACTR10,654,1688,2452,2740,1341,1961
ACTR1A,2787,6129,9551,9350,5236,6065
ACTR1AP1,1,0,2,5,1,1
ACTR1B,2392,4797,7149,6964,3881,5151
ACTR2,2596,6098,10141,13092,5906,9961
ACTR3,1139,2703,3534,4633,2623,3605
ACTR3B,600,1646,2460,2561,1253,1715
ACTR3C,18,68,52,90,44,94
ACTR3P2,0,1,0,0,0,1
ACTR5,72,222,308,361,210,227
ACTR6,191,535,741,995,432,686
ACTR6P1,0,1,0,0,1,1
ACTR8,179,609,820,963,701,890
ACTRT1,0,8,0,1,2,2
ACTRT2,0,1,0,1,0,0
ACTRT3,21,45,60,80,51,73
ACVR1,241,457,807,983,643,600
ACVR1B,1718,3420,5694,6305,2792,3616
ACVR1C,135,454,558,830,435,1111
ACVR2A,218,396,692,1115,427,743
ACVR2B,267,597,805,1386,673,869
ACVR2B-AS1,14,35,60,41,39,45
ACVRL1,360,543,582,1119,727,424
ACY1,15,48,37,61,29,27
ACY3,12,58,24,535,68,42
ACYP1,54,226,319,334,146,239
ACYP2,189,823,1045,1177,576,692
ADA,48,143,106,219,212,81
ADA2,144,644,264,1104,652,486
ADAD1,0,4,0,0,6,1
ADAD1P2,0,0,0,0,0,0
ADAD2,25,39,63,107,64,44
ADAL,148,347,436,440,344,470
ADAM10,704,1107,1712,4102,1636,1901
ADAM11,4520,6618,14241,12690,6020,7016
ADAM12,29,77,85,126,109,87
ADAM15,1198,2405,3298,5483,2530,2085
ADAM17,142,398,466,713,390,524
ADAM18,0,16,1,0,5,4
ADAM19,227,441,781,1064,438,570
ADAM1B,9,31,45,52,39,48
ADAM2,0,13,2,0,5,3
ADAM20,7,15,30,22,16,48
ADAM20P1,3,8,9,8,5,15
ADAM20P3,0,2,0,0,2,0
ADAM21,11,27,50,24,26,41
ADAM21P1,2,1,1,1,1,3
ADAM22,1500,2594,5124,6736,2598,6059
ADAM23,1714,3011,6392,5737,2100,5039
ADAM24P,0,3,0,0,0,0
ADAM28,23,79,57,497,117,141
ADAM29,3,25,22,18,18,26
ADAM30,0,3,0,0,0,0
ADAM32,23,75,67,78,54,67
ADAM33,197,589,880,881,374,515
ADAM3A,0,6,0,0,9,2
ADAM3B,1,1,2,0,1,1
ADAM5,0,4,6,3,3,2
ADAM7,1,7,5,1,3,5
ADAM8,72,117,196,229,139,92
ADAM9,395,816,1100,2202,956,1425
ADAMDEC1,1,10,2,2,1,4
ADAMTS1,299,521,562,2185,1085,520
ADAMTS10,1009,2209,3208,3876,2235,1617
ADAMTS12,4,21,10,21,17,20
ADAMTS13,590,1032,1669,1620,1024,789
ADAMTS14,184,89,63,539,540,136
ADAMTS15,32,46,67,128,90,71
ADAMTS16,130,175,368,550,249,256
ADAMTS17,45,158,133,206,172,142
ADAMTS18,28,35,43,16,15,59
ADAMTS19,43,121,158,196,91,132
ADAMTS19-AS1,9,3,3,30,11,11
ADAMTS2,152,456,681,684,388,472
ADAMTS20,0,21,8,5,8,13
ADAMTS3,81,223,332,476,198,395
ADAMTS4,851,333,688,5598,2409,599
ADAMTS5,37,87,81,135,87,113
ADAMTS6,18,75,56,49,47,60
ADAMTS7,75,87,98,388,241,107
ADAMTS7P3,3,0,5,2,5,1
ADAMTS7P4,4,20,34,8,12,18
ADAMTS8,403,779,1647,1828,799,615
ADAMTS9,62,184,156,255,226,198
ADAMTS9-AS1,4,23,41,51,20,55
ADAMTS9-AS2,47,114,195,146,134,209
ADAMTSL1,62,78,130,222,86,149
ADAMTSL2,322,384,893,1278,589,523
ADAMTSL3,72,109,166,358,154,202
ADAMTSL4,36,126,105,210,157,125
ADAMTSL4-AS1,1,3,5,7,5,15
ADAMTSL5,31,99,121,95,105,58
ADAP1,550,2000,2997,3095,1737,1387
ADAP2,55,180,136,503,213,194
ADAR,4551,9549,13541,19324,9640,13048
ADARB1,1489,2973,5087,5898,2813,4544
ADARB2,346,788,544,2099,1403,628
ADARB2-AS1,9,66,73,137,68,53
ADAT1,381,635,837,907,614,858
ADAT2,60,117,130,199,102,122
ADAT3,23,42,77,154,112,37
ADCK1,224,579,876,850,536,330
ADCK2,217,534,1043,1477,613,616
ADCK5,184,515,779,636,398,398
ADCY1,9860,18410,33556,36503,16682,27276
ADCY10,2,33,33,30,29,39
ADCY10P1,135,191,213,478,204,182
ADCY2,2546,8285,9968,12366,6766,9865
ADCY3,1128,1272,2477,4840,2060,1930
ADCY4,166,271,367,485,330,350
ADCY5,3534,6413,10182,17293,9098,7068
ADCY6,1118,1616,2836,4123,2012,2092
ADCY6-DT,1,2,9,8,2,6
ADCY7,145,145,349,883,266,260
ADCY8,211,593,595,1068,648,563
ADCY9,913,1512,2530,3238,1707,1815
ADCYAP1,193,620,894,936,393,861
ADCYAP1R1,2221,10295,6045,13302,11133,7729
ADD1,7036,14067,19410,26886,15242,15207
ADD2,4400,10159,16232,18096,7338,15000
ADD3,944,5376,3540,10005,7346,6055
ADD3-AS1,15,72,39,85,53,40
ADGB,1,18,3,4,12,6
ADGRA1,2757,4887,9279,7086,4327,3926
ADGRA2,980,1005,1979,3595,2125,1158
ADGRA3,153,1546,496,1745,1706,911
ADGRB1,6995,14397,21104,29445,19086,8824
ADGRB2,17325,25828,51498,51557,32906,25991
ADGRB3,1147,2532,4024,5057,2273,4106
ADGRD1,70,212,252,313,172,214
ADGRD2,0,8,2,1,3,0
ADGRE1,0,4,2,1,11,2
ADGRE2,23,41,25,81,101,45
ADGRE3,0,13,4,2,8,5
ADGRE4P,1,5,7,2,14,0
ADGRE5,116,180,249,654,436,236
ADGRF1,0,15,2,0,10,2
ADGRF2,1,11,1,1,1,6
ADGRF3,15,42,41,72,30,41
ADGRF4,0,4,4,2,2,4
ADGRF5,779,782,1373,2480,1124,1619
ADGRF5P1,2,16,35,34,60,31
ADGRG1,1440,10213,4442,10998,11194,4545
ADGRG2,8,34,25,26,42,31
ADGRG3,1,10,2,16,11,4
ADGRG4,0,16,4,0,5,4
ADGRG5,3,12,9,65,13,9
ADGRG6,35,42,74,230,77,79
ADGRG7,0,2,0,0,4,242
ADGRL1,10130,15483,30574,33903,18216,15938
ADGRL2,940,1869,2926,2823,1471,3311
ADGRL3,1282,3187,4093,6671,3701,4990
ADGRL4,85,123,203,320,207,197
ADGRV1,289,2889,1492,3216,2795,2032
ADH1A,0,0,0,0,0,1
ADH1B,7,51,22,16,18,43
ADH1C,0,4,1,2,2,0
ADH4,0,5,0,0,2,2
ADH5,545,2232,1908,2568,1751,1917
ADH5P2,0,3,2,0,0,1
ADH5P3,6,6,7,9,10,11
ADH5P5,0,0,0,0,1,0
ADH6,0,9,1,1,2,1
ADH7,0,6,0,0,6,0
ADHFE1,97,592,360,569,572,448
ADI1,214,997,844,1162,722,696
ADI1P3,0,4,1,0,1,0
ADIG,1,4,0,1,3,0
ADIPOQ,0,10,3,3,4,1
ADIPOQ-AS1,0,0,0,0,0,0
ADIPOR1,862,1929,2784,4025,2048,1851
ADIPOR2,1361,2265,2495,6303,3233,2140
ADIRF,0,0,0,0,0,0
ADIRF-AS1,22,95,116,83,56,72
ADK,130,542,682,743,436,696
ADM,20,47,47,68,64,23
ADM2,6,11,15,25,9,6
ADM5,12,20,34,32,17,23
ADNP,859,2313,2896,4412,2141,2863
ADNP-AS1,4,32,45,50,25,30
ADNP2,264,455,703,1360,614,989
ADO,376,687,1194,2058,829,1107
ADORA1,1976,2866,5026,6945,3972,2713
ADORA2A,7,7,15,19,11,13
ADORA2A-AS1,11,14,27,29,13,12
ADORA2B,44,268,200,345,210,163
ADPGK,244,526,707,1039,531,533
ADPGK-AS1,2,25,14,26,22,20
ADPRH,48,51,59,147,57,58
ADPRHL1,104,234,477,279,128,275
ADPRM,25,99,115,126,72,126
ADPRS,279,762,1098,1375,798,617
ADRA1A,89,304,294,422,265,426
ADRA1B,596,838,1579,2184,1363,1148
ADRA1D,181,235,637,308,271,202
ADRA2A,208,329,1207,1114,287,422
ADRA2C,98,335,667,796,407,298
ADRB1,129,509,939,1013,490,648
ADRB2,9,49,24,124,80,46
ADRB3,3,17,13,8,15,7
ADRM1,202,517,849,1022,550,461
ADSL,235,579,834,992,492,640
ADSS1,83,188,240,426,299,118
ADSS2,439,939,1490,1969,768,1305
ADTRP,51,95,168,162,53,104
AEBP1,346,1184,1390,4046,3723,2395
AEBP2,266,712,1017,1210,685,1122
AEN,139,302,306,405,248,329
AFAP1,594,1305,1432,2682,1613,1662
AFAP1-AS1,12,40,80,88,34,76
AFAP1L1,73,105,162,262,162,137
AFAP1L2,542,1251,1639,2265,1397,1387
AFDN,1386,2860,4396,6860,3256,4116
AFF1,291,587,843,1771,833,1024
AFF2,356,758,1235,1501,1086,1516
AFF3,1130,2358,3913,5582,2526,4115
AFF4,1328,2956,3775,6540,3387,5228
AFG1L,65,192,217,334,178,236
AFG3L1P,295,719,813,672,563,532
AFG3L2,403,963,1780,2051,899,1322
AFG3L2P1,0,0,0,1,1,0
AFM,0,3,1,1,1,0
AFMID,253,349,583,989,601,413
AFP,0,3,3,3,1,6
AFTPH,933,2034,3335,3691,1701,2692
AGA,71,187,223,393,268,189
AGAP1,5510,10114,14914,27213,15634,14493
AGAP1-IT1,2,9,12,14,13,7
AGAP11,1,1,3,2,3,0
AGAP2,8425,16544,31155,37507,23380,17036
AGAP2-AS1,4,6,14,14,6,15
AGAP3,7298,18517,28893,30711,18451,12638
AGAP4,18,57,93,5,24,72
AGAP5,9,4,15,13,6,5
AGAP6,126,311,465,452,191,306
AGAP9,0,6,2,3,1,4
AGBL1-AS1,0,6,3,1,2,3
AGBL2,3,20,18,10,13,10
AGBL3,35,118,131,179,104,155
AGBL4,218,393,815,697,336,559
AGBL4-AS1,0,5,1,2,2,8
AGBL4-IT1,2,13,8,6,0,16
AGBL5,469,946,1168,1511,937,1041
AGBL5-AS1,1,6,6,3,6,10
AGER,24,69,133,210,73,49
AGFG1,754,1651,2402,4136,1709,2845
AGFG2,525,1406,1791,2063,1480,949
AGGF1,538,1485,2722,3551,1677,2415
AGGF1P4,0,0,0,0,0,1
AGGF1P6,0,1,0,1,0,0
AGGF1P7,0,0,0,0,0,0
AGGF1P8,0,5,0,0,1,1
AGGF1P9,0,2,0,0,2,1
AGK,460,1252,1816,1945,1035,1438
AGKP1,0,0,0,0,0,0
AGKP2,0,1,0,0,0,0
AGL,290,1142,942,1680,1055,1599
AGMAT,26,79,102,142,67,105
AGMO,5,15,8,22,14,8
AGO1,1038,2364,2988,4988,2852,3046
AGO2,155,281,414,793,510,533
AGO3,422,1116,1589,2588,1578,1873
AGO4,326,890,916,1509,834,1011
AGPAT1,1038,2018,3789,3854,1944,1819
AGPAT2,164,416,469,452,324,289
AGPAT3,2107,5243,7042,9509,5772,5572
AGPAT4,1296,1480,2672,5539,2371,2122
AGPAT5,368,1124,1245,2387,1209,1390
AGPAT5P1,0,0,0,0,0,0
AGPS,403,775,1134,2019,1001,1235
AGR2,0,6,1,0,3,3
AGR3,0,1,0,0,2,2
AGRN,8054,9059,18008,27439,14469,7364
AGRP,22,30,39,49,38,58
AGT,678,7803,2368,5944,6127,3175
AGTPBP1,777,1373,2399,4162,1853,2687
AGTR1,0,7,7,5,7,12
AGTR2,0,3,1,0,4,1
AGTRAP,89,279,205,386,291,136
AGXT,2,8,1,2,3,3
AGXT2,0,8,1,1,6,3
AHCTF1,292,869,1134,1665,775,1395
AHCY,593,1506,1923,2548,1533,1561
AHCYL1,2309,17380,8901,17949,14526,12308
AHCYL2,747,2761,2283,4271,2581,2709
AHCYP2,1,11,6,3,8,4
AHCYP3,0,3,5,4,2,4
AHCYP4,0,4,0,0,3,1
AHCYP5,3,5,7,11,11,20
AHCYP7,0,3,2,1,4,3
AHDC1,2628,4467,9118,11552,6311,5132
AHI1,987,3723,4121,4595,2505,3770
AHNAK,1732,7913,4258,11823,8098,7809
AHNAK2,1523,2982,5196,5083,2690,4440
AHR,123,241,348,753,398,471
AHSA1,696,2015,3319,3167,1557,1925
AHSA2P,283,522,880,881,813,378
AHSG,3,14,12,12,10,8
AHSP,0,5,0,0,1,0
AICDA,0,3,2,0,1,2
AIDA,281,574,799,1150,653,783
AIDAP2,132,45,147,453,331,152
AIF1,5,27,11,228,49,55
AIF1L,2510,2800,3518,10626,6339,2381
AIFM1,204,550,738,850,408,475
AIFM2,97,358,495,473,289,241
AIFM3,712,3371,2676,2813,2800,1876
AIG1,317,971,1252,1652,848,1038
AIG1P1,0,4,0,0,1,1
AIM2,0,6,3,6,10,7
AIMP1,164,491,588,912,505,527
AIMP1P1,1,13,13,7,14,15
AIMP2,32,151,168,179,107,129
AIP,328,1122,1349,1555,999,880
AIPL1,0,15,8,9,8,3
AIRE,100,185,338,321,136,154
AIRN,12,25,68,42,16,3
AJAP1,1540,2500,5055,7867,2949,4631
AJM1,1143,2119,5791,8676,4698,2832
AJUBA,28,89,84,124,122,90
AK1,123,342,473,461,271,243
AK2,194,612,638,1097,703,554
AK3,304,1412,1060,2278,1443,1334
AK3P3,12,31,39,43,35,53
AK3P4,1,1,0,1,0,0
AK4,594,3096,2311,3832,2613,2436
AK4P5,0,0,0,0,0,0
AK5,4971,10264,17348,23113,8056,12765
AK6,293,1001,1520,1303,725,1053
AK6P1,0,0,0,0,0,2
AK6P2,0,1,0,0,3,0
AK7,41,94,166,199,83,116
AK8,26,99,115,115,51,73
AK9,172,443,625,816,484,660
AKAIN1,6,11,16,25,7,28
AKAP1,893,2279,2621,3417,1948,1999
AKAP10,380,952,1433,1998,908,1592
AKAP11,4214,6164,12209,17478,8124,17099
AKAP12,3229,11061,14452,17495,9303,15553
AKAP13,706,1943,2523,3134,1934,2205
AKAP14,2,13,13,14,3,13
AKAP17A,574,949,1383,2313,1186,846
AKAP3,27,73,48,112,78,66
AKAP4,0,1,1,0,1,0
AKAP5,470,1199,2053,2240,910,2208
AKAP6,3425,5090,8719,13323,6008,9708
AKAP7,114,540,608,926,677,679
AKAP8,247,723,969,1248,597,796
AKAP8L,978,2480,3752,3324,1865,2242
AKAP8P1,0,4,0,0,1,0
AKAP9,3238,8740,12491,16283,8384,11094
AKIP1,121,342,457,507,300,338
AKIRIN1,813,1975,2956,3730,2064,2720
AKIRIN1P1,0,3,0,0,0,0
AKIRIN2,385,925,1715,2455,985,1114
AKNA,488,1047,1166,2067,1567,982
AKNAD1,10,20,13,16,19,28
AKR1A1,289,962,1181,1249,866,743
AKR1B1,807,2480,3021,3268,1726,1892
AKR1B10,1,5,1,1,2,0
AKR1B10P2,0,6,1,0,2,0
AKR1B15,0,6,5,2,1,3
AKR1B1P1,0,3,6,0,6,3
AKR1C1,67,97,379,251,204,250
AKR1C2,39,132,133,157,51,116
AKR1C3,23,102,73,148,140,98
AKR1C4,0,3,0,0,2,0
AKR1C7P,0,4,0,0,0,1
AKR1D1,0,8,3,0,3,0
AKR1E2,20,52,76,69,54,61
AKR7A2,237,1062,896,1405,1056,875
AKR7A3,13,69,61,92,67,65
AKR7L,11,52,71,55,52,42
AKT1,1489,3035,4192,5962,3553,2718
AKT1S1,472,1270,1902,2512,1435,877
AKT2,1231,2978,3966,4664,3169,2611
AKT3,1783,3686,6325,6816,3146,6518
AKTIP,848,2224,2374,2997,1763,2121
ALAD,1271,3290,3439,6073,4203,2879
ALAS1,396,1135,1579,1620,864,1300
ALAS2,1,28,72,4,35,4
ALB,11,38,27,22,18,11
ALCAM,1099,1767,2820,10316,3219,3817
ALDH16A1,87,232,259,726,255,185
ALDH18A1,267,787,951,1241,696,704
ALDH1A1,289,517,909,1148,751,789
ALDH1A2,71,124,166,249,124,180
ALDH1A3,62,193,255,241,142,247
ALDH1B1,171,284,396,507,316,294
ALDH1L1,317,3709,1387,2123,2589,1201
ALDH1L1-AS1,0,16,7,5,5,14
ALDH1L1-AS2,13,118,51,69,83,46
ALDH1L2,97,300,399,505,293,343
ALDH2,1106,7574,4483,7359,6032,3408
ALDH3A1,8,22,15,31,15,15
ALDH3A2,542,1257,1648,2706,1272,1418
ALDH3B1,53,158,108,335,207,100
ALDH3B2,0,6,3,2,2,0
ALDH4A1,364,2971,1840,1893,2174,1292
ALDH5A1,1064,3154,3363,4750,2515,3928
ALDH6A1,623,5629,2908,7292,4759,3424
ALDH7A1,682,3892,2123,4195,2758,2268
ALDH7A1P1,3,17,21,13,19,14
ALDH7A1P2,0,0,1,0,1,1
ALDH8A1,42,63,111,111,81,58
ALDH9A1,462,2271,1453,2773,2198,1430
ALDOA,19202,53455,80523,71901,40429,41517
ALDOB,20,25,64,55,45,35
ALDOC,4259,24894,19048,17041,17499,14758
ALG1,95,265,308,472,267,275
ALG10,10,13,20,35,23,39
ALG10B,6,21,15,76,41,73
ALG11,55,138,167,333,186,244
ALG12,245,338,533,716,540,488
ALG13,241,535,733,1025,470,671
ALG14,74,279,337,373,258,355
ALG14-AS1,0,6,3,5,4,5
ALG1L,2,6,18,15,4,2
ALG1L10P,8,30,15,22,22,12
ALG1L11P,4,11,6,19,18,17
ALG1L13P,2,6,7,5,4,10
ALG1L2,5,24,41,14,28,20
ALG1L9P,56,156,246,175,133,165
ALG2,171,410,580,688,362,494
ALG3,111,393,459,479,277,312
ALG3P1,0,0,1,1,6,4
ALG5,40,123,170,211,117,117
ALG6,38,125,121,186,110,119
ALG8,140,364,443,588,321,277
ALG9,139,323,475,654,288,479
