symbol,SL6655,SL7393,SL7396,SL7625,SL7632,SL7805
A1BG,45,78,45,55,52,51
A1BG-AS1,185,164,91,210,156,268
A1CF,7,14,6,8,6,27
A2M,9001,14368,5740,23674,15474,11985
A2M-AS1,111,125,77,116,111,120
A2ML1,66,356,258,202,161,161
A2MP1,26,53,46,53,40,38
A3GALT2,3,4,4,30,15,5
A4GALT,157,251,219,201,172,162
A4GNT,4,1,7,1,2,5
AA06,1,4,3,2,7,5
AAAS,1041,1720,1240,1365,991,1248
AACS,5374,4378,3209,5853,4755,6101
AACSP1,20,9,18,25,16,42
AADAC,0,2,2,0,3,3
AADACL2,1,1,1,2,2,7
AADACL3,0,0,0,0,0,3
AADACL4,0,0,0,0,0,0
AADACP1,1,1,1,2,4,5
AADAT,308,567,441,480,430,450
AAGAB,1856,1706,1165,2346,2314,2483
AAK1,18504,15705,8696,19913,17480,24930
AAMDC,30,59,56,37,34,46
AAMP,3846,4155,3230,4772,4005,4245
AANAT,28,29,26,32,15,28
AAR2,618,834,579,885,678,796
AARD,64,51,45,958,78,80
AARS1,19352,17644,11293,23224,19881,25399
AARS1P1,0,0,0,0,0,0
AARS2,1650,1712,1179,2123,1668,1776
AARSD1,68,162,130,126,83,97
AASDH,438,786,590,596,667,762
AASDHPPT,3391,4088,2664,3653,3989,4579
AASS,105,432,282,171,160,349
AATBC,139,120,57,167,112,197
AATK,20453,24985,13412,20481,15894,23491
ABAT,13770,14424,9421,17456,16450,21031
ABCA1,296,848,415,532,426,612
ABCA10,141,229,229,206,188,204
ABCA11P,46,90,101,80,86,75
ABCA12,18,37,23,35,20,47
ABCA13,5,3,4,10,2,21
ABCA17P,179,260,228,201,183,213
ABCA2,45304,61253,35673,50064,37914,70470
ABCA3,17347,13981,8152,18195,13924,20310
ABCA4,35,80,45,60,100,62
ABCA5,1710,1939,1307,2237,1942,2469
ABCA6,135,253,213,194,205,242
ABCA7,2992,3011,1955,2964,2284,3237
ABCA8,243,1112,559,467,551,940
ABCA9,393,591,566,473,459,562
ABCA9-AS1,1,0,1,3,1,1
ABCB1,1057,1971,651,1384,1722,1319
ABCB10,500,611,390,702,587,668
ABCB10P3,2,0,0,2,0,1
ABCB10P4,3,2,1,1,0,6
ABCB11,4,6,7,4,3,12
ABCB4,43,41,40,35,31,55
ABCB5,4,2,8,7,3,19
ABCB6,186,235,158,150,164,202
ABCB7,287,474,291,459,408,606
ABCB8,2632,3438,2071,3320,2532,3171
ABCB9,3216,3504,2465,3635,2830,3352
ABCC1,1386,1108,574,1529,1066,1516
ABCC10,1887,2227,1415,1908,1641,1987
ABCC11,24,79,55,31,31,70
ABCC12,275,394,140,443,365,372
ABCC13,3,3,3,19,2,15
ABCC2,8,24,14,20,14,28
ABCC3,118,106,90,128,109,116
ABCC4,95,143,125,323,87,173
ABCC5,5848,6095,3618,6042,5732,6886
ABCC5-AS1,2,14,22,8,11,5
ABCC6,86,175,98,119,86,129
ABCC6P1,17,17,8,21,16,21
ABCC6P2,1,4,5,4,3,4
ABCC8,4987,4848,3742,4186,4044,5701
ABCC9,415,1142,568,646,508,867
ABCD1,328,517,275,579,268,385
ABCD1P2,0,0,0,0,1,1
ABCD2,733,973,417,807,723,1196
ABCD3,1023,1830,1045,1478,1281,1827
ABCD4,893,1614,1308,984,1189,1164
ABCE1,994,1206,799,1377,1149,1480
ABCF1,4172,4330,2980,5534,4257,4358
ABCF2,3655,3918,2521,4640,3994,4556
ABCF2P1,5,11,18,6,2,11
ABCF2P2,1,1,1,0,2,3
ABCF3,2941,3018,1838,3586,2848,3154
ABCG1,507,823,463,797,687,926
ABCG2,1434,2725,927,2482,2797,2243
ABCG4,3211,2731,1646,2804,2756,3295
ABCG5,51,51,56,56,40,68
ABCG8,101,73,66,73,76,128
ABHD1,36,85,55,72,51,69
ABHD10,1229,1537,1172,1648,1430,1829
ABHD11,355,690,508,631,619,442
ABHD12,7746,8320,5728,9754,8217,9018
ABHD12B,542,310,294,565,404,422
ABHD13,762,856,503,830,883,977
ABHD14A,989,1122,1218,1109,1100,907
ABHD14A-ACY1,2,8,3,4,6,6
ABHD14B,478,778,685,594,530,558
ABHD15,92,210,135,200,121,162
ABHD16A,35,62,42,33,28,49
ABHD16B,238,415,166,350,235,311
ABHD17A,5742,6816,4321,7719,5580,5849
ABHD17B,976,1134,732,1001,960,1447
ABHD17C,804,1180,787,1046,916,1138
ABHD18,403,614,528,487,427,632
ABHD2,4882,6115,3127,6826,5578,8417
ABHD3,149,410,225,369,264,219
ABHD4,510,1393,975,804,595,933
ABHD5,202,403,233,322,270,394
ABHD6,1797,1690,1110,1943,1895,2315
ABHD8,4969,5141,3089,6483,5489,5481
ABI1,2848,3499,2158,3592,3274,4071
ABI2,17625,16026,9620,20989,18639,22373
ABI3,146,165,133,198,136,170
ABI3BP,108,167,263,198,53,124
ABITRAM,929,992,781,956,907,1075
ABL1,2270,3989,2465,3368,2787,3565
ABL2,3189,3781,2884,4875,4030,5188
ABLIM1,8918,13258,7883,10705,10824,11908
ABLIM2,8937,7875,4279,11332,10010,10078
ABLIM3,2459,2789,2121,3319,2998,3247
ABO,61,43,25,15,44,72
ABR,46939,45024,25543,56805,45058,55474
ABRA,25,20,20,32,25,25
ABRACL,193,280,211,329,251,291
ABRAXAS1,123,156,85,108,117,152
ABRAXAS2,594,826,523,677,724,847
ABT1,357,513,361,511,448,483
ABTB1,8222,7213,5744,8207,6881,7204
ABTB2,334,868,530,627,485,719
ACAA1,1088,1703,1287,1390,1212,1422
ACAA2,170,853,705,570,409,471
ACACB,631,2438,1791,1090,986,1257
ACAD10,676,980,785,768,689,869
ACAD11,2,3,6,2,5,9
ACAD8,1766,2157,1363,2083,1941,2475
ACAD9,1438,1659,1170,1793,1521,1613
ACADL,44,106,63,55,49,73
ACADM,1001,1868,1306,1499,1398,1581
ACADS,152,757,590,442,353,457
ACADSB,1549,1717,1036,1841,1607,2462
ACADVL,6523,12837,8568,7780,7084,7748
ACAN,252,275,194,301,238,365
ACAP1,197,467,453,261,223,342
ACAP2,1015,1731,892,1567,1432,1631
ACAP3,26817,30682,17837,27994,20696,26666
ACAT1,1095,1647,1193,1663,1444,1461
ACAT2,919,1085,657,946,1013,1459
ACBD3,1309,1564,954,1943,1643,1877
ACBD3-AS1,0,7,3,3,6,9
ACBD4,847,1187,937,1095,814,1039
ACBD5,2368,3255,2101,3316,2739,3620
ACBD6,108,154,104,139,122,151
ACBD7,180,1117,928,771,695,852
ACCS,147,440,323,368,199,380
ACCSL,1,3,2,1,0,5
ACD,1923,1923,1394,1934,1479,1685
ACE,349,356,227,390,291,373
ACE2,8,6,0,10,5,8
ACE3P,0,0,0,0,0,0
ACER1,3,2,6,5,2,8
ACER2,112,199,73,145,172,118
ACER3,2105,2636,1757,3182,2599,3251
ACHE,5068,3491,2340,4426,3753,3938
ACIN1,4317,6787,4537,5552,4955,5459
ACKR1,468,692,881,1297,1232,1000
ACKR2,12,43,34,53,19,52
ACKR3,202,501,269,478,191,183
ACKR4,3,10,10,1,8,9
ACLY,6829,5969,2897,8245,7165,9973
ACMSD,29,49,29,41,28,43
ACNATP,0,2,0,2,0,6
ACO1,733,1707,1289,1684,1131,1109
ACO2,12829,11106,7111,13007,10031,14273
ACOD1,0,1,0,0,2,7
ACOT1,33,47,68,157,80,99
ACOT11,436,1394,986,638,654,787
ACOT12,1,4,4,2,5,9
ACOT13,487,685,499,633,594,678
ACOT2,199,317,299,369,294,345
ACOT4,225,272,195,264,262,262
ACOT6,27,40,50,36,43,35
ACOT7,9076,7954,5470,10304,8917,9143
ACOT8,1168,1288,918,1590,1276,1490
ACOT9,880,1075,736,1030,1010,1203
ACOX1,1513,2707,1519,2345,2094,2851
ACOX2,52,265,172,120,103,123
ACOX3,544,646,327,708,540,898
ACOXL,11,25,3,11,20,25
ACOXL-AS1,6,18,8,16,20,28
ACP1,2315,2103,1435,2702,2440,2583
ACP2,2459,2547,1701,3403,2853,3074
ACP3,0,5,7,23,17,10
ACP4,23,39,20,28,36,39
ACP5,11,68,39,27,21,43
ACP6,162,686,345,302,246,442
ACP7,16,83,74,37,78,74
ACR,24,39,38,27,24,48
ACRBP,15,43,22,26,22,19
ACRP1,1,0,0,0,0,0
ACRV1,72,68,63,88,77,70
ACSBG1,357,3009,1809,1121,904,1438
ACSBG2,20,32,35,27,16,26
ACSF2,172,630,542,551,221,340
ACSF3,964,1391,898,1200,938,1115
ACSL1,1051,1507,1170,1926,1260,2056
ACSL3,8256,9585,5894,11301,9673,10997
ACSL4,4363,3412,1747,5080,4059,5835
ACSL5,453,311,366,385,405,413
ACSL6,7484,9169,4153,7592,7001,11890
ACSM1,7,12,9,7,7,7
ACSM2A,5,1,3,0,0,8
ACSM2B,0,5,4,0,0,7
ACSM3,6,16,10,11,8,26
ACSM4,6,21,7,12,21,19
ACSM5,24,101,100,64,33,61
ACSM6,3,4,5,8,11,9
ACSS1,712,6561,4072,2791,1931,2225
ACSS2,2150,2318,1545,2357,1830,2420
ACSS3,120,702,646,370,307,360
ACTA1,55,49,48,77,51,54
ACTA2,903,1048,1510,2412,888,934
ACTA2-AS1,103,63,48,128,94,166
ACTB,57060,78554,55099,90588,75722,88246
ACTBL2,0,0,0,0,0,1
ACTBP1,0,0,0,1,2,6
ACTBP12,1,1,1,0,4,2
ACTBP14,7,5,4,2,9,4
ACTC1,116,173,116,190,187,175
ACTE1P,1,1,3,1,0,4
ACTG1,35862,41970,30211,53564,41954,48293
ACTG1P10,48,62,50,79,69,62
ACTG1P12,8,19,27,20,28,30
ACTG1P14,4,9,7,14,9,13
ACTG1P15,6,10,10,4,7,5
ACTG1P16,1,0,4,0,1,5
ACTG1P17,20,42,58,20,22,40
ACTG1P19,1,2,1,1,0,2
ACTG1P21,0,1,1,0,0,3
ACTG1P23,0,0,1,6,3,5
ACTG1P24,0,1,2,3,0,4
ACTG1P25,20,22,12,15,17,19
ACTG2,92,103,174,287,73,61
ACTL10,21,31,18,34,25,51
ACTL11P,1,4,0,2,2,5
ACTL6A,178,262,170,402,179,249
ACTL6B,4324,3866,2806,5175,4287,4715
ACTL7A,1,0,0,0,0,1
ACTL7B,0,0,2,1,2,4
ACTL8,5,4,5,388,17,11
ACTL9,0,0,0,0,0,1
ACTN1,10782,9565,5751,11923,8735,10952
ACTN1-AS1,2,5,0,4,2,9
ACTN2,3422,3363,2470,3979,3228,4682
ACTN3,11,29,6,11,13,27
ACTN4,17293,18754,12582,22979,17033,17217
ACTN4P1,3,2,1,1,1,5
ACTP1,1,4,1,0,1,3
ACTR10,2238,2450,1702,2756,2629,3307
ACTR1A,8964,9127,7323,10412,8667,10096
ACTR1AP1,1,0,0,1,1,6
ACTR1B,9110,9145,6385,9824,8849,11788
ACTR2,12199,14155,7327,16266,15045,18778
ACTR3,3833,4695,2613,5253,4770,6633
ACTR3B,2620,2197,1299,3173,2590,3029
ACTR3C,66,76,52,104,81,126
ACTR3P2,0,2,0,0,0,1
ACTR5,309,372,260,404,293,377
ACTR6,857,1099,735,1267,1074,1105
ACTR6P1,0,0,0,1,0,3
ACTR8,1005,1101,686,1003,805,1614
ACTRT1,1,2,1,1,4,4
ACTRT2,0,0,0,0,0,0
ACTRT3,88,47,38,93,67,120
ACVR1,825,1049,560,1022,931,1088
ACVR1B,6551,5422,3545,6610,6347,7772
ACVR1C,1173,927,522,1333,1379,1257
ACVR2A,658,700,400,919,749,949
ACVR2B,793,1105,703,1063,1041,1186
ACVR2B-AS1,63,58,42,51,57,62
ACVRL1,640,1084,871,921,900,723
ACY1,26,78,71,44,43,55
ACY3,53,104,64,416,90,119
ACYP1,223,446,355,351,255,267
ACYP2,879,1249,1144,1092,1125,1039
ADA,51,263,166,159,116,166
ADA2,220,822,722,771,489,767
ADAD1,3,1,1,0,0,5
ADAD1P2,0,0,0,1,0,0
ADAD2,34,22,22,82,42,37
ADAL,430,703,455,569,613,724
ADAM10,1740,2543,1350,2735,2124,3309
ADAM11,15015,12560,7260,14199,11855,15518
ADAM12,66,133,95,145,90,114
ADAM15,2869,3834,3151,3777,2597,3643
ADAM17,570,681,471,860,543,927
ADAM18,0,1,2,0,0,7
ADAM19,857,812,517,1173,755,1185
ADAM1B,83,56,24,63,54,86
ADAM2,0,3,1,0,0,12
ADAM20,19,21,28,35,42,50
ADAM20P1,16,18,7,15,18,14
ADAM20P3,0,0,0,0,0,1
ADAM21,55,44,35,56,32,71
ADAM21P1,2,1,1,7,9,4
ADAM22,9457,6769,3910,9406,8704,12767
ADAM23,11500,7911,5161,10110,10161,13671
ADAM24P,0,0,0,0,0,0
ADAM28,97,141,101,254,103,187
ADAM29,20,28,22,30,25,29
ADAM30,0,1,0,0,0,3
ADAM32,93,123,110,102,120,133
ADAM33,740,965,687,826,699,658
ADAM3A,0,1,1,0,0,6
ADAM3B,0,1,3,0,2,3
ADAM5,2,2,7,5,4,7
ADAM7,5,6,14,4,5,11
ADAM8,177,365,203,210,252,214
ADAM9,1609,2042,1060,3287,2138,2596
ADAMDEC1,6,4,11,4,2,13
ADAMTS1,1156,1667,1645,3834,852,821
ADAMTS10,3202,3842,2642,3319,2617,3178
ADAMTS12,11,12,12,18,9,20
ADAMTS13,2125,2459,1352,2017,1681,1851
ADAMTS14,40,623,324,91,103,693
ADAMTS15,76,142,55,168,82,96
ADAMTS16,236,114,90,174,149,290
ADAMTS17,136,317,175,200,201,245
ADAMTS18,22,8,38,9,14,97
ADAMTS19,108,124,99,116,122,165
ADAMTS19-AS1,15,13,6,15,15,23
ADAMTS2,612,456,514,374,398,783
ADAMTS20,11,3,8,4,8,25
ADAMTS3,391,327,157,436,316,462
ADAMTS4,415,1323,983,877,706,2083
ADAMTS5,113,120,76,175,151,221
ADAMTS6,61,63,108,60,48,94
ADAMTS7,46,274,89,169,95,171
ADAMTS7P3,4,5,1,4,3,3
ADAMTS7P4,13,23,25,9,14,25
ADAMTS8,1769,1399,763,1978,1446,1350
ADAMTS9,120,299,197,197,183,221
ADAMTS9-AS1,37,16,15,21,11,14
ADAMTS9-AS2,171,127,145,155,174,151
ADAMTSL1,134,171,98,282,184,400
ADAMTSL2,1113,570,341,801,597,896
ADAMTSL3,166,192,208,173,144,295
ADAMTSL4,97,175,111,139,119,163
ADAMTSL4-AS1,9,8,0,3,4,8
ADAMTSL5,65,165,103,84,65,96
ADAP1,2317,3065,2642,3213,2491,2556
ADAP2,155,324,269,542,256,235
ADAR,15282,15210,9400,20057,18581,23285
ADARB1,6014,5815,3222,7981,6288,7846
ADARB2,493,871,706,741,703,893
ADARB2-AS1,39,106,55,99,70,46
ADAT1,1211,1119,740,1421,1547,1607
ADAT2,161,254,144,246,177,237
ADAT3,50,111,65,104,73,85
ADCK1,814,814,619,931,812,853
ADCK2,1039,854,611,1540,944,1178
ADCK5,691,811,631,835,611,656
ADCY1,51797,36146,20363,55758,42268,59115
ADCY10,38,46,36,24,28,45
ADCY10P1,212,430,289,304,313,341
ADCY2,10640,9850,6980,11851,9852,13887
ADCY3,3697,2325,1157,3953,2456,4074
ADCY4,583,690,518,437,538,526
ADCY5,11281,9535,5324,11972,9538,13611
ADCY6,3391,3782,1916,3826,2947,3755
ADCY6-DT,11,13,11,12,9,8
ADCY7,489,311,135,788,314,593
ADCY8,608,871,434,814,757,866
ADCY9,3747,3237,1851,4062,3510,4238
ADCYAP1,938,880,376,1539,1338,1118
ADCYAP1R1,4569,9391,6106,7377,6745,8171
ADD1,22409,25056,15536,28622,24101,29879
ADD2,19184,15994,9947,22630,19363,27228
ADD3,2632,9941,6316,6255,5009,6662
ADD3-AS1,32,61,76,37,47,58
ADGB,2,6,6,7,3,17
ADGRA1,9222,8853,4794,8508,7228,9077
ADGRA2,2641,2811,1558,3002,2156,2512
ADGRA3,302,1906,1100,983,645,854
ADGRB1,20880,22737,11738,24283,16608,20657
ADGRB2,53386,41509,19871,54214,37663,53653
ADGRB3,4639,4315,2800,4994,4526,6140
ADGRD1,327,251,193,309,258,349
ADGRD2,3,7,1,1,0,4
ADGRE1,1,4,2,1,0,6
ADGRE2,29,100,85,32,40,106
ADGRE3,0,6,5,2,2,16
ADGRE4P,4,9,3,2,2,7
ADGRE5,203,401,343,417,245,397
ADGRF1,0,3,4,20,0,12
ADGRF2,1,7,4,5,6,18
ADGRF3,52,47,36,57,43,62
ADGRF4,0,7,0,2,4,8
ADGRF5,2011,2442,1066,2410,2768,2663
ADGRF5P1,53,110,12,36,17,79
ADGRG1,2223,10536,7030,5984,3950,4691
ADGRG2,30,36,46,345,42,70
ADGRG3,4,16,16,16,4,10
ADGRG4,0,2,4,1,0,10
ADGRG5,6,17,11,23,11,19
ADGRG6,140,111,91,512,133,125
ADGRG7,2,1,0,1,0,340
ADGRL1,35832,25124,15563,38088,25900,34541
ADGRL2,3587,3336,1994,3454,3573,5076
ADGRL3,4669,5446,2758,5624,5230,7781
ADGRL4,264,511,237,335,403,298
ADGRV1,502,4223,2279,1554,1379,1306
ADH1A,0,1,0,0,0,5
ADH1B,28,24,119,11,29,44
ADH1C,1,3,4,4,0,2
ADH4,0,2,3,0,0,4
ADH5,1639,2614,1835,2633,2406,2612
ADH5P2,0,0,1,0,2,0
ADH5P3,12,10,8,10,13,10
ADH5P5,1,0,0,2,0,0
ADH6,0,4,3,0,1,11
ADH7,1,0,0,0,0,4
ADHFE1,176,859,634,315,368,488
ADI1,610,1127,1013,1013,868,926
ADI1P3,0,0,0,0,0,1
ADIG,0,1,0,0,0,1
ADIPOQ,0,1,2,1,0,4
ADIPOQ-AS1,0,0,0,0,1,0
ADIPOR1,2519,2858,1931,3415,2723,3183
ADIPOR2,2413,3548,3316,2978,2829,4011
ADIRF,0,0,0,0,0,0
ADIRF-AS1,97,101,113,104,78,88
ADK,753,899,663,842,853,966
ADM,44,157,97,96,81,37
ADM2,3,10,7,70,5,7
ADM5,14,47,25,48,27,31
ADNP,3045,3795,2254,4433,3729,4882
ADNP-AS1,48,72,40,49,45,42
ADNP2,897,1011,572,1212,1158,1586
ADO,1632,1859,985,2145,2051,2434
ADORA1,5566,5942,3861,8138,5797,6674
ADORA2A,21,22,14,22,27,27
ADORA2A-AS1,36,41,19,34,28,44
ADORA2B,141,303,221,247,152,156
ADPGK,710,974,622,1164,935,962
ADPGK-AS1,22,31,25,26,12,32
ADPRH,42,106,89,120,102,101
ADPRHL1,609,474,359,504,504,579
ADPRM,123,137,110,141,154,161
ADPRS,839,1273,905,1262,1039,1189
ADRA1A,219,317,135,270,298,453
ADRA1B,966,1054,498,1526,1154,1608
ADRA1D,1039,890,171,1105,1198,766
ADRA2A,924,726,446,1004,588,958
ADRA2C,575,473,354,700,435,466
ADRB1,1072,1233,704,1316,1183,1132
ADRB2,16,106,39,77,59,58
ADRB3,8,20,6,9,17,17
ADRM1,799,882,629,1096,774,789
ADSL,785,789,587,1009,865,1004
ADSS1,167,351,258,224,227,294
ADSS2,1488,1467,1047,2010,1771,2151
ADTRP,141,178,112,200,167,245
AEBP1,777,3486,1359,3412,1072,1758
AEBP2,1161,1545,873,1739,1480,1694
AEN,387,399,277,530,467,461
AFAP1,1533,2345,1026,2535,2309,2579
AFAP1-AS1,48,108,53,70,54,138
AFAP1L1,263,323,157,251,317,195
AFAP1L2,2084,2300,1548,2138,2239,2517
AFDN,4062,5172,3774,6216,4573,5934
AFF1,905,1511,856,1434,1206,1823
AFF2,1741,1095,596,1522,1329,2785
AFF3,4995,4166,2276,6186,5006,7124
AFF4,4147,5644,3173,5581,5239,7634
AFG1L,249,325,202,368,294,447
AFG3L1P,664,1068,995,739,710,919
AFG3L2,1898,1955,1339,2495,2095,2344
AFG3L2P1,1,0,0,2,1,0
AFM,1,3,2,0,0,2
AFMID,458,856,651,501,450,861
AFP,2,9,7,6,8,15
AFTPH,3808,4114,2678,5253,4991,5294
AGA,253,369,228,249,221,277
AGAP1,17518,17079,10332,20335,18013,25428
AGAP1-IT1,4,15,5,15,8,25
AGAP11,0,3,1,1,3,9
AGAP2,33305,22952,11533,31436,22355,31602
AGAP2-AS1,6,23,15,5,8,6
AGAP3,27932,24341,17020,31760,23198,25317
AGAP4,94,92,81,16,102,114
AGAP5,17,17,11,12,9,13
AGAP6,383,535,465,438,399,366
AGAP9,4,2,3,1,2,5
AGBL1-AS1,2,4,2,3,3,3
AGBL2,5,15,20,8,6,24
AGBL3,134,207,142,153,175,190
AGBL4,918,776,469,1021,984,1100
AGBL4-AS1,3,1,3,2,11,3
AGBL4-IT1,5,10,7,8,7,13
AGBL5,1390,1504,986,1769,1543,1716
AGBL5-AS1,8,9,6,9,7,6
AGER,82,154,132,188,80,72
AGFG1,2961,3139,1871,3890,3562,4621
AGFG2,1717,2156,1492,2206,1795,2080
AGGF1,2868,3254,2085,3667,3426,3482
AGGF1P4,0,0,0,0,0,0
AGGF1P6,0,0,1,0,0,0
AGGF1P7,0,0,0,0,0,1
AGGF1P8,0,0,1,0,0,0
AGGF1P9,0,0,1,0,0,4
AGK,1864,2391,1547,2389,2155,2518
AGKP1,0,0,0,0,0,1
AGKP2,1,0,0,0,1,4
AGL,1099,1950,1175,1498,1508,2087
AGMAT,142,111,101,201,191,163
AGMO,0,8,17,33,27,10
AGO1,3319,4450,2697,5283,4413,5801
AGO2,526,644,283,983,580,1009
AGO3,1681,2471,1694,2296,2051,2545
AGO4,894,1684,1185,1382,1234,1472
AGPAT1,3464,3115,2062,4012,3115,3819
AGPAT2,410,534,437,627,536,404
AGPAT3,8702,9645,5677,10543,9394,11119
AGPAT4,2299,3001,1875,3058,2675,4366
AGPAT5,1375,1898,1273,1888,1817,2329
AGPAT5P1,0,0,0,0,0,0
AGPS,1350,1566,913,1777,1531,2164
AGR2,0,5,1,0,1,4
AGR3,0,2,0,1,0,3
AGRN,21625,19548,9978,22845,15634,18795
AGRP,30,62,41,31,36,53
AGT,607,9065,7564,3738,2576,2676
AGTPBP1,2950,3027,1881,3334,3187,4883
AGTR1,7,17,13,12,5,9
AGTR2,0,0,3,0,1,6
AGTRAP,104,284,273,258,168,183
AGXT,1,1,3,2,1,5
AGXT2,1,0,3,0,0,9
AHCTF1,1008,1692,1146,1961,1433,1687
AHCY,2098,1831,1310,2906,2124,2921
AHCYL1,7916,21971,14579,15033,12299,15240
AHCYL2,2548,4748,2685,3830,3317,3754
AHCYP2,4,9,6,4,6,4
AHCYP3,2,4,1,2,0,6
AHCYP4,0,1,1,3,0,8
AHCYP5,16,10,5,11,16,16
AHCYP7,1,1,0,0,1,5
AHDC1,7976,7964,4209,8820,6679,8370
AHI1,4413,6776,6618,6368,5593,4762
AHNAK,4109,13095,8229,10509,7645,7730
AHNAK2,7062,6077,3286,6789,5565,8053
AHR,376,460,311,493,434,783
AHSA1,3358,3801,2705,3989,3385,3543
AHSA2P,664,1762,924,832,722,742
AHSG,28,22,11,21,19,14
AHSP,0,0,1,2,0,4
AICDA,1,1,5,0,1,14
AIDA,912,1045,533,1159,1080,1372
AIDAP2,71,464,152,66,123,408
AIF1,25,73,39,145,61,63
AIF1L,3611,6336,6195,5154,4524,5719
AIFM1,745,944,620,1032,891,939
AIFM2,405,535,447,471,342,390
AIFM3,2837,5055,3899,3764,3027,3457
AIG1,1118,1688,1113,1545,1490,1527
AIG1P1,1,0,1,0,0,2
AIM2,1,10,9,1,5,6
AIMP1,542,945,790,1015,744,778
AIMP1P1,8,16,42,25,18,14
AIMP2,157,194,177,231,170,204
AIP,1463,1519,1368,2013,1539,1568
AIPL1,15,13,16,8,5,15
AIRE,170,169,193,105,121,167
AIRN,57,39,25,74,59,22
AJAP1,5143,4392,2165,6342,5748,7551
AJM1,5925,4799,2372,6209,4078,4688
AJUBA,66,151,116,271,85,108
AK1,401,543,562,551,484,413
AK2,587,1158,846,1850,769,918
AK3,1023,2172,1514,1845,1488,2024
AK3P3,40,59,67,49,46,38
AK3P4,1,1,0,2,0,1
AK4,1634,3584,2051,2662,2238,2659
AK4P5,0,0,0,0,0,2
AK5,19608,14362,11038,21685,18216,23740
AK6,1399,1699,1251,1815,1603,1698
AK6P1,0,0,0,0,0,1
AK6P2,0,0,0,0,0,1
AK7,119,94,87,156,101,153
AK8,79,94,89,100,91,117
AK9,680,847,738,950,841,825
AKAIN1,26,36,13,32,56,45
AKAP1,3009,3413,2679,3631,3196,3767
AKAP10,1805,1905,1110,2110,1985,2635
AKAP11,19222,14668,7048,18469,19131,32199
AKAP12,18284,18782,12591,21465,21442,22059
AKAP13,2314,3658,2323,4028,3289,3224
AKAP14,9,11,8,19,20,16
AKAP17A,1194,2027,1258,1642,1254,1736
AKAP3,57,95,87,84,76,116
AKAP4,1,0,0,1,0,2
AKAP5,2356,2302,1128,3501,2689,3172
AKAP6,13820,10392,5159,14500,13272,19850
AKAP7,436,928,669,761,671,873
AKAP8,1077,1372,972,1392,1200,1423
AKAP8L,2990,4409,3299,3325,3027,3714
AKAP8P1,1,0,0,0,0,3
AKAP9,13341,14359,12778,17354,14194,13037
AKIP1,393,657,423,633,541,548
AKIRIN1,2765,3475,2171,4117,3758,3863
AKIRIN1P1,0,1,2,0,0,3
AKIRIN2,1606,1524,946,1983,1743,1834
AKNA,1106,1598,893,1572,1200,1591
AKNAD1,10,28,19,16,9,28
AKR1A1,1073,1357,1023,1631,1240,1494
AKR1B1,3313,3317,2428,3840,3238,3730
AKR1B10,0,5,3,2,0,6
AKR1B10P2,0,1,2,0,0,3
AKR1B15,1,4,6,3,6,8
AKR1B1P1,3,4,2,2,2,8
AKR1C1,364,308,162,347,285,388
AKR1C2,132,138,205,259,128,211
AKR1C3,41,261,114,131,89,110
AKR1C4,1,1,0,0,0,1
AKR1C7P,0,0,2,0,0,1
AKR1D1,0,2,3,1,0,5
AKR1E2,78,58,79,90,74,118
AKR7A2,690,1218,955,1116,898,1071
AKR7A3,49,105,78,70,46,88
AKR7L,30,79,51,52,59,65
AKT1,4631,4800,2885,5693,4259,5400
AKT1S1,1841,1922,1279,2370,1624,1669
AKT2,2970,5883,3579,3707,3516,4524
AKT3,8263,7440,4326,9747,8389,11223
AKTIP,2944,3298,2427,3478,3654,4073
ALAD,3554,5485,4588,4796,4313,4544
ALAS1,1745,1885,1274,2118,1978,2483
ALAS2,114,22,56,39,1,10
ALB,10,42,36,20,25,16
ALCAM,2575,3431,2300,3625,3373,5303
ALDH16A1,273,336,333,609,207,374
ALDH18A1,1117,1307,789,1435,1177,1503
ALDH1A1,770,3063,1338,1872,1635,1722
ALDH1A2,158,128,151,231,151,235
ALDH1A3,406,514,376,561,599,540
ALDH1B1,519,535,332,691,661,700
ALDH1L1,457,2839,2513,1371,996,1209
ALDH1L1-AS1,1,11,14,2,3,3
ALDH1L1-AS2,24,143,82,85,74,74
ALDH1L2,408,592,384,558,352,602
ALDH2,2915,8465,6337,6313,5046,5159
ALDH3A1,18,19,16,21,15,26
ALDH3A2,2003,2330,1504,2415,2426,2549
ALDH3B1,53,191,146,206,110,178
ALDH3B2,1,1,5,82,1,7
ALDH4A1,670,3354,2748,1458,1127,1609
ALDH5A1,3551,4286,2675,4453,4789,5430
ALDH6A1,1710,6542,4789,4327,3586,3880
ALDH7A1,1230,4241,3760,3107,2703,2777
ALDH7A1P1,7,32,35,16,22,17
ALDH7A1P2,0,1,0,1,2,3
ALDH8A1,107,211,103,94,167,108
ALDH9A1,1066,2919,1759,2125,1739,2068
ALDOA,72884,64058,49399,86173,69462,74354
ALDOB,61,64,34,47,84,81
ALDOC,19577,28730,22105,22322,21995,24212
ALG1,323,459,287,454,364,446
ALG10,31,22,17,31,34,49
ALG10B,36,55,14,61,46,104
ALG11,203,247,202,274,243,360
ALG12,616,704,370,652,506,802
ALG13,864,1124,694,987,1064,1223
ALG14,340,416,347,508,437,530
ALG14-AS1,1,5,7,7,4,3
