symbol,SL6655,SL7393,SL7396,SL7625,SL7632,SL7805
GFOD2,3457,2822,1870,3650,3177,3571
GFPT1,2415,2492,1265,3430,2976,3980
GFPT2,1025,1204,916,1024,912,1042
GFRA1,690,1821,1005,1047,930,1966
GFRA2,3178,3013,1875,4125,3366,3762
GFRA3,10,10,9,7,5,16
GFRA4,10,9,7,11,11,3
GFRAL,1,3,3,0,2,6
GFUS,1276,1264,947,1517,1205,1170
GFY,8,9,4,10,5,9
GGA1,3656,4822,3269,4786,3603,4434
GGA2,2514,2965,1947,3194,2732,3378
GGA3,4870,4429,2491,5299,4714,6030
GGACT,17,47,32,43,27,34
GGCT,833,846,578,1136,934,789
GGCX,861,1172,662,1117,844,1179
GGH,363,367,236,630,345,424
GGN,179,219,56,254,156,146
GGNBP1,9,14,6,10,11,13
GGPS1,1055,1249,851,1499,1327,1391
GGT1,228,345,363,213,242,274
GGT2,3,10,15,8,8,9
GGT3P,6,12,13,16,11,14
GGT5,1028,1389,1270,1500,1020,1155
GGT6,3,1,2,1,1,2
GGT7,5060,4361,2652,5870,4539,5951
GGTA1,120,176,211,208,136,174
GGTA2P,19,29,18,34,24,32
GGTLC1,0,0,1,0,1,5
GGTLC2,0,1,3,1,0,0
GH1,0,0,1,0,1,1
GH2,1,0,0,0,0,4
GHDC,1404,1690,1300,1850,1506,1608
GHITM,14588,15507,9400,17730,16859,19052
GHR,107,160,104,170,143,176
GHRH,1,1,0,1,0,2
GHRHR,10,14,14,12,12,12
GHRL,20,26,23,29,36,65
GHRLOS,19,13,30,36,32,51
GHSR,0,0,1,1,0,3
GID4,895,1119,699,1135,1010,1365
GID8,663,802,474,1049,890,1057
GIGYF1,2818,4416,3101,4000,3113,3994
GIGYF2,2941,4702,3261,4435,3866,4166
GIHCG,143,206,196,233,194,192
GIMAP1,102,301,122,232,201,145
GIMAP2,13,70,35,80,59,51
GIMAP3P,0,2,2,0,0,0
GIMAP4,154,338,144,355,255,237
GIMAP5,114,377,152,245,199,190
GIMAP6,203,599,145,497,474,480
GIMAP7,78,236,75,187,139,144
GIMAP8,67,321,73,284,211,251
GIMD1,0,0,0,0,0,0
GIN1,244,338,209,354,370,423
GINM1,539,1071,900,931,774,813
GINS1,122,129,96,418,133,154
GINS2,35,61,40,56,35,47
GINS3,60,98,68,97,73,111
GINS4,14,56,29,107,31,53
GIP,1,0,2,0,0,7
GIPC1,3818,4383,3339,5453,4232,4149
GIPC2,26,42,20,44,22,20
GIPC3,76,145,57,233,56,65
GIPR,22,135,105,33,49,81
GIT1,19786,20417,11276,22469,17719,20826
GIT2,719,954,637,749,747,999
GJA1,450,10762,5514,2405,2286,2109
GJA10,0,0,1,0,0,0
GJA3,1,5,1,3,2,2
GJA4,175,297,277,305,242,221
GJA8,0,0,0,0,0,0
GJA9,1,5,3,2,3,1
GJB1,134,676,618,372,421,792
GJB2,7,77,44,60,28,29
GJB3,75,39,30,79,34,42
GJB4,5,17,5,6,7,16
GJB5,98,61,33,86,51,71
GJB6,67,1515,889,474,391,322
GJB7,5,7,4,6,7,13
GJC1,335,585,508,632,492,771
GJC2,409,628,532,652,531,808
GJC3,16,40,45,23,26,31
GJD2,213,208,102,214,305,380
GJD3,1,0,0,5,2,2
GJD4,54,55,32,73,71,63
GJE1,1,1,2,2,2,3
GK,178,268,160,214,211,344
GK2,0,0,0,1,1,5
GK3P,2,10,4,3,9,9
GK5,223,442,312,385,278,445
GKAP1,333,587,559,587,507,504
GKN1,0,0,1,0,0,0
GKN2,1,0,0,0,1,6
GLA,226,313,204,375,298,306
GLB1,742,873,599,1158,908,1154
GLB1L,133,179,145,184,168,179
GLB1L2,1513,1371,1008,1467,1163,1341
GLB1L3,766,783,482,814,799,855
GLCCI1,1749,1708,999,2244,1967,2293
GLCE,1513,1393,716,1789,1716,2191
GLDC,749,1029,412,837,667,847
GLDN,343,877,985,662,709,1648
GLE1,802,941,708,1067,832,1007
GLG1,7026,7975,5135,8787,7481,10128
GLI1,26,111,111,53,50,74
GLI2,21,219,109,63,43,59
GLI3,87,943,416,339,229,277
GLI4,638,823,637,610,546,609
GLIPR1,384,593,397,718,482,709
GLIPR1L1,34,59,42,40,45,52
GLIPR1L2,72,217,128,160,69,104
GLIPR2,98,311,259,207,209,236
GLIS1,195,241,198,228,212,235
GLIS2,535,860,582,700,544,565
GLIS2-AS1,10,29,20,19,21,22
GLIS3,167,571,341,362,338,286
GLIS3-AS1,1,4,0,1,2,4
GLMN,419,567,382,571,523,681
GLMP,236,328,230,305,269,333
GLO1,2946,4018,2782,4794,4288,4317
GLOD4,1556,1737,1424,2058,1917,2103
GLOD5,1,1,6,0,0,5
GLP1R,9,17,4,23,13,23
GLP2R,425,187,112,548,446,742
GLRA1,23,17,14,8,25,28
GLRA2,319,178,141,268,264,262
GLRA3,2004,1557,647,2600,2386,2362
GLRB,4848,4678,2863,5130,5333,5658
GLRX,604,687,528,780,779,627
GLRX2,243,259,230,342,238,353
GLRX3,655,856,571,904,849,951
GLRX5,1156,1321,840,1588,1371,1247
GLS,16138,12071,7825,18308,16143,20070
GLS2,3386,3280,2346,3381,3401,3729
GLT1D1,2763,2014,1440,3480,2795,3321
GLT6D1,1,0,1,1,2,9
GLT8D1,902,1157,937,1267,1113,1257
GLT8D2,217,258,188,316,249,306
GLTP,360,1250,976,719,777,1043
GLTPD2,212,171,97,241,208,262
GLUD1,5100,15426,10401,8834,8001,10714
GLUD1P3,77,88,57,78,74,99
GLUD2,153,251,171,215,216,314
GLUL,9930,84407,54167,37836,32791,36059
GLULP1,4,2,5,0,1,4
GLULP2,0,0,0,0,0,0
GLULP4,7,14,8,7,8,15
GLULP6,0,0,0,0,0,1
GLYAT,1,3,3,6,2,5
GLYATL1,11,13,17,16,20,30
GLYATL1B,1,0,0,4,0,1
GLYATL1P1,1,1,1,2,1,1
GLYATL2,15,22,8,292,28,24
GLYATL3,0,1,0,0,0,4
GLYCAM1,0,0,0,0,0,2
GLYCTK,115,176,67,243,102,146
GLYR1,3563,3268,1937,4135,3600,4765
GM2A,974,2175,1554,1934,1412,2305
GM2AP2,0,0,0,0,0,0
GMCL1,711,793,608,895,841,915
GMCL1P2,0,0,0,2,0,3
GMCL2,1,0,1,1,2,3
GMDS,320,332,283,413,372,359
GMEB1,573,725,478,847,642,816
GMEB2,1260,1346,825,1588,1290,1493
GMFB,5761,5172,3683,6705,6014,8459
GMFG,31,41,50,61,35,38
GMIP,688,527,277,776,545,770
GML,2,1,3,2,1,2
GMNC,27,20,3,34,32,20
GMNN,110,195,165,214,150,130
GMPPA,1003,1283,971,1189,867,960
GMPPB,3,3,1,0,1,6
GMPR,170,273,276,188,172,173
GMPR2,2590,2431,1663,2451,2383,2860
GMPS,3368,2624,1623,3507,3299,4556
GMPSP1,0,0,0,2,0,3
GNA11,5276,5995,4303,7454,5676,5594
GNA12,2611,6613,4127,4890,3464,4630
GNA13,676,2009,1206,1592,1097,1634
GNA14,246,351,277,249,319,363
GNA14-AS1,2,8,21,4,9,10
GNA15,326,222,222,436,224,396
GNAI1,4562,4044,2575,4881,4795,6143
GNAI2,9410,13437,10883,15691,11173,11894
GNAI2P2,1,0,0,0,0,0
GNAI3,577,1179,723,929,772,978
GNAL,3115,2118,1313,2778,2624,2733
GNAO1,24918,31891,21794,30411,25594,32302
GNAQ,14352,16338,10537,17122,15333,19284
GNAS,103553,96337,71471,106972,97015,97372
GNAS-AS1,2,7,8,2,6,8
GNAT1,1,14,7,10,3,11
GNAT2,47,44,27,48,32,47
GNAT3,0,1,2,0,1,8
GNAZ,5801,5129,2744,8029,6272,6370
GNB1,40628,34444,20296,50264,44911,51692
GNB1L,281,374,190,392,331,274
GNB2,5669,7456,5516,8580,6385,7080
GNB3,372,480,293,305,491,372
GNB4,565,582,316,695,417,945
GNB5,3602,2778,1945,3964,3651,4187
GNE,1215,1332,836,1607,1279,1830
GNG10,4,8,0,7,2,5
GNG11,85,233,201,230,277,167
GNG12,279,1315,1070,998,676,796
GNG12-AS1,53,86,75,58,70,75
GNG13,783,500,480,749,733,570
GNG2,3275,2561,1828,3691,3033,4732
GNG3,891,624,518,1037,744,749
GNG4,2037,2250,1124,2846,2525,2491
GNG5,84,255,256,238,135,100
GNG7,8623,11047,7491,11407,8706,10066
GNG8,6,14,17,6,3,6
GNGT1,0,1,2,0,0,3
GNGT2,44,36,32,41,48,36
GNL1,9845,9183,5984,12968,11309,13306
GNL2,575,784,584,1056,796,822
GNL2P1,7,10,7,10,18,19
GNL3,1456,1619,935,2253,1547,1670
GNL3L,675,945,590,1250,816,1032
GNL3LP1,1,8,8,12,4,12
GNLY,34,48,48,60,47,49
GNMT,55,119,77,73,80,75
GNPAT,1185,1569,1012,1745,1512,1695
GNPDA1,1726,1676,1153,2079,1933,2045
GNPDA2,1011,1181,803,1131,1175,1496
GNPNAT1,375,402,214,473,390,510
GNPTAB,4928,5285,3744,6669,5363,6750
GNPTG,2006,2895,2172,2939,2288,2283
GNRH1,23,45,41,48,18,21
GNRH2,18,42,24,25,33,27
GNRHR,61,43,17,83,38,104
GNRHR2,184,217,132,211,217,287
GNRHR2P1,0,0,0,0,1,1
GNS,2073,2327,1421,3010,2484,2994
GOLGA1,722,1492,962,1120,954,1196
GOLGA2,5707,7482,5560,8266,7075,6616
GOLGA2P2Y,0,0,0,0,0,0
GOLGA2P5,74,212,270,139,156,147
GOLGA2P7,158,134,103,196,75,188
GOLGA2P9,0,8,15,3,3,4
GOLGA3,4987,5258,3094,6907,5086,6505
GOLGA4,5893,8824,8102,8908,7476,6466
GOLGA5,815,1150,741,1104,949,1247
GOLGA6A,1,2,3,1,0,4
GOLGA6B,0,6,1,5,3,3
GOLGA6C,0,1,0,0,1,1
GOLGA6D,0,0,0,0,0,1
GOLGA6L17P,20,74,66,56,40,49
GOLGA6L2,1,2,1,2,2,7
GOLGA6L3,4,10,17,7,3,9
GOLGA6L4,12,19,43,20,24,32
GOLGA6L7,90,94,47,98,57,150
GOLGA6L9,0,1,1,0,1,0
GOLGA7,1639,3048,2535,2783,2611,3174
GOLGA7B,8329,7598,5273,8025,7210,8475
GOLGA8A,1905,3444,2748,2207,2246,2273
GOLGA8B,1541,2695,1256,1667,1026,1879
GOLGA8CP,0,0,0,0,0,0
GOLGA8DP,0,0,0,0,1,0
GOLGA8EP,2,0,0,0,0,0
GOLGA8F,0,0,0,1,1,2
GOLGA8G,1,0,0,0,3,2
GOLGA8H,23,16,13,17,9,26
GOLGA8J,2,1,2,1,3,0
GOLGA8K,4,2,1,6,3,8
GOLGA8M,20,16,18,10,8,32
GOLGA8N,10,6,6,3,2,9
GOLGA8O,6,4,0,4,5,1
GOLGA8Q,0,4,1,6,6,1
GOLGA8R,28,39,17,41,26,25
GOLGA8S,35,16,0,26,13,7
GOLGA8T,5,2,5,6,3,2
GOLGB1,14762,17516,14620,19312,19155,17268
GOLIM4,961,4947,2612,2854,2555,2219
GOLM1,3838,5493,3706,5712,4925,5217
GOLM2,2646,4466,2953,4238,3733,4009
GOLPH3,1820,2139,1250,2403,2157,2122
GOLPH3L,578,680,462,759,716,874
GOLT1A,30,44,27,52,39,34
GOLT1B,1149,1453,948,1380,1271,1520
GON4L,2111,2419,1685,2642,2409,2680
GON7,124,182,130,195,207,181
GOPC,2513,2858,1761,3016,2893,3988
GORAB,148,203,140,187,153,212
GORASP1,3312,3637,2225,3872,3293,4126
GORASP2,2775,2711,1737,2964,2686,3532
GOSR1,2411,3304,2082,3532,2874,3295
GOSR2,1042,1125,728,1335,1149,1446
GOT1,15502,12713,8223,18092,16104,18393
GOT1L1,3,4,4,3,3,10
GOT2,7325,6143,4332,8270,8068,8792
GOT2P1,0,0,0,0,0,1
GOT2P3,11,18,4,4,3,12
GOT2P5,0,0,0,0,0,0
GOT2P6,2,8,11,6,7,9
GOT2P7,0,0,2,0,1,1
GP1BA,50,86,76,74,59,92
GP1BB,0,0,0,0,0,0
GP2,2,1,0,1,0,3
GP5,10,5,6,2,6,15
GP6,116,126,118,83,84,62
GP9,0,2,0,2,2,0
GPA33,20,15,8,38,10,39
GPAA1,6253,5519,3978,7989,5596,6707
GPAA1P1,0,0,0,0,0,0
GPAA1P2,1,2,0,2,0,1
GPALPP1,942,1064,728,1128,1088,1279
GPAM,230,1731,895,617,569,676
GPANK1,499,573,638,753,552,576
GPAT2,80,117,86,295,88,64
GPAT2P1,6,0,4,0,7,5
GPAT3,187,214,117,352,211,232
GPAT4,1813,2112,1417,2623,2172,2583
GPATCH1,538,688,531,774,697,743
GPATCH11,1750,1800,1336,2021,1943,2239
GPATCH2,544,793,607,813,746,1013
GPATCH2L,2777,4267,2584,4396,3986,5189
GPATCH3,507,540,468,624,482,601
GPATCH4,2636,3110,2618,4054,3342,3270
GPATCH8,4737,5854,4506,4732,4702,5419
GPBAR1,8,10,7,11,12,9
GPBP1,3418,4293,2960,4995,4248,4965
GPBP1L1,1565,2365,1649,2564,2233,2653
GPC1,16632,21183,13014,16620,14764,19471
GPC2,40,120,103,99,67,100
GPC3,58,38,42,142,35,62
GPC4,266,414,335,376,335,340
GPC5,85,738,398,300,221,339
GPC5-AS1,2,5,9,1,0,6
GPC6,187,205,162,329,169,211
GPC6-AS1,5,8,8,12,5,6
GPCPD1,3839,4379,1891,4437,4013,4982
GPD1,437,487,435,517,432,834
GPD1L,4104,3556,2168,4695,4464,5381
GPD2,1728,2610,1477,2389,1734,2931
GPER1,1172,1910,1295,1567,1434,1508
GPHA2,2,3,2,0,2,5
GPHB5,2,0,1,2,0,1
GPHN,2365,2229,1376,2510,2261,2663
GPI,32149,26915,20395,33798,29856,33499
GPKOW,1043,1208,767,1550,1263,1231
GPLD1,706,754,486,646,825,1003
GPM6A,40365,49410,31537,53208,47195,54598
GPM6B,14754,41137,27024,27285,23683,32781
GPN1,766,856,527,983,939,1016
GPN2,1089,1219,792,1187,1113,1301
GPN3,207,301,211,359,302,343
GPNMB,130,1263,1025,1582,297,973
GPR1,6,5,4,6,2,11
GPR101,4,2,1,3,3,7
GPR107,3917,5090,3040,5729,4865,6687
GPR108,1329,1696,1579,1959,1406,1524
GPR119,0,0,0,0,0,0
GPR12,1346,843,724,1282,1211,1633
GPR132,66,81,56,94,69,68
GPR135,176,242,159,277,217,247
GPR137,5298,5464,3603,5956,4551,5368
GPR137B,462,1100,679,863,757,867
GPR137C,1334,1150,730,1449,1502,2316
GPR139,2,0,1,3,0,4
GPR141,2,6,1,2,1,5
GPR142,1,2,0,1,1,6
GPR143,42,191,129,82,69,69
GPR143P,0,0,0,0,0,0
GPR146,108,89,69,86,82,129
GPR148,11,9,6,8,9,9
GPR149,19,18,10,32,26,43
GPR15,1,0,1,0,0,0
GPR150,143,136,117,183,146,150
GPR151,18,13,10,12,24,28
GPR152,0,1,1,3,1,2
GPR153,3646,2562,1111,3201,2888,2124
GPR155,6660,7406,5722,7902,7286,8489
GPR156,32,66,45,98,42,73
GPR157,64,101,73,93,68,100
GPR158,5580,4663,2639,6572,6070,8539
