symbol,SL31505,SL31508,SL32268,SL6670,SL7380
ACAP3,14379,22310,26010,55656,27061
ACAT1,912,690,1010,1482,2228
ACAT2,284,215,400,524,641
ACBD3,661,573,687,1202,2059
ACBD3-AS1,3,7,4,7,5
ACBD4,659,970,1141,1408,1293
ACBD5,1881,1395,2119,2492,4390
ACBD6,97,73,75,205,160
ACBD7,645,908,999,1265,2713
ACCS,171,239,287,374,616
ACCSL,0,0,0,1,2
ACD,960,821,1215,1892,1590
ACE,258,596,319,1407,706
ACE2,3,8,5,15,18
ACE3P,0,0,0,0,0
ACER1,3,4,3,2,3
ACER2,67,25,53,101,112
ACER3,2107,1060,1857,2185,3252
ACHE,7777,5323,4642,9924,9199
ACIN1,3600,2813,3740,5130,6095
ACKR1,436,748,531,1178,1354
ACKR2,23,31,42,34,87
ACKR3,224,140,354,400,490
ACKR4,2,3,4,7,7
ACLY,3532,3145,3261,4676,7363
ACMSD,24,11,14,24,15
ACNATP,1,1,0,2,4
ACO1,1125,1032,1209,2150,3897
ACO2,8030,8544,10996,9798,14726
ACOD1,1,0,2,0,1
ACOT1,30,61,103,90,206
ACOT11,490,540,846,1096,871
ACOT12,6,1,8,4,9
ACOT13,369,292,393,512,912
ACOT2,206,242,412,337,581
ACOT4,136,162,162,262,266
ACOT6,23,24,24,60,53
ACOT7,5066,3325,5107,5860,6913
ACOT8,738,729,959,1487,1617
ACOT9,381,332,464,596,968
ACOX1,1192,1608,1549,2504,4373
ACOX2,142,143,205,327,377
ACOX3,254,315,462,448,679
ACOXL,3,6,8,7,8
ACOXL-AS1,0,6,5,6,7
ACP1,1255,1395,1483,2500,3152
ACP2,1404,1151,1553,1963,3185
ACP3,5,3,3,124,156
ACP4,9,13,28,33,20
ACP5,57,41,57,77,57
ACP6,204,254,274,375,616
ACP7,127,28,180,218,144
ACR,31,56,51,83,41
ACRBP,19,20,29,54,38
ACRP1,0,0,0,1,0
ACRV1,38,46,53,142,113
ACSBG1,1615,2188,3408,4892,4417
ACSBG2,14,16,26,36,25
ACSF2,421,444,542,860,965
ACSF3,668,628,882,1150,1434
ACSL1,1773,1251,1604,1703,3385
ACSL3,2517,2747,3118,6218,10313
ACSL4,1455,1470,1292,2135,5017
ACSL5,492,140,263,324,380
ACSL6,2019,2350,2764,4795,6888
ACSM1,14,6,11,10,4
ACSM2A,0,1,1,0,1
ACSM2B,1,1,1,2,1
ACSM3,1,8,8,13,9
ACSM4,0,2,1,5,3
ACSM5,95,72,196,114,215
ACSM6,4,10,2,9,8
ACSS1,2857,2475,4677,6822,6344
ACSS2,1354,829,1419,2265,2058
ACSS3,221,311,461,454,606
ACTA1,39,30,48,42,70
ACTA2,982,422,799,896,1000
ACTA2-AS1,32,50,13,35,103
ACTB,37619,41330,69140,81500,89837
ACTBL2,0,0,0,0,0
ACTBP1,1,0,0,3,3
ACTBP12,0,0,0,2,3
ACTBP14,0,4,2,4,2
ACTC1,100,57,75,75,114
ACTE1P,2,2,4,1,2
ACTG1,31820,34046,49426,56967,72394
ACTG1P10,30,44,50,59,77
ACTG1P12,7,12,15,10,8
ACTG1P14,7,4,10,6,9
ACTG1P15,9,1,10,11,4
ACTG1P16,1,5,1,2,2
ACTG1P17,25,27,41,42,31
ACTG1P19,0,0,3,0,0
ACTG1P21,0,0,0,0,0
ACTG1P23,0,0,0,2,0
ACTG1P24,2,0,4,3,4
ACTG1P25,6,0,10,6,8
ACTG2,55,30,39,61,72
ACTL10,22,28,41,27,16
ACTL11P,2,5,1,20,7
ACTL6A,186,124,193,236,455
ACTL6B,2101,2743,2871,4270,4480
ACTL7A,1,0,1,1,1
ACTL7B,2,2,2,0,0
ACTL8,0,0,0,0,0
ACTL9,0,0,0,0,0
ACTN1,5658,9718,6661,16608,16935
ACTN1-AS1,1,3,0,4,2
ACTN2,4348,6714,3003,8856,11841
ACTN3,7,11,13,19,15
ACTN4,10425,7949,13277,16190,14386
ACTN4P1,1,0,1,5,1
ACTP1,0,0,1,1,0
ACTR10,1130,1101,1329,2484,3613
ACTR1A,5045,3995,5278,6378,8777
ACTR1AP1,0,1,3,3,5
ACTR1B,3728,4109,5084,7994,6915
ACTR2,5130,7097,5296,10133,16820
ACTR3,2151,2339,2517,4185,6393
ACTR3B,1960,2904,1723,4410,6515
ACTR3C,35,74,53,138,223
ACTR3P2,0,0,0,0,0
ACTR5,209,216,278,375,522
ACTR6,456,345,539,887,1281
ACTR6P1,0,0,0,0,0
ACTR8,555,626,570,653,1542
ACTRT1,1,0,0,1,2
ACTRT2,0,0,1,0,0
ACTRT3,27,39,28,56,64
ACVR1,696,640,501,1059,1660
ACVR1B,2074,1982,2546,3558,4738
ACVR1C,859,2043,662,2920,5129
ACVR2A,368,242,313,375,1100
ACVR2B,391,484,632,738,1593
ACVR2B-AS1,34,44,28,49,105
ACVRL1,918,339,909,1158,805
ACY1,29,18,31,66,52
ACY3,125,77,249,135,336
ACYP1,128,117,198,235,346
ACYP2,864,652,1120,1603,1459
ADA,137,106,238,278,283
ADA2,571,481,751,711,1452
ADAD1,0,0,0,0,0
ADAD1P2,0,0,0,0,0
ADAD2,26,164,76,155,214
ADAL,269,268,227,675,733
ADAM10,1233,1409,1233,2545,4745
ADAM11,1655,1018,3669,2772,1709
ADAM12,207,247,193,835,888
ADAM15,3698,2144,4235,5345,4603
ADAM17,358,355,394,561,932
ADAM18,0,0,0,0,0
ADAM19,249,94,278,198,271
ADAM1B,30,38,26,43,57
ADAM2,1,0,0,0,0
ADAM20,6,10,13,32,38
ADAM20P1,12,9,10,5,10
ADAM20P3,0,0,0,0,0
ADAM21,22,18,24,17,29
ADAM21P1,1,0,2,2,3
ADAM22,2355,2642,1776,3360,8052
ADAM23,3527,4661,2307,6725,10866
ADAM24P,0,0,0,0,0
ADAM28,169,122,194,177,294
ADAM29,11,19,9,14,36
ADAM30,0,0,0,0,0
ADAM32,21,24,28,37,46
ADAM33,589,585,670,1186,653
ADAM3A,0,1,0,0,0
ADAM3B,0,0,2,3,3
ADAM5,1,0,1,1,2
ADAM7,0,1,1,1,3
ADAM8,131,268,238,543,224
ADAM9,753,651,690,1179,2340
ADAMDEC1,0,0,1,4,0
ADAMTS1,1169,215,1135,851,878
ADAMTS10,1304,1171,2583,1719,1792
ADAMTS12,58,45,30,50,74
ADAMTS13,1001,939,1551,2014,986
ADAMTS14,353,359,719,1026,421
ADAMTS15,32,16,57,45,67
ADAMTS16,25,50,84,35,106
ADAMTS17,115,93,197,265,317
ADAMTS18,130,69,146,55,51
ADAMTS19,105,251,129,576,289
ADAMTS19-AS1,7,16,12,31,25
ADAMTS2,258,53,332,230,160
ADAMTS20,1,3,0,6,5
ADAMTS3,109,276,171,788,659
ADAMTS4,2337,626,2090,1682,1930
ADAMTS5,26,22,33,92,130
ADAMTS6,40,22,47,38,35
ADAMTS7,118,206,233,356,264
ADAMTS7P3,0,8,5,5,1
ADAMTS7P4,18,21,21,55,12
ADAMTS8,743,1532,913,2430,2443
ADAMTS9,120,108,171,143,230
ADAMTS9-AS1,1,1,7,3,6
ADAMTS9-AS2,53,52,69,90,178
ADAMTSL1,29,81,65,186,92
ADAMTSL2,480,293,449,562,425
ADAMTSL3,118,81,176,133,187
ADAMTSL4,108,244,376,238,257
ADAMTSL4-AS1,9,8,7,9,13
ADAMTSL5,97,78,178,278,88
ADAP1,1736,1435,2986,2555,1747
ADAP2,268,183,254,457,517
ADAR,9004,11164,8345,15684,28277
ADARB1,2410,3258,1758,4166,5598
ADARB2,953,412,1777,697,1075
ADARB2-AS1,40,21,15,37,102
ADAT1,712,642,524,1291,1267
ADAT2,116,113,93,183,256
ADAT3,103,54,199,99,78
ADCK1,607,354,648,644,831
ADCK2,686,603,860,809,1281
ADCK5,327,267,556,629,498
ADCY1,3964,3662,6789,12054,10536
ADCY10,19,12,15,34,24
ADCY10P1,348,177,326,524,437
ADCY2,2198,2045,4709,3882,7461
ADCY3,2695,6383,3257,5820,8533
ADCY4,519,295,352,705,395
ADCY5,18629,30988,17310,39436,44945
ADCY6,1324,688,1447,1578,1836
ADCY6-DT,9,1,5,3,6
ADCY7,142,210,269,130,304
ADCY8,457,285,609,420,797
ADCY9,2014,3046,1979,3764,4477
ADCYAP1,77,12,119,117,53
ADCYAP1R1,5966,5660,8072,12003,24991
ADD1,13371,13600,13053,23299,31920
ADD2,5404,9178,5570,12148,20227
ADD3,3928,3639,5389,8149,16444
ADD3-AS1,31,29,45,32,60
ADGB,0,63,111,17,47
ADGRA1,2155,815,3233,784,1763
ADGRA2,2615,1299,2068,1978,1548
ADGRA3,830,976,1617,1809,3909
ADGRB1,10688,17022,23560,19517,19431
ADGRB2,21550,38798,30142,46362,44735
ADGRB3,1606,2366,1745,3747,7592
ADGRD1,425,235,295,396,353
ADGRD2,0,150,144,22,52
ADGRE1,2,2,3,1,2
ADGRE2,72,26,117,63,60
ADGRE3,4,0,1,0,1
ADGRE4P,36,2,2,4,2
ADGRE5,394,194,476,461,385
ADGRF1,1,0,0,1,0
ADGRF2,0,0,4,0,0
ADGRF3,23,33,44,43,69
ADGRF4,0,0,4,1,0
ADGRF5,1226,746,579,1697,1799
ADGRF5P1,16,16,13,14,30
ADGRG1,5614,5515,12530,9831,16140
ADGRG2,31,19,42,47,42
ADGRG3,8,7,13,7,7
ADGRG4,0,0,0,1,1
ADGRG5,25,10,15,14,35
ADGRG6,77,23,37,112,135
ADGRG7,0,186,1,1,0
ADGRL1,12103,16248,16305,22889,23859
ADGRL2,1294,1204,831,1637,3436
ADGRL3,2137,2745,2097,4217,9215
ADGRL4,328,110,143,379,330
ADGRV1,1915,3443,3818,5778,7716
ADH1A,2,1,3,0,2
ADH1B,37,30,86,23,15
ADH1C,0,1,2,1,0
ADH4,1,3,3,2,0
ADH5,1410,1229,1766,2611,4309
ADH5P2,0,0,0,0,0
ADH5P3,4,2,11,13,8
ADH5P5,0,0,0,0,0
ADH6,0,0,0,0,3
ADH7,0,0,0,0,0
ADHFE1,399,443,646,756,981
ADI1,1147,896,1244,1840,2231
ADI1P3,0,0,0,0,0
ADIG,1,2,4,8,10
ADIPOQ,1,0,1,1,0
ADIPOQ-AS1,0,0,0,0,0
ADIPOR1,2787,2552,2441,3561,5639
ADIPOR2,4507,1438,4208,3942,4728
ADIRF,0,0,0,0,0
ADIRF-AS1,65,91,153,99,87
ADK,544,733,676,1278,1745
ADM,374,53,120,214,89
ADM2,1,4,4,4,6
ADM5,39,22,42,50,53
ADNP,1662,1903,1977,2804,5806
ADNP-AS1,43,29,52,56,79
ADNP2,506,514,517,887,1407
ADO,1002,811,993,1422,2075
ADORA1,3401,2580,4128,6314,5842
ADORA2A,33,61,48,73,38
ADORA2A-AS1,22,35,20,82,51
ADORA2B,239,144,277,334,571
ADPGK,669,498,583,784,1164
ADPGK-AS1,24,15,30,23,36
ADPRH,76,51,65,88,166
ADPRHL1,139,89,168,194,145
ADPRM,75,96,78,190,242
ADPRS,685,684,1108,1565,1505
ADRA1A,79,63,174,148,177
ADRA1B,73,66,434,240,221
ADRA1D,133,155,142,293,182
ADRA2A,98,50,320,88,159
ADRA2C,1791,2267,2686,3958,1702
ADRB1,756,1061,1005,1389,1841
ADRB2,43,39,71,68,140
ADRB3,2,4,2,11,3
ADRM1,719,532,1232,876,837
ADSL,513,476,591,974,1214
ADSS1,540,254,434,367,430
ADSS2,776,599,909,937,1598
ADTRP,0,3,59,3,1
AEBP1,1760,3948,2925,4158,6530
AEBP2,589,822,740,1337,2412
AEN,231,215,249,311,322
AFAP1,1131,1673,1154,1390,3998
AFAP1-AS1,15,46,38,62,65
AFAP1L1,139,59,103,283,189
AFAP1L2,763,531,1107,1280,1494
